# ASY method (with partition functions): 5960699 integration steps in 2.0562e+01 seconds
# All quantities except Asy, RG_PE, and sumX are log10(x)
# Log of absolute values for E and dE/dt as they can be negative
# Units: t and dt in s; E in erg; dE/dt in erg/g/s; others dimensionless 
#
#    t     dt     |E|  |dE/dt| Asy  Equil  sumX  X(4He)     X(12C)     X(16O)     X(20Ne)     X(24Mg)     X(28Si)     X(32S)     X(36Ar)     X(40Ca)     X(44Ti)     X(48Cr)     X(52Fe)     X(56Ni)     X(60Zn)     X(64Ge)     X(68Se)     

-17.946 -19.484 10.269 28.219 0.000 0.000 1.000 -7.793e+00 -3.010e-01 -3.010e-01 -7.113e+00 -8.425e+00 -1.012e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-17.882 -19.420 10.334 28.219 0.000 0.000 1.000 -7.729e+00 -3.010e-01 -3.010e-01 -7.048e+00 -8.360e+00 -1.005e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-17.831 -19.368 10.385 28.219 0.000 0.000 1.000 -7.677e+00 -3.010e-01 -3.010e-01 -6.997e+00 -8.309e+00 -1.000e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-17.780 -19.317 10.437 28.219 0.000 0.000 1.000 -7.626e+00 -3.010e-01 -3.010e-01 -6.945e+00 -8.258e+00 -9.948e+00 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-17.728 -19.266 10.488 28.219 0.000 0.000 1.000 -7.574e+00 -3.010e-01 -3.010e-01 -6.894e+00 -8.206e+00 -9.897e+00 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-17.677 -19.214 10.539 28.219 0.000 0.000 1.000 -7.523e+00 -3.010e-01 -3.010e-01 -6.843e+00 -8.155e+00 -9.845e+00 -2.399e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-17.626 -19.163 10.591 28.219 0.000 0.000 1.000 -7.471e+00 -3.010e-01 -3.010e-01 -6.791e+00 -8.103e+00 -9.794e+00 -2.399e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-17.562 -19.099 10.655 28.219 0.000 0.000 1.000 -7.407e+00 -3.010e-01 -3.010e-01 -6.727e+00 -8.039e+00 -9.730e+00 -2.399e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-17.511 -19.047 10.707 28.219 0.000 0.000 1.000 -7.356e+00 -3.010e-01 -3.010e-01 -6.675e+00 -7.988e+00 -9.678e+00 -2.398e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-17.460 -18.996 10.758 28.219 0.000 0.000 1.000 -7.304e+00 -3.010e-01 -3.010e-01 -6.624e+00 -7.936e+00 -9.627e+00 -2.397e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-17.408 -18.945 10.809 28.219 0.000 0.000 1.000 -7.253e+00 -3.010e-01 -3.010e-01 -6.573e+00 -7.885e+00 -9.575e+00 -2.396e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-17.357 -18.893 10.861 28.219 0.000 0.000 1.000 -7.201e+00 -3.010e-01 -3.010e-01 -6.521e+00 -7.833e+00 -9.524e+00 -2.394e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-17.306 -18.842 10.912 28.219 0.000 0.000 1.000 -7.150e+00 -3.010e-01 -3.010e-01 -6.470e+00 -7.782e+00 -9.473e+00 -2.392e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-17.242 -18.778 10.976 28.219 0.000 0.000 1.000 -7.086e+00 -3.010e-01 -3.010e-01 -6.406e+00 -7.718e+00 -9.408e+00 -2.388e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-17.190 -18.727 11.028 28.219 0.000 0.000 1.000 -7.034e+00 -3.010e-01 -3.010e-01 -6.354e+00 -7.666e+00 -9.357e+00 -2.384e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-17.139 -18.675 11.079 28.219 0.000 0.000 1.000 -6.983e+00 -3.010e-01 -3.010e-01 -6.303e+00 -7.615e+00 -9.306e+00 -2.379e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
