# ASY+PE method (no partition functions): 2244 integration steps in 1.0532e+00 seconds
# All double quantities are log10(x); rates in units of s^-1
#
#      t       dt  2/Rmin   Reaction_Rmin    1/Rmax   Reaction_Rmax     dt_FE   dt_EA   trial_dt
-17.9111 -18.9111 11.7613 he4+he4+he4-->c12 -10.6278 c12+c12-->he4+ne20 -6.6278 -18.9525 -18.9111
-17.8283 -18.8283 11.5943 he4+he4+he4-->c12 -10.6278 c12+c12-->he4+ne20 -6.6278 -18.8697 -18.8283
-17.7455 -18.7455 11.4276 he4+he4+he4-->c12 -10.6278 c12+c12-->he4+ne20 -6.6278 -18.7869 -18.7455
-17.6627 -18.6627 11.2611 he4+he4+he4-->c12 -10.6278 c12+c12-->he4+ne20 -6.6278 -18.7041 -18.6627
-17.6213 -18.6213 11.1779 he4+he4+he4-->c12 -10.6278 c12+c12-->he4+ne20 -6.6278 -18.6627 -18.6213
-17.5385 -18.5385 11.0117 he4+he4+he4-->c12 -10.6278 c12+c12-->he4+ne20 -6.6278 -18.5799 -18.5385
-17.4557 -18.4557 10.8455 he4+he4+he4-->c12 -10.6278 c12+c12-->he4+ne20 -6.6278 -18.4971 -18.4557
-17.3730 -18.3730 10.6795 he4+he4+he4-->c12 -10.6278 c12+c12-->he4+ne20 -6.6278 -18.4143 -18.3730
-17.2902 -18.2902 10.5135 he4+he4+he4-->c12 -10.6278 c12+c12-->he4+ne20 -6.6278 -18.3316 -18.2902
-17.2488 -18.2488 10.4306 he4+he4+he4-->c12 -10.6278 c12+c12-->he4+ne20 -6.6278 -18.2902 -18.2488
-17.1660 -18.1660 10.2647 he4+he4+he4-->c12 -10.6278 c12+c12-->he4+ne20 -6.6278 -18.2074 -18.1660
-17.0832 -18.0832 10.0989 he4+he4+he4-->c12 -10.6278 c12+c12-->he4+ne20 -6.6278 -18.1246 -18.0832
-17.0004 -18.0004  9.9331 he4+he4+he4-->c12 -10.6278 c12+c12-->he4+ne20 -6.6278 -18.0418 -18.0004
-16.9176 -17.9176  9.7674 he4+he4+he4-->c12 -10.6278 c12+c12-->he4+ne20 -6.6278 -17.9590 -17.9176
-16.8349 -17.8349  9.6017 he4+he4+he4-->c12 -10.6278 c12+c12-->he4+ne20 -6.6278 -17.8762 -17.8349
-16.7935 -17.7935  9.5188 he4+he4+he4-->c12 -10.6278 c12+c12-->he4+ne20 -6.6278 -17.8349 -17.7935
-16.7107 -17.7107  9.3531 he4+he4+he4-->c12 -10.6278 c12+c12-->he4+ne20 -6.6278 -17.7521 -17.7107
-16.6279 -17.6279  9.1875 he4+he4+he4-->c12 -10.6278 c12+c12-->he4+ne20 -6.6278 -17.6693 -17.6279
-16.5451 -17.5451  9.0219 he4+he4+he4-->c12 -10.6278 c12+c12-->he4+ne20 -6.6278 -17.5865 -17.5451
