
#    t     dt   F+(4He)   F+(12C)   F+(16O)   F+(20Ne)   F+(24Mg)   F+(28Si)   F+(32S)   F+(36Ar)   F+(40Ca)   F+(44Ti)   F+(48Cr)   F+(52Fe)   F+(56Ni)   F+(60Zn)   F+(64Ge)   F+(68Se)   F-(4He)   F-(12C)   F-(16O)   F-(20Ne)   F-(24Mg)   F-(28Si)   F-(32S)   F-(36Ar)   F-(40Ca)   F-(44Ti)   F-(48Cr)   F-(52Fe)   F-(56Ni)   F-(60Zn)   F-(64Ge)   F-(68Se)   dF(4He)   dF(12C)   dF(16O)   dF(20Ne)   dF(24Mg)   dF(28Si)   dF(32S)   dF(36Ar)   dF(40Ca)   dF(44Ti)   dF(48Cr)   dF(52Fe)   dF(56Ni)   dF(60Zn)   dF(64Ge)   dF(68Se)   
-17.911 -18.911 9.567e+00 6.859e+00 1.806e+00 9.549e+00 8.157e+00 6.400e+00 -9.628e+00 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 5.278e-02 9.858e+00 8.193e+00 1.805e+00 -1.620e+00 -4.091e+00 -1.871e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 9.567e+00 9.858e+00 8.193e+00 9.549e+00 8.157e+00 6.400e+00 -9.628e+00 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-17.828 -18.828 9.567e+00 6.859e+00 1.890e+00 9.549e+00 8.157e+00 6.400e+00 -9.461e+00 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 1.362e-01 9.858e+00 8.193e+00 1.888e+00 -1.537e+00 -4.007e+00 -1.846e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 9.567e+00 9.858e+00 8.193e+00 9.549e+00 8.157e+00 6.400e+00 -9.461e+00 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-17.745 -18.745 9.567e+00 6.859e+00 1.973e+00 9.549e+00 8.157e+00 6.400e+00 -9.294e+00 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 2.195e-01 9.858e+00 8.193e+00 1.972e+00 -1.453e+00 -3.924e+00 -1.821e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 9.567e+00 9.858e+00 8.193e+00 9.549e+00 8.157e+00 6.400e+00 -9.294e+00 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-17.663 -18.663 9.567e+00 6.859e+00 2.056e+00 9.549e+00 8.157e+00 6.400e+00 -9.128e+00 -2.399e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 3.028e-01 9.858e+00 8.193e+00 2.055e+00 -1.370e+00 -3.841e+00 -1.796e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 9.567e+00 9.858e+00 8.193e+00 9.549e+00 8.157e+00 6.400e+00 -9.128e+00 -2.399e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-17.621 -18.621 9.567e+00 6.859e+00 2.098e+00 9.549e+00 8.157e+00 6.400e+00 -9.045e+00 -2.399e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 3.443e-01 9.858e+00 8.193e+00 2.096e+00 -1.328e+00 -3.799e+00 -1.784e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 9.567e+00 9.858e+00 8.193e+00 9.549e+00 8.157e+00 6.400e+00 -9.045e+00 -2.399e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-17.539 -18.539 9.567e+00 6.859e+00 2.181e+00 9.549e+00 8.157e+00 6.400e+00 -8.878e+00 -2.398e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 4.275e-01 9.858e+00 8.193e+00 2.180e+00 -1.245e+00 -3.716e+00 -1.759e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 9.567e+00 9.858e+00 8.193e+00 9.549e+00 8.157e+00 6.400e+00 -8.878e+00 -2.398e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-17.456 -18.456 9.567e+00 6.859e+00 2.264e+00 9.549e+00 8.157e+00 6.400e+00 -8.712e+00 -2.396e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 5.105e-01 9.858e+00 8.193e+00 2.263e+00 -1.162e+00 -3.633e+00 -1.734e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 9.567e+00 9.858e+00 8.193e+00 9.549e+00 8.157e+00 6.400e+00 -8.712e+00 -2.396e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-17.373 -18.373 9.567e+00 6.859e+00 2.347e+00 9.549e+00 8.157e+00 6.400e+00 -8.546e+00 -2.392e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 5.935e-01 9.858e+00 8.193e+00 2.346e+00 -1.079e+00 -3.550e+00 -1.709e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 9.567e+00 9.858e+00 8.193e+00 9.549e+00 8.157e+00 6.400e+00 -8.546e+00 -2.392e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-17.290 -18.290 9.567e+00 6.859e+00 2.430e+00 9.549e+00 8.157e+00 6.400e+00 -8.380e+00 -2.384e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 6.765e-01 9.858e+00 8.193e+00 2.429e+00 -9.962e-01 -3.467e+00 -1.684e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 9.567e+00 9.858e+00 8.193e+00 9.549e+00 8.157e+00 6.400e+00 -8.380e+00 -2.384e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-17.249 -18.249 9.567e+00 6.859e+00 2.471e+00 9.549e+00 8.157e+00 6.400e+00 -8.297e+00 -2.378e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 7.180e-01 9.858e+00 8.193e+00 2.470e+00 -9.548e-01 -3.426e+00 -1.671e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 9.567e+00 9.858e+00 8.193e+00 9.549e+00 8.157e+00 6.400e+00 -8.297e+00 -2.378e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-17.166 -18.166 9.567e+00 6.859e+00 2.554e+00 9.549e+00 8.157e+00 6.400e+00 -8.131e+00 -2.361e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 8.009e-01 9.858e+00 8.193e+00 2.553e+00 -8.718e-01 -3.343e+00 -1.647e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 9.567e+00 9.858e+00 8.193e+00 9.549e+00 8.157e+00 6.400e+00 -8.131e+00 -2.361e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
