# ASY+PE method (with partition functions): 14070 integration steps # All quantities except Asy, RG_PE, and sumX are log10(x)
# Log of absolute values for E and dE/dt as they can be negative
# Units: t and dt in s; E in erg; dE/dt in erg/g/s; others dimensionless 
#
#    t     dt     |E|  |dE/dt| Asy  Equil  sumX  X(4He)     X(12C)     X(16O)     X(20Ne)     X(24Mg)     X(28Si)     X(32S)     X(36Ar)     X(40Ca)     X(44Ti)     X(48Cr)     X(52Fe)     X(56Ni)     X(60Zn)     X(64Ge)     X(68Se)     

-17.930 -18.972 10.285 28.219 0.000 0.000 1.000 -7.755e+00 -3.010e-01 -3.010e-01 -7.075e+00 -8.387e+00 -1.008e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-17.889 -18.930 10.326 28.219 0.000 0.000 1.000 -7.713e+00 -3.010e-01 -3.010e-01 -7.033e+00 -8.345e+00 -1.004e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-17.806 -18.848 10.410 28.219 0.000 0.000 1.000 -7.630e+00 -3.010e-01 -3.010e-01 -6.949e+00 -8.262e+00 -9.952e+00 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-17.765 -18.806 10.451 28.219 0.000 0.000 1.000 -7.588e+00 -3.010e-01 -3.010e-01 -6.908e+00 -8.220e+00 -9.910e+00 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-17.723 -18.765 10.493 28.219 0.000 0.000 1.000 -7.546e+00 -3.010e-01 -3.010e-01 -6.866e+00 -8.178e+00 -9.869e+00 -2.399e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-17.641 -18.682 10.576 28.219 0.000 0.000 1.000 -7.463e+00 -3.010e-01 -3.010e-01 -6.783e+00 -8.095e+00 -9.786e+00 -2.399e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-17.599 -18.641 10.618 28.219 0.000 0.000 1.000 -7.422e+00 -3.010e-01 -3.010e-01 -6.741e+00 -8.053e+00 -9.744e+00 -2.399e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-17.558 -18.599 10.659 28.219 0.000 0.000 1.000 -7.380e+00 -3.010e-01 -3.010e-01 -6.700e+00 -8.012e+00 -9.702e+00 -2.398e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-17.516 -18.558 10.701 28.219 0.000 0.000 1.000 -7.338e+00 -3.010e-01 -3.010e-01 -6.658e+00 -7.970e+00 -9.661e+00 -2.398e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-17.434 -18.475 10.784 28.219 0.000 0.000 1.000 -7.255e+00 -3.010e-01 -3.010e-01 -6.575e+00 -7.887e+00 -9.578e+00 -2.396e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-17.392 -18.434 10.825 28.219 0.000 0.000 1.000 -7.214e+00 -3.010e-01 -3.010e-01 -6.534e+00 -7.846e+00 -9.536e+00 -2.395e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-17.351 -18.392 10.867 28.219 0.000 0.000 1.000 -7.172e+00 -3.010e-01 -3.010e-01 -6.492e+00 -7.804e+00 -9.495e+00 -2.394e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-17.268 -18.309 10.950 28.219 0.000 0.000 1.000 -7.090e+00 -3.010e-01 -3.010e-01 -6.409e+00 -7.721e+00 -9.412e+00 -2.389e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-17.227 -18.268 10.991 28.219 0.000 0.000 1.000 -7.048e+00 -3.010e-01 -3.010e-01 -6.368e+00 -7.680e+00 -9.371e+00 -2.386e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-17.185 -18.227 11.033 28.219 0.000 0.000 1.000 -7.007e+00 -3.010e-01 -3.010e-01 -6.326e+00 -7.638e+00 -9.329e+00 -2.382e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
