# ASY method (with partition functions): 112874 integration steps in 7.1411e-02 seconds
# All quantities except Asy, RG_PE, and sumX are log10(x)
# Log of absolute values for E and dE/dt as they can be negative
# Units: t and dt in s; E in erg; dE/dt in erg/g/s; others dimensionless 
#
#    t     dt     |E|  |dE/dt| Asy  Equil  sumX  X(4He)     X(12C)     X(16O)     

-10.968 -12.973 11.756 22.725 0.000 0.000 1.000 -6.128e+00 -3.010e-01 -3.010e-01
-10.938 -12.942 11.787 22.725 0.000 0.000 1.000 -6.098e+00 -3.010e-01 -3.010e-01
-10.908 -12.912 11.817 22.725 0.000 0.000 1.000 -6.068e+00 -3.010e-01 -3.010e-01
-10.878 -12.882 11.847 22.725 0.000 0.000 1.000 -6.038e+00 -3.010e-01 -3.010e-01
-10.847 -12.852 11.877 22.725 0.000 0.000 1.000 -6.007e+00 -3.010e-01 -3.010e-01
-10.817 -12.821 11.908 22.725 0.000 0.000 1.000 -5.977e+00 -3.010e-01 -3.010e-01
-10.787 -12.791 11.938 22.725 0.000 0.000 1.000 -5.947e+00 -3.010e-01 -3.010e-01
-10.757 -12.761 11.968 22.725 0.000 0.000 1.000 -5.917e+00 -3.010e-01 -3.010e-01
-10.726 -12.731 11.998 22.725 0.000 0.000 1.000 -5.886e+00 -3.010e-01 -3.010e-01
-10.696 -12.700 12.029 22.725 0.000 0.000 1.000 -5.856e+00 -3.010e-01 -3.010e-01
-10.666 -12.670 12.059 22.725 0.000 0.000 1.000 -5.826e+00 -3.010e-01 -3.010e-01
-10.640 -12.644 12.085 22.724 0.000 0.000 1.000 -5.800e+00 -3.010e-01 -3.010e-01
-10.610 -12.614 12.115 22.724 0.000 0.000 1.000 -5.770e+00 -3.010e-01 -3.010e-01
-10.579 -12.584 12.145 22.724 0.000 0.000 1.000 -5.740e+00 -3.010e-01 -3.010e-01
-10.549 -12.553 12.175 22.724 0.000 0.000 1.000 -5.709e+00 -3.010e-01 -3.010e-01
-10.519 -12.523 12.206 22.724 0.000 0.000 1.000 -5.679e+00 -3.010e-01 -3.010e-01
-10.489 -12.493 12.236 22.724 0.000 0.000 1.000 -5.649e+00 -3.010e-01 -3.010e-01
-10.458 -12.463 12.266 22.724 0.000 0.000 1.000 -5.619e+00 -3.010e-01 -3.010e-01
-10.428 -12.432 12.296 22.724 0.000 0.000 1.000 -5.588e+00 -3.010e-01 -3.010e-01
-10.398 -12.402 12.327 22.724 0.000 0.000 1.000 -5.558e+00 -3.010e-01 -3.010e-01
-10.368 -12.372 12.357 22.724 0.000 0.000 1.000 -5.528e+00 -3.010e-01 -3.010e-01
-10.337 -12.342 12.387 22.724 0.000 0.000 1.000 -5.498e+00 -3.010e-01 -3.010e-01
-10.307 -12.311 12.417 22.724 0.000 0.000 1.000 -5.467e+00 -3.010e-01 -3.010e-01
-10.277 -12.281 12.448 22.724 0.000 0.000 1.000 -5.437e+00 -3.010e-01 -3.010e-01
-10.247 -12.251 12.478 22.724 0.000 0.000 1.000 -5.407e+00 -3.010e-01 -3.010e-01
-10.216 -12.221 12.508 22.724 0.000 0.000 1.000 -5.377e+00 -3.010e-01 -3.010e-01
-10.186 -12.190 12.538 22.724 0.000 0.000 1.000 -5.346e+00 -3.010e-01 -3.010e-01
-10.156 -12.160 12.568 22.724 0.000 0.000 1.000 -5.316e+00 -3.010e-01 -3.010e-01
-10.130 -12.134 12.594 22.724 0.000 0.000 1.000 -5.290e+00 -3.010e-01 -3.010e-01
