# ASY+PE method (no partition functions): 280212 integration steps in 4.4652e+00 seconds
# All quantities except Asy, RG_PE, and sumX are log10(x)
# Log of absolute values for E and dE/dt as they can be negative
# Units: t and dt in s; E in erg; dE/dt in erg/g/s; others dimensionless 
#
#    t     dt     |E|  |dE/dt| Asy  Equil  sumX  X(4He)     X(12C)     X(16O)     X(20Ne)     X(24Mg)     X(28Si)     X(32S)     X(36Ar)     X(40Ca)     X(44Ti)     X(48Cr)     X(52Fe)     X(56Ni)     X(60Zn)     X(64Ge)     X(68Se)     

-15.883 -16.883 10.705 26.588 0.000 0.000 1.000 -7.343e+00 -3.010e-01 -3.010e-01 -6.654e+00 -8.229e+00 -1.066e+01 -2.397e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-15.800 -16.800 10.787 26.588 0.000 0.000 1.000 -7.261e+00 -3.010e-01 -3.010e-01 -6.571e+00 -8.146e+00 -1.057e+01 -2.395e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-15.717 -16.717 10.870 26.588 0.000 0.000 1.000 -7.178e+00 -3.010e-01 -3.010e-01 -6.489e+00 -8.063e+00 -1.049e+01 -2.392e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-15.634 -16.634 10.953 26.588 0.000 0.000 1.000 -7.095e+00 -3.010e-01 -3.010e-01 -6.406e+00 -7.981e+00 -1.041e+01 -2.386e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-15.510 -16.510 11.077 26.588 0.000 0.000 1.000 -6.971e+00 -3.010e-01 -3.010e-01 -6.282e+00 -7.856e+00 -1.028e+01 -2.373e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-15.427 -16.427 11.160 26.588 0.000 0.000 1.000 -6.888e+00 -3.010e-01 -3.010e-01 -6.199e+00 -7.774e+00 -1.020e+01 -2.360e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-15.345 -16.345 11.243 26.588 0.000 0.000 1.000 -6.805e+00 -3.010e-01 -3.010e-01 -6.116e+00 -7.691e+00 -1.012e+01 -2.343e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-15.262 -16.262 11.326 26.588 0.000 0.000 1.000 -6.723e+00 -3.010e-01 -3.010e-01 -6.033e+00 -7.608e+00 -1.004e+01 -2.324e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-15.179 -16.179 11.408 26.588 0.000 0.000 1.000 -6.640e+00 -3.010e-01 -3.010e-01 -5.950e+00 -7.525e+00 -9.953e+00 -2.302e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-15.096 -16.096 11.491 26.588 0.000 0.000 1.000 -6.557e+00 -3.010e-01 -3.010e-01 -5.868e+00 -7.442e+00 -9.871e+00 -2.279e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-14.972 -15.972 11.615 26.588 0.000 0.000 1.000 -6.433e+00 -3.010e-01 -3.010e-01 -5.743e+00 -7.318e+00 -9.746e+00 -2.244e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-14.889 -15.889 11.698 26.588 0.000 0.000 1.000 -6.350e+00 -3.010e-01 -3.010e-01 -5.661e+00 -7.235e+00 -9.664e+00 -2.220e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-14.807 -15.807 11.781 26.588 0.000 0.000 1.000 -6.267e+00 -3.010e-01 -3.010e-01 -5.578e+00 -7.153e+00 -9.581e+00 -2.195e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-14.724 -15.724 11.864 26.588 0.000 0.000 1.000 -6.184e+00 -3.010e-01 -3.010e-01 -5.495e+00 -7.070e+00 -9.498e+00 -2.170e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-14.641 -15.641 11.946 26.588 0.000 0.000 1.000 -6.102e+00 -3.010e-01 -3.010e-01 -5.412e+00 -6.987e+00 -9.415e+00 -2.146e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-14.558 -15.558 12.029 26.588 0.000 0.000 1.000 -6.019e+00 -3.010e-01 -3.010e-01 -5.330e+00 -6.904e+00 -9.332e+00 -2.121e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-14.434 -15.434 12.153 26.588 0.000 0.000 1.000 -5.895e+00 -3.010e-01 -3.010e-01 -5.205e+00 -6.780e+00 -9.208e+00 -2.084e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-14.351 -15.351 12.236 26.588 0.000 0.000 1.000 -5.812e+00 -3.010e-01 -3.010e-01 -5.123e+00 -6.697e+00 -9.126e+00 -2.059e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-14.269 -15.269 12.319 26.588 0.000 0.000 1.000 -5.729e+00 -3.010e-01 -3.010e-01 -5.040e+00 -6.615e+00 -9.043e+00 -2.034e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-14.186 -15.186 12.402 26.588 0.000 0.000 1.000 -5.646e+00 -3.010e-01 -3.010e-01 -4.957e+00 -6.532e+00 -8.960e+00 -2.009e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-14.103 -15.103 12.485 26.588 0.000 0.000 1.000 -5.564e+00 -3.010e-01 -3.010e-01 -4.874e+00 -6.449e+00 -8.877e+00 -1.984e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-13.979 -14.979 12.609 26.587 0.000 0.000 1.000 -5.439e+00 -3.010e-01 -3.010e-01 -4.750e+00 -6.325e+00 -8.753e+00 -1.947e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-13.896 -14.896 12.692 26.587 0.000 0.000 1.000 -5.357e+00 -3.011e-01 -3.010e-01 -4.667e+00 -6.242e+00 -8.670e+00 -1.922e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-13.813 -14.813 12.774 26.587 0.000 0.000 1.000 -5.274e+00 -3.011e-01 -3.010e-01 -4.585e+00 -6.159e+00 -8.587e+00 -1.897e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
