# ASY+PE method (no partition functions): 280212 integration steps in 4.4652e+00 seconds
# All double quantities are log10(x); rates in units of s^-1
#
#      t       dt  2/Rmin   Reaction_Rmin    1/Rmax   Reaction_Rmax     dt_FE   dt_EA   trial_dt
-15.8828 -16.8828 12.3966 he4+si28-->c12+ne20 -9.0069 c12+c12-->he4+ne20 -6.2287 -16.9242 -16.8828
-15.8000 -16.8000 12.3138 he4+si28-->c12+ne20 -9.0069 c12+c12-->he4+ne20 -6.2287 -16.8414 -16.8000
-15.7172 -16.7172 12.2310 he4+si28-->c12+ne20 -9.0069 c12+c12-->he4+ne20 -6.2287 -16.7586 -16.7172
-15.6345 -16.6345 12.1482 he4+si28-->c12+ne20 -9.0069 c12+c12-->he4+ne20 -6.2287 -16.6759 -16.6345
-15.5103 -16.5103 12.0240 he4+si28-->c12+ne20 -9.0069 c12+c12-->he4+ne20 -6.2287 -16.5517 -16.5103
-15.4275 -16.4275 11.9412 he4+si28-->c12+ne20 -9.0069 c12+c12-->he4+ne20 -6.2287 -16.4689 -16.4275
-15.3447 -16.3447 11.8584 he4+si28-->c12+ne20 -9.0069 c12+c12-->he4+ne20 -6.2287 -16.3861 -16.3447
-15.2619 -16.2619 11.7756 he4+si28-->c12+ne20 -9.0069 c12+c12-->he4+ne20 -6.2287 -16.3033 -16.2619
-15.1791 -16.1791 11.6929 he4+si28-->c12+ne20 -9.0069 c12+c12-->he4+ne20 -6.2287 -16.2205 -16.1791
-15.0964 -16.0964 11.6101 he4+si28-->c12+ne20 -9.0069 c12+c12-->he4+ne20 -6.2287 -16.1378 -16.0964
-14.9722 -15.9722 11.4859 he4+si28-->c12+ne20 -9.0069 c12+c12-->he4+ne20 -6.2287 -16.0136 -15.9722
-14.8894 -15.8894 11.4031 he4+si28-->c12+ne20 -9.0069 c12+c12-->he4+ne20 -6.2287 -15.9308 -15.8894
-14.8066 -15.8066 11.3203 he4+si28-->c12+ne20 -9.0069 c12+c12-->he4+ne20 -6.2287 -15.8480 -15.8066
-14.7238 -15.7238 11.2375 he4+si28-->c12+ne20 -9.0069 c12+c12-->he4+ne20 -6.2287 -15.7652 -15.7238
-14.6410 -15.6410 11.1547 he4+si28-->c12+ne20 -9.0069 c12+c12-->he4+ne20 -6.2287 -15.6824 -15.6410
-14.5583 -15.5583 11.0720 he4+si28-->c12+ne20 -9.0069 c12+c12-->he4+ne20 -6.2287 -15.5996 -15.5583
-14.4341 -15.4341 10.9478 he4+si28-->c12+ne20 -9.0069 c12+c12-->he4+ne20 -6.2287 -15.4755 -15.4341
-14.3513 -15.3513 10.8650 he4+si28-->c12+ne20 -9.0069 c12+c12-->he4+ne20 -6.2287 -15.3927 -15.3513
