# ASY+PE method (no partition functions): 9011 integration steps in 2.0257e-01 seconds
# All double quantities are log10(x); rates in units of s^-1
#
#      t       dt  2/Rmin   Reaction_Rmin    1/Rmax   Reaction_Rmax     dt_FE   dt_EA   trial_dt
-17.9111 -18.9111 11.7613 he4+he4+he4-->c12 -10.6278 c12+c12-->he4+ne20 -6.6278 -18.9525 -18.9111
-17.8283 -18.8283 11.5943 he4+he4+he4-->c12 -10.6278 c12+c12-->he4+ne20 -6.6278 -18.8697 -18.8283
-17.7455 -18.7455 11.4276 he4+he4+he4-->c12 -10.6278 c12+c12-->he4+ne20 -6.6278 -18.7869 -18.7455
-17.6627 -18.6627 11.2611 he4+he4+he4-->c12 -10.6278 c12+c12-->he4+ne20 -6.6278 -18.7041 -18.6627
-17.5799 -18.5799 11.0948 he4+he4+he4-->c12 -10.6278 c12+c12-->he4+ne20 -6.6278 -18.6213 -18.5799
-17.4971 -18.4971 10.9286 he4+he4+he4-->c12 -10.6278 c12+c12-->he4+ne20 -6.6278 -18.5385 -18.4971
-17.4143 -18.4143 10.7625 he4+he4+he4-->c12 -10.6278 c12+c12-->he4+ne20 -6.6278 -18.4557 -18.4143
-17.3316 -18.3316 10.5965 he4+he4+he4-->c12 -10.6278 c12+c12-->he4+ne20 -6.6278 -18.3730 -18.3316
-17.2488 -18.2488 10.4306 he4+he4+he4-->c12 -10.6278 c12+c12-->he4+ne20 -6.6278 -18.2902 -18.2488
-17.1660 -18.1660 10.2647 he4+he4+he4-->c12 -10.6278 c12+c12-->he4+ne20 -6.6278 -18.2074 -18.1660
-17.0832 -18.0832 10.0989 he4+he4+he4-->c12 -10.6278 c12+c12-->he4+ne20 -6.6278 -18.1246 -18.0832
-17.0004 -18.0004  9.9331 he4+he4+he4-->c12 -10.6278 c12+c12-->he4+ne20 -6.6278 -18.0418 -18.0004
-16.9590 -17.9590  9.8502 he4+he4+he4-->c12 -10.6278 c12+c12-->he4+ne20 -6.6278 -18.0004 -17.9590
-16.8762 -17.8762  9.6845 he4+he4+he4-->c12 -10.6278 c12+c12-->he4+ne20 -6.6278 -17.9176 -17.8762
-16.7935 -17.7935  9.5188 he4+he4+he4-->c12 -10.6278 c12+c12-->he4+ne20 -6.6278 -17.8349 -17.7935
-16.7107 -17.7107  9.3531 he4+he4+he4-->c12 -10.6278 c12+c12-->he4+ne20 -6.6278 -17.7521 -17.7107
-16.6279 -17.6279  9.1875 he4+he4+he4-->c12 -10.6278 c12+c12-->he4+ne20 -6.6278 -17.6693 -17.6279
-16.5451 -17.5451  9.0219 he4+he4+he4-->c12 -10.6278 c12+c12-->he4+ne20 -6.6278 -17.5865 -17.5451
-16.4623 -17.4623  8.8562 he4+he4+he4-->c12 -10.6277 c12+c12-->he4+ne20 -6.6277 -17.5037 -17.4623
