# All quantities actual values (not log10) 
#
# time(s)    dt(s)      dE(erg)  E(erg/g/s)    T(K)    rho(g/cm^3) 2/Rmax(s)
1.2197e-05 1.2197e-06 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 1.8697e+02
1.4758e-05 1.4758e-06 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 1.8697e+02
1.7857e-05 1.7857e-06 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 1.8697e+02
2.1607e-05 2.1607e-06 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 1.8697e+02
2.6145e-05 2.6145e-06 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 1.8697e+02
3.1635e-05 3.1635e-06 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 1.8697e+02
3.4799e-05 3.4799e-06 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 1.8697e+02
4.2106e-05 4.2106e-06 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 1.8697e+02
5.0949e-05 5.0949e-06 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 1.8697e+02
6.1648e-05 6.1648e-06 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 1.8697e+02
7.4594e-05 7.4594e-06 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 1.8697e+02
9.0259e-05 9.0259e-06 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 1.8697e+02
9.9285e-05 9.9285e-06 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 1.8697e+02
1.2013e-04 1.2013e-05 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 1.8697e+02
1.4536e-04 1.4536e-05 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 1.8697e+02
1.7589e-04 1.7589e-05 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 1.8697e+02
2.1283e-04 2.1283e-05 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 1.8697e+02
2.5752e-04 2.5752e-05 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 1.8697e+02
3.1160e-04 3.1160e-05 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 1.8697e+02
3.4276e-04 3.4276e-05 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 1.8697e+02
4.1474e-04 4.1474e-05 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 1.8697e+02
5.0183e-04 5.0183e-05 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 1.8697e+02
6.0722e-04 6.0722e-05 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 1.8697e+02
7.3473e-04 7.3473e-05 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 1.8697e+02
8.8902e-04 8.8902e-05 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 1.8697e+02
1.0757e-03 1.0757e-04 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 1.8697e+02
1.1833e-03 1.1833e-04 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 1.8697e+02
1.4318e-03 1.4318e-04 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 1.8697e+02
1.7325e-03 1.7325e-04 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 1.8697e+02
2.0963e-03 2.0963e-04 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 1.8697e+02
2.5365e-03 2.5365e-04 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 1.8697e+02
3.0692e-03 3.0692e-04 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 1.8697e+02
3.7137e-03 3.7137e-04 -2.5195e+06 -8.5059e+02 2.5000e+07 1.0000e+02 1.8697e+02
4.0850e-03 4.0850e-04 0.0000e+00 -8.5059e+02 2.5000e+07 1.0000e+02 1.8697e+02
4.9429e-03 4.9429e-04 0.0000e+00 -8.5059e+02 2.5000e+07 1.0000e+02 1.8697e+02
5.9809e-03 5.9809e-04 0.0000e+00 -8.5059e+02 2.5000e+07 1.0000e+02 1.8697e+02
7.2369e-03 7.2369e-04 0.0000e+00 -8.5059e+02 2.5000e+07 1.0000e+02 1.8697e+02
8.7566e-03 8.7566e-04 0.0000e+00 -8.5059e+02 2.5000e+07 1.0000e+02 1.8697e+02
1.0596e-02 1.0596e-03 0.0000e+00 -8.5059e+02 2.5000e+07 1.0000e+02 1.8697e+02
1.2821e-02 1.2821e-03 0.0000e+00 -1.7012e+03 2.5000e+07 1.0000e+02 1.8697e+02
1.4103e-02 1.4103e-03 0.0000e+00 -1.7012e+03 2.5000e+07 1.0000e+02 1.8697e+02
1.7064e-02 1.7064e-03 0.0000e+00 -1.7012e+03 2.5000e+07 1.0000e+02 1.8697e+02
2.0648e-02 2.0648e-03 0.0000e+00 -2.5518e+03 2.5000e+07 1.0000e+02 1.8697e+02
2.4984e-02 2.4984e-03 0.0000e+00 -2.5518e+03 2.5000e+07 1.0000e+02 1.8697e+02
3.0230e-02 3.0230e-03 0.0000e+00 -3.4024e+03 2.5000e+07 1.0000e+02 1.8697e+02
3.6579e-02 3.6579e-03 0.0000e+00 -4.2530e+03 2.5000e+07 1.0000e+02 1.8697e+02
4.0237e-02 4.0237e-03 0.0000e+00 -4.2530e+03 2.5000e+07 1.0000e+02 1.8697e+02
4.8686e-02 4.8686e-03 1.9218e+05 -1.7012e+03 2.5000e+07 1.0000e+02 1.8697e+02
5.8910e-02 5.8910e-03 1.5883e+05 0.0000e+00 2.5000e+07 1.0000e+02 1.8697e+02
7.1282e-02 7.1282e-03 0.0000e+00 8.5059e+02 2.5000e+07 1.0000e+02 1.8697e+02
8.6251e-02 8.6251e-03 1.0848e+05 3.4024e+03 2.5000e+07 1.0000e+02 1.8697e+02
1.0436e-01 1.0436e-02 0.0000e+00 4.2530e+03 2.5000e+07 1.0000e+02 1.8697e+02
1.2628e-01 1.2628e-02 1.4819e+05 5.1035e+03 2.5000e+07 1.0000e+02 1.8697e+02
1.3891e-01 1.3891e-02 6.7358e+04 5.9541e+03 2.5000e+07 1.0000e+02 1.8697e+02
1.6808e-01 1.6808e-02 1.1134e+05 7.6553e+03 2.5000e+07 1.0000e+02 1.8697e+02
2.0337e-01 2.0337e-02 4.6006e+04 1.0207e+04 2.5000e+07 1.0000e+02 1.8697e+02
2.4608e-01 2.4608e-02 3.8022e+04 1.3609e+04 2.5000e+07 1.0000e+02 1.8697e+02
2.9776e-01 2.9776e-02 9.4269e+04 1.9564e+04 2.5000e+07 1.0000e+02 1.8697e+02
3.6029e-01 3.6029e-02 1.0388e+05 2.5518e+04 2.5000e+07 1.0000e+02 1.8697e+02
4.3595e-01 4.3595e-02 1.0731e+05 3.2322e+04 2.5000e+07 1.0000e+02 1.8697e+02
4.7955e-01 4.7955e-02 7.8045e+04 3.5725e+04 2.5000e+07 1.0000e+02 1.8697e+02
5.8025e-01 5.8025e-02 8.0625e+04 4.5081e+04 2.5000e+07 1.0000e+02 1.8697e+02
7.0210e-01 7.0210e-02 9.3285e+04 5.6139e+04 2.5000e+07 1.0000e+02 1.8697e+02
8.4955e-01 8.4955e-02 7.7095e+04 6.8898e+04 2.5000e+07 1.0000e+02 1.8697e+02
1.0280e+00 1.0280e-01 8.1919e+04 8.3358e+04 2.5000e+07 1.0000e+02 1.8697e+02
1.2438e+00 1.2438e-01 8.2746e+04 1.0292e+05 2.5000e+07 1.0000e+02 1.8697e+02
1.5050e+00 1.5050e-01 1.0569e+05 1.2674e+05 2.5000e+07 1.0000e+02 1.8697e+02
1.6555e+00 1.6555e-01 8.4775e+04 1.3950e+05 2.5000e+07 1.0000e+02 1.8697e+02
2.0032e+00 2.0032e-01 8.4075e+04 1.7012e+05 2.5000e+07 1.0000e+02 1.8697e+02
2.4239e+00 2.4239e-01 9.2644e+04 2.0754e+05 2.5000e+07 1.0000e+02 1.8697e+02
2.9329e+00 2.9329e-01 9.2517e+04 2.5177e+05 2.5000e+07 1.0000e+02 1.8697e+02
3.5488e+00 3.5488e-01 8.9643e+04 3.0536e+05 2.5000e+07 1.0000e+02 1.8697e+02
4.2940e+00 4.2940e-01 8.7159e+04 3.7171e+05 2.5000e+07 1.0000e+02 1.8697e+02
4.7234e+00 4.7234e-01 8.5178e+04 4.0828e+05 2.5000e+07 1.0000e+02 1.8697e+02
5.7153e+00 5.7153e-01 8.8403e+04 4.9504e+05 2.5000e+07 1.0000e+02 1.8697e+02
6.9155e+00 6.9155e-01 8.9296e+04 6.0052e+05 2.5000e+07 1.0000e+02 1.8697e+02
8.3678e+00 8.3678e-01 8.6098e+04 7.2640e+05 2.5000e+07 1.0000e+02 1.8697e+02
1.0125e+01 1.0125e+00 8.6865e+04 8.7951e+05 2.5000e+07 1.0000e+02 1.8697e+02
1.2251e+01 1.2251e+00 8.7064e+04 1.0649e+06 2.5000e+07 1.0000e+02 1.8697e+02
1.4824e+01 1.4824e+00 8.6470e+04 1.2895e+06 2.5000e+07 1.0000e+02 1.8697e+02
1.6306e+01 1.6306e+00 8.7216e+04 1.4188e+06 2.5000e+07 1.0000e+02 1.8697e+02
1.9731e+01 1.9731e+00 8.8677e+04 1.7207e+06 2.5000e+07 1.0000e+02 1.8697e+02
2.3874e+01 2.3874e+00 8.9355e+04 2.0873e+06 2.5000e+07 1.0000e+02 1.8697e+02
2.8888e+01 2.8888e+00 8.9070e+04 2.5305e+06 2.5000e+07 1.0000e+02 1.8697e+02
