# All quantities actual values (not log10) 
#
# time(s)    dt(s)      dE(erg)  E(erg/g/s)    T(K)    rho(g/cm^3) 2/Rmax(s)
1.2273e-18 1.2273e-19 4.5821e+27 5.5776e+09 6.0000e+09 1.0000e+08 8.8461e-14
1.4850e-18 1.4850e-19 4.5821e+27 6.7585e+09 6.0000e+09 1.0000e+08 8.8461e-14
1.7968e-18 1.7968e-19 4.5821e+27 8.1874e+09 6.0000e+09 1.0000e+08 8.8461e-14
2.1742e-18 2.1742e-19 4.5821e+27 9.9164e+09 6.0000e+09 1.0000e+08 8.8461e-14
2.6308e-18 2.6308e-19 4.5821e+27 1.2008e+10 6.0000e+09 1.0000e+08 8.8461e-14
3.1832e-18 3.1832e-19 4.5821e+27 1.4540e+10 6.0000e+09 1.0000e+08 8.8461e-14
3.8517e-18 3.8517e-19 4.5821e+27 1.7603e+10 6.0000e+09 1.0000e+08 8.8461e-14
4.6605e-18 4.6605e-19 4.5821e+27 2.1309e+10 6.0000e+09 1.0000e+08 8.8461e-14
5.6393e-18 5.6393e-19 4.5821e+27 2.5794e+10 6.0000e+09 1.0000e+08 8.8461e-14
6.8235e-18 6.8235e-19 4.5821e+27 3.1220e+10 6.0000e+09 1.0000e+08 8.8461e-14
8.2564e-18 8.2564e-19 4.5821e+27 3.7786e+10 6.0000e+09 1.0000e+08 8.8461e-14
9.9903e-18 9.9903e-19 4.5820e+27 4.5730e+10 6.0000e+09 1.0000e+08 8.8461e-14
1.0989e-17 1.0989e-18 4.5820e+27 5.0308e+10 6.0000e+09 1.0000e+08 8.8461e-14
1.3297e-17 1.3297e-18 4.5820e+27 6.0882e+10 6.0000e+09 1.0000e+08 8.8461e-14
1.6089e-17 1.6089e-18 4.5820e+27 7.3677e+10 6.0000e+09 1.0000e+08 8.8461e-14
1.9468e-17 1.9468e-18 4.5820e+27 8.9159e+10 6.0000e+09 1.0000e+08 8.8461e-14
2.3557e-17 2.3557e-18 4.5820e+27 1.0789e+11 6.0000e+09 1.0000e+08 8.8461e-14
2.8503e-17 2.8503e-18 4.5820e+27 1.3056e+11 6.0000e+09 1.0000e+08 8.8461e-14
3.4489e-17 3.4489e-18 4.5820e+27 1.5798e+11 6.0000e+09 1.0000e+08 8.8461e-14
4.1732e-17 4.1732e-18 4.5820e+27 1.9117e+11 6.0000e+09 1.0000e+08 8.8461e-14
5.0496e-17 5.0496e-18 4.5820e+27 2.3133e+11 6.0000e+09 1.0000e+08 8.8461e-14
6.1100e-17 6.1100e-18 4.5819e+27 2.7991e+11 6.0000e+09 1.0000e+08 8.8461e-14
7.3931e-17 7.3931e-18 4.5819e+27 3.3870e+11 6.0000e+09 1.0000e+08 8.8461e-14
8.9456e-17 8.9456e-18 4.5819e+27 4.0984e+11 6.0000e+09 1.0000e+08 8.8461e-14
1.0824e-16 1.0824e-17 4.5818e+27 4.9591e+11 6.0000e+09 1.0000e+08 8.8461e-14
1.3097e-16 1.3097e-17 4.5818e+27 6.0006e+11 6.0000e+09 1.0000e+08 8.8461e-14
1.5848e-16 1.5848e-17 4.5817e+27 7.2608e+11 6.0000e+09 1.0000e+08 8.8461e-14
1.7432e-16 1.7432e-17 4.5817e+27 7.9868e+11 6.0000e+09 1.0000e+08 8.8461e-14
2.1093e-16 2.1093e-17 4.5816e+27 9.6641e+11 6.0000e+09 1.0000e+08 8.8461e-14
2.5523e-16 2.5523e-17 4.5815e+27 1.1694e+12 6.0000e+09 1.0000e+08 8.8461e-14
3.0883e-16 3.0883e-17 4.5813e+27 1.4149e+12 6.0000e+09 1.0000e+08 8.8461e-14
3.7368e-16 3.7368e-17 4.5812e+27 1.7120e+12 6.0000e+09 1.0000e+08 8.8461e-14
4.5215e-16 4.5215e-17 4.5810e+27 2.0715e+12 6.0000e+09 1.0000e+08 8.8461e-14
5.4711e-16 5.4711e-17 4.5808e+27 2.5065e+12 6.0000e+09 1.0000e+08 8.8461e-14
6.6200e-16 6.6200e-17 4.5805e+27 3.0327e+12 6.0000e+09 1.0000e+08 8.8461e-14
8.0102e-16 8.0102e-17 4.5802e+27 3.6695e+12 6.0000e+09 1.0000e+08 8.8461e-14
9.6923e-16 9.6923e-17 4.5798e+27 4.4399e+12 6.0000e+09 1.0000e+08 8.8461e-14
1.1728e-15 1.1728e-16 4.5793e+27 5.3720e+12 6.0000e+09 1.0000e+08 8.8461e-14
1.4191e-15 1.4191e-16 4.5788e+27 6.4997e+12 6.0000e+09 1.0000e+08 8.8461e-14
1.7171e-15 1.7171e-16 4.5781e+27 7.8640e+12 6.0000e+09 1.0000e+08 8.8461e-14
2.0776e-15 2.0776e-16 4.5772e+27 9.5145e+12 6.0000e+09 1.0000e+08 8.8461e-14
2.5139e-15 2.5139e-16 4.5763e+27 1.1511e+13 6.0000e+09 1.0000e+08 8.8461e-14
2.7653e-15 2.7653e-16 4.5757e+27 1.2662e+13 6.0000e+09 1.0000e+08 8.8461e-14
3.3460e-15 3.3460e-16 4.5744e+27 1.5318e+13 6.0000e+09 1.0000e+08 8.8461e-14
4.0487e-15 4.0487e-16 4.5729e+27 1.8532e+13 6.0000e+09 1.0000e+08 8.8461e-14
4.8990e-15 4.8990e-16 4.5710e+27 2.2418e+13 6.0000e+09 1.0000e+08 8.8461e-14
5.9277e-15 5.9277e-16 4.5689e+27 2.7119e+13 6.0000e+09 1.0000e+08 8.8461e-14
7.1726e-15 7.1726e-16 4.5663e+27 3.2804e+13 6.0000e+09 1.0000e+08 8.8461e-14
8.6788e-15 8.6788e-16 4.5633e+27 3.9679e+13 6.0000e+09 1.0000e+08 8.8461e-14
1.0501e-14 1.0501e-15 4.5598e+27 4.7991e+13 6.0000e+09 1.0000e+08 8.8461e-14
1.2707e-14 1.2707e-15 4.5558e+27 5.8040e+13 6.0000e+09 1.0000e+08 8.8461e-14
1.5375e-14 1.5375e-15 4.5512e+27 7.0187e+13 6.0000e+09 1.0000e+08 8.8461e-14
1.8604e-14 1.8604e-15 4.5460e+27 8.4869e+13 6.0000e+09 1.0000e+08 8.8461e-14
2.2511e-14 2.2511e-15 4.5403e+27 1.0261e+14 6.0000e+09 1.0000e+08 8.8461e-14
2.7238e-14 2.7238e-15 4.5341e+27 1.2405e+14 6.0000e+09 1.0000e+08 8.8461e-14
3.2958e-14 3.2958e-15 4.5277e+27 1.4996e+14 6.0000e+09 1.0000e+08 8.8461e-14
3.9879e-14 3.9879e-15 4.5213e+27 1.8126e+14 6.0000e+09 1.0000e+08 8.8461e-14
4.3867e-14 4.3867e-15 4.5183e+27 1.9928e+14 6.0000e+09 1.0000e+08 8.8461e-14
5.3079e-14 5.3079e-15 4.5130e+27 2.4087e+14 6.0000e+09 1.0000e+08 8.8461e-14
6.4225e-14 6.4225e-15 4.5094e+27 2.9114e+14 6.0000e+09 1.0000e+08 8.8461e-14
7.7713e-14 7.7713e-15 4.5085e+27 3.5195e+14 6.0000e+09 1.0000e+08 8.8461e-14
9.4032e-14 9.4032e-15 4.5118e+27 4.2556e+14 6.0000e+09 1.0000e+08 8.8461e-14
1.1378e-13 1.1378e-14 4.5209e+27 5.1478e+14 6.0000e+09 1.0000e+08 8.8461e-14
1.3767e-13 1.3767e-14 4.5375e+27 6.2309e+14 6.0000e+09 1.0000e+08 8.8461e-14
1.6658e-13 1.6658e-14 4.5634e+27 7.5483e+14 6.0000e+09 1.0000e+08 8.8461e-14
2.0157e-13 2.0157e-14 4.5995e+27 9.1541e+14 6.0000e+09 1.0000e+08 8.8461e-14
2.4390e-13 2.4390e-14 4.6456e+27 1.1116e+15 6.0000e+09 1.0000e+08 8.8461e-14
2.9511e-13 2.9511e-14 4.6988e+27 1.3516e+15 6.0000e+09 1.0000e+08 8.8461e-14
3.5709e-13 3.5709e-14 4.7538e+27 1.6454e+15 6.0000e+09 1.0000e+08 8.8461e-14
4.3208e-13 4.3208e-14 4.8033e+27 2.0047e+15 6.0000e+09 1.0000e+08 8.8461e-14
4.9468e-13 4.9468e-14 4.8344e+27 2.3070e+15 6.0000e+09 1.0000e+08 8.8461e-14
5.9411e-13 5.5504e-14 4.8601e+27 2.7895e+15 6.0000e+09 1.0000e+08 8.8461e-14
6.9438e-13 6.0790e-14 4.8712e+27 3.2776e+15 6.0000e+09 1.0000e+08 8.8461e-14
8.4925e-13 7.8499e-14 4.8794e+27 4.0328e+15 6.0000e+09 1.0000e+08 8.8461e-14
1.0340e-12 7.0957e-14 4.8882e+27 4.9354e+15 6.0000e+09 1.0000e+08 8.8461e-14
1.2325e-12 6.2857e-14 4.8980e+27 5.9067e+15 6.0000e+09 1.0000e+08 8.8461e-14
1.4592e-12 7.7954e-14 4.9055e+27 7.0182e+15 6.0000e+09 1.0000e+08 8.8461e-14
1.7442e-12 6.6320e-14 4.9027e+27 8.4163e+15 6.0000e+09 1.0000e+08 8.8461e-14
2.1149e-12 7.5864e-14 4.8718e+27 1.0228e+16 6.0000e+09 1.0000e+08 8.8461e-14
2.5151e-12 5.9532e-14 4.8029e+27 1.2164e+16 6.0000e+09 1.0000e+08 8.8461e-14
3.0473e-12 6.2812e-14 4.6721e+27 1.4685e+16 6.0000e+09 1.0000e+08 8.8461e-14
3.6475e-12 6.3648e-14 4.4928e+27 1.7434e+16 6.0000e+09 1.0000e+08 8.8461e-14
4.3659e-12 5.9489e-14 4.2627e+27 2.0576e+16 6.0000e+09 1.0000e+08 8.8461e-14
5.2733e-12 7.3264e-14 3.9794e+27 2.4310e+16 6.0000e+09 1.0000e+08 8.8461e-14
6.3102e-12 8.1560e-14 3.6767e+27 2.8271e+16 6.0000e+09 1.0000e+08 8.8461e-14
7.6127e-12 7.8822e-14 3.3278e+27 3.2822e+16 6.0000e+09 1.0000e+08 8.8461e-14
