# All quantities actual values (not log10) 
#
# time(s)    dt(s)      dE(erg)  E(erg/g/s)    T(K)    rho(g/cm^3) 2/Rmax(s)
1.2878e+04 1.2878e+03 7.8249e+02 9.7877e+06 2.0000e+07 2.0000e+01 3.5144e+02
1.4166e+04 1.4166e+03 7.8071e+02 1.0793e+07 2.0000e+07 2.0000e+01 3.5144e+02
1.7141e+04 1.7141e+03 7.8004e+02 1.3115e+07 2.0000e+07 2.0000e+01 3.5144e+02
2.0740e+04 2.0740e+03 7.8136e+02 1.5926e+07 2.0000e+07 2.0000e+01 3.5144e+02
2.5096e+04 2.5096e+03 7.8034e+02 1.9324e+07 2.0000e+07 2.0000e+01 3.5144e+02
3.0366e+04 3.0366e+03 7.8049e+02 2.3438e+07 2.0000e+07 2.0000e+01 3.5144e+02
3.6742e+04 3.6742e+03 7.8051e+02 2.8416e+07 2.0000e+07 2.0000e+01 3.5144e+02
4.0417e+04 4.0417e+03 7.8016e+02 3.1282e+07 2.0000e+07 2.0000e+01 3.5144e+02
4.8904e+04 4.8904e+03 7.8079e+02 3.7908e+07 2.0000e+07 2.0000e+01 3.5144e+02
5.9174e+04 5.9174e+03 7.8063e+02 4.5925e+07 2.0000e+07 2.0000e+01 3.5144e+02
7.1601e+04 7.1601e+03 7.8053e+02 5.5625e+07 2.0000e+07 2.0000e+01 3.5144e+02
8.6637e+04 8.6637e+03 7.8060e+02 6.7363e+07 2.0000e+07 2.0000e+01 3.5144e+02
9.5300e+04 9.5300e+03 7.8072e+02 7.4127e+07 2.0000e+07 2.0000e+01 3.5144e+02
1.1531e+05 1.1531e+04 7.8081e+02 8.9752e+07 2.0000e+07 2.0000e+01 3.5144e+02
1.3953e+05 1.3953e+04 7.8069e+02 1.0866e+08 2.0000e+07 2.0000e+01 3.5144e+02
1.6883e+05 1.6883e+04 7.8058e+02 1.3153e+08 2.0000e+07 2.0000e+01 3.5144e+02
2.0428e+05 2.0428e+04 7.8055e+02 1.5920e+08 2.0000e+07 2.0000e+01 3.5144e+02
2.2471e+05 2.2471e+04 7.8066e+02 1.7515e+08 2.0000e+07 2.0000e+01 3.5144e+02
2.7190e+05 2.7190e+04 7.8062e+02 2.1199e+08 2.0000e+07 2.0000e+01 3.5144e+02
3.2900e+05 3.2900e+04 7.8062e+02 2.5656e+08 2.0000e+07 2.0000e+01 3.5144e+02
3.9809e+05 3.9809e+04 7.8061e+02 3.1049e+08 2.0000e+07 2.0000e+01 3.5144e+02
4.8169e+05 4.8169e+04 7.8062e+02 3.7575e+08 2.0000e+07 2.0000e+01 3.5144e+02
5.8285e+05 5.8285e+04 7.8061e+02 4.5472e+08 2.0000e+07 2.0000e+01 3.5144e+02
6.4113e+05 6.4113e+04 7.8062e+02 5.0022e+08 2.0000e+07 2.0000e+01 3.5144e+02
7.7577e+05 7.7577e+04 7.8061e+02 6.0532e+08 2.0000e+07 2.0000e+01 3.5144e+02
9.3868e+05 9.3868e+04 7.8059e+02 7.3249e+08 2.0000e+07 2.0000e+01 3.5144e+02
1.1358e+06 1.1358e+05 7.8062e+02 8.8637e+08 2.0000e+07 2.0000e+01 3.5144e+02
1.3743e+06 1.3743e+05 7.8061e+02 1.0726e+09 2.0000e+07 2.0000e+01 3.5144e+02
1.5118e+06 1.5118e+05 7.8061e+02 1.1798e+09 2.0000e+07 2.0000e+01 3.5144e+02
1.8292e+06 1.8292e+05 7.8060e+02 1.4277e+09 2.0000e+07 2.0000e+01 3.5144e+02
2.2134e+06 2.2134e+05 7.8060e+02 1.7275e+09 2.0000e+07 2.0000e+01 3.5144e+02
2.6782e+06 2.6782e+05 7.8059e+02 2.0903e+09 2.0000e+07 2.0000e+01 3.5144e+02
3.2406e+06 3.2406e+05 7.8058e+02 2.5293e+09 2.0000e+07 2.0000e+01 3.5144e+02
3.5646e+06 3.5646e+05 7.8058e+02 2.7823e+09 2.0000e+07 2.0000e+01 3.5144e+02
4.3132e+06 4.3132e+05 7.8056e+02 3.3666e+09 2.0000e+07 2.0000e+01 3.5144e+02
5.2190e+06 5.2190e+05 7.8055e+02 4.0736e+09 2.0000e+07 2.0000e+01 3.5144e+02
6.3150e+06 6.3150e+05 7.8053e+02 4.9291e+09 2.0000e+07 2.0000e+01 3.5144e+02
7.6411e+06 7.6411e+05 7.8051e+02 5.9642e+09 2.0000e+07 2.0000e+01 3.5144e+02
9.2458e+06 9.2458e+05 7.8049e+02 7.2166e+09 2.0000e+07 2.0000e+01 3.5144e+02
1.0170e+07 1.0170e+06 7.8047e+02 7.9382e+09 2.0000e+07 2.0000e+01 3.5144e+02
1.2306e+07 1.2306e+06 7.8044e+02 9.6050e+09 2.0000e+07 2.0000e+01 3.5144e+02
1.4890e+07 1.4890e+06 7.8040e+02 1.1622e+10 2.0000e+07 2.0000e+01 3.5144e+02
1.8017e+07 1.8017e+06 7.8035e+02 1.4062e+10 2.0000e+07 2.0000e+01 3.5144e+02
2.1801e+07 2.1801e+06 7.8029e+02 1.7014e+10 2.0000e+07 2.0000e+01 3.5144e+02
2.3981e+07 2.3981e+06 7.8026e+02 1.8715e+10 2.0000e+07 2.0000e+01 3.5144e+02
2.9017e+07 2.9017e+06 7.8018e+02 2.2645e+10 2.0000e+07 2.0000e+01 3.5144e+02
3.5111e+07 3.5111e+06 7.8009e+02 2.7398e+10 2.0000e+07 2.0000e+01 3.5144e+02
4.2484e+07 4.2484e+06 7.7997e+02 3.3149e+10 2.0000e+07 2.0000e+01 3.5144e+02
5.1406e+07 5.1406e+06 7.7984e+02 4.0107e+10 2.0000e+07 2.0000e+01 3.5144e+02
5.6546e+07 5.6546e+06 7.7976e+02 4.4116e+10 2.0000e+07 2.0000e+01 3.5144e+02
6.8421e+07 6.8421e+06 7.7957e+02 5.3373e+10 2.0000e+07 2.0000e+01 3.5144e+02
8.2789e+07 8.2789e+06 7.7935e+02 6.4572e+10 2.0000e+07 2.0000e+01 3.5144e+02
1.0018e+08 1.0018e+07 7.7909e+02 7.8118e+10 2.0000e+07 2.0000e+01 3.5144e+02
1.2121e+08 1.2121e+07 7.7877e+02 9.4503e+10 2.0000e+07 2.0000e+01 3.5144e+02
1.4667e+08 1.4667e+07 7.7838e+02 1.1432e+11 2.0000e+07 2.0000e+01 3.5144e+02
1.6133e+08 1.6133e+07 7.7815e+02 1.2573e+11 2.0000e+07 2.0000e+01 3.5144e+02
1.9521e+08 1.9521e+07 7.7764e+02 1.5208e+11 2.0000e+07 2.0000e+01 3.5144e+02
2.3621e+08 2.3621e+07 7.7702e+02 1.8394e+11 2.0000e+07 2.0000e+01 3.5144e+02
2.8581e+08 2.8581e+07 7.7628e+02 2.2246e+11 2.0000e+07 2.0000e+01 3.5144e+02
3.4583e+08 3.4583e+07 7.7538e+02 2.6901e+11 2.0000e+07 2.0000e+01 3.5144e+02
3.8042e+08 3.8042e+07 7.7487e+02 2.9581e+11 2.0000e+07 2.0000e+01 3.5144e+02
4.6030e+08 4.6030e+07 7.7369e+02 3.5764e+11 2.0000e+07 2.0000e+01 3.5144e+02
5.5697e+08 5.5697e+07 7.7227e+02 4.3232e+11 2.0000e+07 2.0000e+01 3.5144e+02
6.7393e+08 6.7393e+07 7.7059e+02 5.2250e+11 2.0000e+07 2.0000e+01 3.5144e+02
8.1545e+08 8.1545e+07 7.6858e+02 6.3135e+11 2.0000e+07 2.0000e+01 3.5144e+02
8.9700e+08 8.9700e+07 7.6743e+02 6.9393e+11 2.0000e+07 2.0000e+01 3.5144e+02
1.0854e+09 1.0854e+08 7.6483e+02 8.3812e+11 2.0000e+07 2.0000e+01 3.5144e+02
1.3133e+09 1.3133e+08 7.6175e+02 1.0119e+12 2.0000e+07 2.0000e+01 3.5144e+02
1.5891e+09 1.5891e+08 7.5814e+02 1.2213e+12 2.0000e+07 2.0000e+01 3.5144e+02
1.8704e+09 1.8704e+08 7.5410e+02 1.4337e+12 2.0000e+07 2.0000e+01 3.5144e+02
2.1582e+09 2.0162e+08 7.5013e+02 1.6500e+12 2.0000e+07 2.0000e+01 3.5144e+02
2.6027e+09 2.6027e+08 7.4516e+02 1.9820e+12 2.0000e+07 2.0000e+01 3.5144e+02
3.0160e+09 2.8176e+08 7.4009e+02 2.2885e+12 2.0000e+07 2.0000e+01 3.5144e+02
3.5519e+09 2.5988e+08 7.3407e+02 2.6831e+12 2.0000e+07 2.0000e+01 3.5144e+02
4.2664e+09 3.3559e+08 7.2706e+02 3.2045e+12 2.0000e+07 2.0000e+01 3.5144e+02
5.0628e+09 2.9728e+08 7.1957e+02 3.7799e+12 2.0000e+07 2.0000e+01 3.5144e+02
6.0233e+09 2.5808e+08 7.1158e+02 4.4665e+12 2.0000e+07 2.0000e+01 3.5144e+02
7.1139e+09 3.1366e+08 7.0398e+02 5.2378e+12 2.0000e+07 2.0000e+01 3.5144e+02
8.4293e+09 2.5628e+08 6.9598e+02 6.1578e+12 2.0000e+07 2.0000e+01 3.5144e+02
1.0015e+10 2.8730e+08 6.8839e+02 7.2547e+12 2.0000e+07 2.0000e+01 3.5144e+02
1.1894e+10 3.0932e+08 6.8151e+02 8.5409e+12 2.0000e+07 2.0000e+01 3.5144e+02
1.4259e+10 3.0717e+08 6.7546e+02 1.0145e+13 2.0000e+07 2.0000e+01 3.5144e+02
1.6859e+10 2.9295e+08 6.7145e+02 1.1895e+13 2.0000e+07 2.0000e+01 3.5144e+02
1.9961e+10 2.5771e+08 6.6931e+02 1.3973e+13 2.0000e+07 2.0000e+01 3.5144e+02
2.3803e+10 2.8689e+08 6.6943e+02 1.6544e+13 2.0000e+07 2.0000e+01 3.5144e+02
2.8197e+10 2.6614e+08 6.7196e+02 1.9491e+13 2.0000e+07 2.0000e+01 3.5144e+02
3.3616e+10 2.9957e+08 6.7712e+02 2.3146e+13 2.0000e+07 2.0000e+01 3.5144e+02
3.9908e+10 3.2455e+08 6.8460e+02 2.7430e+13 2.0000e+07 2.0000e+01 3.5144e+02
4.7345e+10 2.0521e+08 6.9439e+02 3.2558e+13 2.0000e+07 2.0000e+01 3.5144e+02
5.6262e+10 2.7277e+08 7.0639e+02 3.8804e+13 2.0000e+07 2.0000e+01 3.5144e+02
6.6861e+10 2.7938e+08 7.2061e+02 4.6367e+13 2.0000e+07 2.0000e+01 3.5144e+02
7.9456e+10 3.0151e+08 7.3704e+02 5.5549e+13 2.0000e+07 2.0000e+01 3.5144e+02
9.4443e+10 2.9158e+08 7.5584e+02 6.6738e+13 2.0000e+07 2.0000e+01 3.5144e+02
1.1223e+11 2.9245e+08 7.7703e+02 8.0371e+13 2.0000e+07 2.0000e+01 3.5144e+02
1.3340e+11 2.2792e+08 8.0076e+02 9.7082e+13 2.0000e+07 2.0000e+01 3.5144e+02
1.5861e+11 2.5979e+08 8.2688e+02 1.1760e+14 2.0000e+07 2.0000e+01 3.5144e+02
