# All quantities actual values (not log10) 
#
# time(s)    dt(s)      dE(erg)  E(erg/g/s)    T(K)    rho(g/cm^3) 2/Rmax(s)
1.4791e-18 1.4791e-19 1.6548e+28 2.4311e+10 7.0000e+09 1.0000e+08 2.3564e-11
2.1878e-18 4.4398e-20 1.6548e+28 3.6038e+10 7.0000e+09 1.0000e+08 2.3564e-11
3.2359e-18 3.2359e-19 1.6548e+28 5.3384e+10 7.0000e+09 1.0000e+08 2.3564e-11
4.7863e-18 9.7132e-20 1.6548e+28 7.9039e+10 7.0000e+09 1.0000e+08 2.3564e-11
7.0795e-18 7.0795e-19 1.6548e+28 1.1699e+11 7.0000e+09 1.0000e+08 2.3564e-11
1.0471e-17 2.1250e-19 1.6548e+28 1.7312e+11 7.0000e+09 1.0000e+08 2.3564e-11
1.5488e-17 1.5488e-18 1.6548e+28 2.5614e+11 7.0000e+09 1.0000e+08 2.3564e-11
2.2909e-17 4.6490e-19 1.6548e+28 3.7893e+11 7.0000e+09 1.0000e+08 2.3564e-11
3.3884e-17 3.3884e-18 1.6548e+28 5.6056e+11 7.0000e+09 1.0000e+08 2.3564e-11
5.0119e-17 1.0171e-18 1.6548e+28 8.2921e+11 7.0000e+09 1.0000e+08 2.3564e-11
7.4131e-17 7.4131e-18 1.6548e+28 1.2266e+12 7.0000e+09 1.0000e+08 2.3564e-11
1.0965e-16 2.2252e-18 1.6548e+28 1.8143e+12 7.0000e+09 1.0000e+08 2.3564e-11
1.6218e-16 1.6218e-17 1.6547e+28 2.6836e+12 7.0000e+09 1.0000e+08 2.3565e-11
2.3988e-16 4.8682e-18 1.6547e+28 3.9693e+12 7.0000e+09 1.0000e+08 2.3565e-11
3.5481e-16 3.5481e-17 1.6546e+28 5.8710e+12 7.0000e+09 1.0000e+08 2.3565e-11
5.2481e-16 1.0650e-17 1.6545e+28 8.6837e+12 7.0000e+09 1.0000e+08 2.3566e-11
7.7625e-16 7.7625e-17 1.6544e+28 1.2844e+13 7.0000e+09 1.0000e+08 2.3567e-11
1.1482e-15 2.3300e-17 1.6542e+28 1.8996e+13 7.0000e+09 1.0000e+08 2.3569e-11
1.6982e-15 1.6982e-16 1.6539e+28 2.8095e+13 7.0000e+09 1.0000e+08 2.3570e-11
2.5119e-15 5.0976e-17 1.6534e+28 4.1549e+13 7.0000e+09 1.0000e+08 2.3574e-11
3.7154e-15 3.7154e-16 1.6528e+28 6.1444e+13 7.0000e+09 1.0000e+08 2.3578e-11
