# All quantities actual values (not log10) 
#
# time(s)    dt(s)      dE(erg)  E(erg/g/s)    T(K)    rho(g/cm^3) 2/Rmax(s)
2.9017e+07 5.2759e+06 7.6388e+02 2.2171e+10 2.0000e+07 2.0000e+01 1.8697e+02
3.1919e+07 5.8034e+06 7.6383e+02 2.4388e+10 2.0000e+07 2.0000e+01 1.8697e+02
3.5111e+07 6.3838e+06 7.6379e+02 2.6826e+10 2.0000e+07 2.0000e+01 1.8697e+02
3.8622e+07 7.0222e+06 7.6373e+02 2.9507e+10 2.0000e+07 2.0000e+01 1.8697e+02
4.2484e+07 7.7244e+06 7.6368e+02 3.2457e+10 2.0000e+07 2.0000e+01 1.8697e+02
4.6732e+07 8.4968e+06 7.6361e+02 3.5701e+10 2.0000e+07 2.0000e+01 1.8697e+02
5.1406e+07 9.3465e+06 7.6355e+02 3.9269e+10 2.0000e+07 2.0000e+01 1.8697e+02
5.6546e+07 1.0281e+07 7.6347e+02 4.3194e+10 2.0000e+07 2.0000e+01 1.8697e+02
6.2201e+07 1.1309e+07 7.6338e+02 4.7510e+10 2.0000e+07 2.0000e+01 1.8697e+02
6.8421e+07 1.2440e+07 7.6329e+02 5.2258e+10 2.0000e+07 2.0000e+01 1.8697e+02
7.5263e+07 1.3684e+07 7.6319e+02 5.7480e+10 2.0000e+07 2.0000e+01 1.8697e+02
8.2789e+07 1.5053e+07 7.6308e+02 6.3223e+10 2.0000e+07 2.0000e+01 1.8697e+02
8.9432e+07 1.3286e+07 7.6296e+02 6.8291e+10 2.0000e+07 2.0000e+01 1.8697e+02
9.5328e+07 1.1791e+07 7.6286e+02 7.2789e+10 2.0000e+07 2.0000e+01 1.8697e+02
1.0161e+08 1.2568e+07 7.6277e+02 7.7582e+10 2.0000e+07 2.0000e+01 1.8697e+02
1.0831e+08 1.3397e+07 7.6267e+02 8.2691e+10 2.0000e+07 2.0000e+01 1.8697e+02
1.1545e+08 1.4280e+07 7.6256e+02 8.8136e+10 2.0000e+07 2.0000e+01 1.8697e+02
1.2306e+08 1.5222e+07 7.6244e+02 9.3939e+10 2.0000e+07 2.0000e+01 1.8697e+02
1.3117e+08 1.6225e+07 7.6232e+02 1.0012e+11 2.0000e+07 2.0000e+01 1.8697e+02
1.3982e+08 1.7295e+07 7.6219e+02 1.0671e+11 2.0000e+07 2.0000e+01 1.8697e+02
1.4904e+08 1.8435e+07 7.6205e+02 1.1374e+11 2.0000e+07 2.0000e+01 1.8697e+02
1.5886e+08 1.9650e+07 7.6191e+02 1.2122e+11 2.0000e+07 2.0000e+01 1.8697e+02
1.6934e+08 2.0945e+07 7.6175e+02 1.2920e+11 2.0000e+07 2.0000e+01 1.8697e+02
1.8050e+08 2.2326e+07 7.6158e+02 1.3770e+11 2.0000e+07 2.0000e+01 1.8697e+02
1.9240e+08 2.3798e+07 7.6140e+02 1.4676e+11 2.0000e+07 2.0000e+01 1.8697e+02
2.0508e+08 2.5367e+07 7.6121e+02 1.5642e+11 2.0000e+07 2.0000e+01 1.8697e+02
2.1860e+08 2.7039e+07 7.6101e+02 1.6671e+11 2.0000e+07 2.0000e+01 1.8697e+02
