# All quantities actual values (not log10) 
#
# time(s)    dt(s)      dE(erg)  E(erg/g/s)    T(K)    rho(g/cm^3) 2/Rmax(s)
1.7857e-05 1.7857e-06 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 1.8697e+02
3.1635e-05 3.1635e-06 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 1.8697e+02
5.0949e-05 5.0949e-06 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 1.8697e+02
9.0259e-05 9.0259e-06 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 1.8697e+02
1.4536e-04 1.4536e-05 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 1.8697e+02
2.5752e-04 2.5752e-05 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 1.8697e+02
4.1474e-04 4.1474e-05 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 1.8697e+02
7.3473e-04 7.3473e-05 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 1.8697e+02
1.1833e-03 1.1833e-04 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 1.8697e+02
2.0963e-03 2.0963e-04 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 1.8697e+02
3.7137e-03 3.7137e-04 -2.5195e+06 -8.5059e+02 2.5000e+07 1.0000e+02 1.8697e+02
5.9809e-03 5.9809e-04 0.0000e+00 -8.5059e+02 2.5000e+07 1.0000e+02 1.8697e+02
1.0596e-02 1.0596e-03 0.0000e+00 -8.5059e+02 2.5000e+07 1.0000e+02 1.8697e+02
1.7064e-02 1.7064e-03 0.0000e+00 -1.7012e+03 2.5000e+07 1.0000e+02 1.8697e+02
3.0230e-02 3.0230e-03 0.0000e+00 -3.4024e+03 2.5000e+07 1.0000e+02 1.8697e+02
4.8686e-02 4.8686e-03 1.9218e+05 -1.7012e+03 2.5000e+07 1.0000e+02 1.8697e+02
8.6251e-02 8.6251e-03 1.0848e+05 3.4024e+03 2.5000e+07 1.0000e+02 1.8697e+02
1.3891e-01 1.3891e-02 6.7358e+04 5.9541e+03 2.5000e+07 1.0000e+02 1.8697e+02
2.4608e-01 2.4608e-02 3.8022e+04 1.3609e+04 2.5000e+07 1.0000e+02 1.8697e+02
4.3595e-01 4.3595e-02 1.0731e+05 3.2322e+04 2.5000e+07 1.0000e+02 1.8697e+02
7.0210e-01 7.0210e-02 9.3285e+04 5.6139e+04 2.5000e+07 1.0000e+02 1.8697e+02
1.2438e+00 1.2438e-01 8.2746e+04 1.0292e+05 2.5000e+07 1.0000e+02 1.8697e+02
2.0032e+00 2.0032e-01 8.4075e+04 1.7012e+05 2.5000e+07 1.0000e+02 1.8697e+02
3.5488e+00 3.5488e-01 8.9643e+04 3.0536e+05 2.5000e+07 1.0000e+02 1.8697e+02
5.7153e+00 5.7153e-01 8.8403e+04 4.9504e+05 2.5000e+07 1.0000e+02 1.8697e+02
1.0125e+01 1.0125e+00 8.6865e+04 8.7951e+05 2.5000e+07 1.0000e+02 1.8697e+02
1.6306e+01 1.6306e+00 8.7216e+04 1.4188e+06 2.5000e+07 1.0000e+02 1.8697e+02
2.8888e+01 2.8888e+00 8.9070e+04 2.5305e+06 2.5000e+07 1.0000e+02 1.8697e+02
5.1177e+01 5.1177e+00 8.9585e+04 4.5149e+06 2.5000e+07 1.0000e+02 1.8697e+02
8.2421e+01 8.2421e+00 9.1158e+04 7.3440e+06 2.5000e+07 1.0000e+02 1.8697e+02
1.4601e+02 1.4601e+01 9.4133e+04 1.3249e+07 2.5000e+07 1.0000e+02 1.8697e+02
2.3516e+02 2.3516e+01 9.7920e+04 2.1846e+07 2.5000e+07 1.0000e+02 1.8697e+02
4.1659e+02 4.1659e+01 1.0477e+05 4.0355e+07 2.5000e+07 1.0000e+02 1.8697e+02
6.7093e+02 6.7093e+01 1.1226e+05 6.8182e+07 2.5000e+07 1.0000e+02 1.8697e+02
1.1886e+03 1.1886e+02 1.2243e+05 1.2960e+08 2.5000e+07 1.0000e+02 1.8697e+02
1.9142e+03 1.9142e+02 1.2977e+05 2.2196e+08 2.5000e+07 1.0000e+02 1.8697e+02
3.3912e+03 3.3912e+02 1.3454e+05 4.1862e+08 2.5000e+07 1.0000e+02 1.8697e+02
6.0077e+03 6.0077e+02 1.3555e+05 7.7275e+08 2.5000e+07 1.0000e+02 1.8697e+02
9.6754e+03 9.6754e+02 1.3558e+05 1.2700e+09 2.5000e+07 1.0000e+02 1.8697e+02
1.7141e+04 1.7141e+03 1.3558e+05 2.2822e+09 2.5000e+07 1.0000e+02 1.8697e+02
2.7605e+04 2.7605e+03 1.3557e+05 3.7009e+09 2.5000e+07 1.0000e+02 1.8697e+02
4.8904e+04 4.8904e+03 1.3555e+05 6.5881e+09 2.5000e+07 1.0000e+02 1.8697e+02
7.8761e+04 7.8761e+03 1.3552e+05 1.0635e+10 2.5000e+07 1.0000e+02 1.8697e+02
1.3953e+05 1.3953e+04 1.3547e+05 1.8868e+10 2.5000e+07 1.0000e+02 1.8697e+02
2.2471e+05 2.2471e+04 1.3540e+05 3.0405e+10 2.5000e+07 1.0000e+02 1.8697e+02
3.9809e+05 3.9809e+04 1.3525e+05 5.3864e+10 2.5000e+07 1.0000e+02 1.8697e+02
7.0525e+05 7.0525e+04 1.3498e+05 9.5358e+10 2.5000e+07 1.0000e+02 1.8697e+02
1.1358e+06 1.1358e+05 1.3461e+05 1.5338e+11 2.5000e+07 1.0000e+02 1.8697e+02
2.0121e+06 2.0121e+05 1.3388e+05 2.7097e+11 2.5000e+07 1.0000e+02 1.8697e+02
3.2406e+06 3.2406e+05 1.3287e+05 4.3468e+11 2.5000e+07 1.0000e+02 1.8697e+02
5.7409e+06 5.7409e+05 1.3092e+05 7.6401e+11 2.5000e+07 1.0000e+02 1.8697e+02
9.2458e+06 9.2458e+05 1.2838e+05 1.2175e+12 2.5000e+07 1.0000e+02 1.8697e+02
1.6379e+07 1.6379e+06 1.2389e+05 2.1141e+12 2.5000e+07 1.0000e+02 1.8697e+02
2.6379e+07 2.6379e+06 1.1885e+05 3.3216e+12 2.5000e+07 1.0000e+02 1.8697e+02
4.5203e+07 4.2229e+06 1.1200e+05 5.4815e+12 2.5000e+07 1.0000e+02 1.8697e+02
7.6955e+07 5.1060e+06 1.0684e+05 8.9359e+12 2.5000e+07 1.0000e+02 1.8697e+02
1.3093e+08 4.7723e+06 1.0533e+05 1.4637e+13 2.5000e+07 1.0000e+02 1.8697e+02
2.2084e+08 4.8023e+06 1.0779e+05 2.4205e+13 2.5000e+07 1.0000e+02 1.8697e+02
3.7284e+08 5.4823e+06 1.1317e+05 4.1007e+13 2.5000e+07 1.0000e+02 1.8697e+02
6.3227e+08 5.6182e+06 1.2164e+05 7.1500e+13 2.5000e+07 1.0000e+02 1.8697e+02
1.0735e+09 5.6194e+06 1.3368e+05 1.2795e+14 2.5000e+07 1.0000e+02 1.8697e+02
1.8204e+09 6.9904e+06 1.4833e+05 2.3369e+14 2.5000e+07 1.0000e+02 1.8697e+02
3.0923e+09 7.1743e+06 1.6084e+05 4.3174e+14 2.5000e+07 1.0000e+02 1.8697e+02
5.2494e+09 6.4133e+06 1.6031e+05 7.8166e+14 2.5000e+07 1.0000e+02 1.8697e+02
8.9159e+09 7.2069e+06 1.3448e+05 1.3266e+15 2.5000e+07 1.0000e+02 1.8697e+02
1.5137e+10 1.2806e+07 8.5741e+04 2.0050e+15 2.5000e+07 1.0000e+02 1.8697e+02
2.5711e+10 1.5700e+07 3.8444e+04 2.6251e+15 2.5000e+07 1.0000e+02 1.8697e+02
4.3667e+10 3.6826e+07 1.3967e+04 3.0387e+15 2.5000e+07 1.0000e+02 1.8697e+02
7.4164e+10 1.8305e+08 8.3074e+03 3.3430e+15 2.5000e+07 1.0000e+02 1.8697e+02
1.2595e+11 8.3229e+08 7.9037e+03 3.7568e+15 2.5000e+07 1.0000e+02 1.8697e+02
2.1659e+11 6.1187e+09 7.8964e+03 4.4727e+15 2.5000e+07 1.0000e+02 1.8697e+02
3.6382e+11 8.9762e+09 7.8946e+03 5.6351e+15 2.5000e+07 1.0000e+02 1.8697e+02
6.1839e+11 6.4358e+09 7.8919e+03 7.6445e+15 2.5000e+07 1.0000e+02 1.8697e+02
1.0507e+12 1.1406e+10 7.8881e+03 1.1055e+16 2.5000e+07 1.0000e+02 1.8697e+02
1.7784e+12 1.3800e+10 7.8842e+03 1.6794e+16 2.5000e+07 1.0000e+02 1.8697e+02
3.0200e+12 4.9413e+09 7.8844e+03 2.6582e+16 2.5000e+07 1.0000e+02 1.8697e+02
5.1308e+12 5.1702e+09 7.9028e+03 4.3240e+16 2.5000e+07 1.0000e+02 1.8697e+02
8.7105e+12 4.3699e+09 7.9793e+03 7.1652e+16 2.5000e+07 1.0000e+02 1.8697e+02
1.4792e+13 3.2744e+09 8.2114e+03 1.2083e+17 2.5000e+07 1.0000e+02 1.8697e+02
2.5120e+13 2.9714e+09 8.7872e+03 2.0847e+17 2.5000e+07 1.0000e+02 1.8697e+02
4.2659e+13 2.6324e+09 9.9167e+03 3.7250e+17 2.5000e+07 1.0000e+02 1.8697e+02
7.2445e+13 3.8148e+09 1.1384e+04 6.9192e+17 2.5000e+07 1.0000e+02 1.8697e+02
1.2303e+14 7.5125e+09 1.1831e+04 1.2887e+18 2.5000e+07 1.0000e+02 1.8697e+02
2.0893e+14 3.1898e+09 9.6085e+03 2.2218e+18 2.5000e+07 1.0000e+02 1.8697e+02
3.5481e+14 5.3507e+09 5.4152e+03 3.2994e+18 2.5000e+07 1.0000e+02 1.8697e+02
6.0256e+14 1.1103e+10 1.8295e+03 4.1214e+18 2.5000e+07 1.0000e+02 1.8697e+02
1.0233e+15 2.0415e+10 2.7770e+02 4.4682e+18 2.5000e+07 1.0000e+02 1.8697e+02
1.7378e+15 1.0888e+11 1.1148e+01 4.5275e+18 2.5000e+07 1.0000e+02 1.8697e+02
2.9521e+15 2.0633e+12 4.7073e-02 4.5299e+18 2.5000e+07 1.0000e+02 1.8697e+02
5.0484e+15 1.4398e+14 3.7228e-06 4.5299e+18 2.5000e+07 1.0000e+02 1.8697e+02
9.2719e+15 9.2719e+14 -8.8298e-13 4.5299e+18 2.5000e+07 1.0000e+02 1.8697e+02
1.4562e+16 2.2250e+14 0.0000e+00 4.5299e+18 2.5000e+07 1.0000e+02 1.8697e+02
2.4547e+16 1.7056e+09 -2.1737e-03 4.5299e+18 2.5000e+07 1.0000e+02 1.8697e+02
4.1687e+16 6.8730e+09 4.9757e-04 4.5299e+18 2.5000e+07 1.0000e+02 1.8697e+02
7.0795e+16 1.1102e+10 -3.0802e-04 4.5299e+18 2.5000e+07 1.0000e+02 1.8697e+02
1.2023e+17 1.7574e+10 -2.1527e-04 4.5299e+18 2.5000e+07 1.0000e+02 1.8697e+02
2.0417e+17 2.5525e+10 -1.5748e-04 4.5299e+18 2.5000e+07 1.0000e+02 1.8697e+02
3.4674e+17 2.8469e+10 -1.1772e-04 4.5299e+18 2.5000e+07 1.0000e+02 1.8697e+02
5.8884e+17 4.0822e+10 8.9003e-05 4.5299e+18 2.5000e+07 1.0000e+02 1.8697e+02
1.0000e+18 4.7528e+10 -6.7721e-05 4.5299e+18 2.5000e+07 1.0000e+02 1.8697e+02
