# All quantities actual values (not log10) 
#
# time(s)    dt(s)      dE(erg)  E(erg/g/s)    T(K)    rho(g/cm^3) 2/Rmax(s)
5.1726e-06 5.1726e-07 2.3307e+14 1.1955e+09 1.0009e+08 8.8130e+03 5.1079e-06
5.6899e-06 5.6899e-07 2.3328e+14 1.3162e+09 1.0009e+08 8.8138e+03 5.1059e-06
5.9466e-06 5.1341e-07 2.3349e+14 1.3762e+09 1.0010e+08 8.8145e+03 5.1039e-06
6.1033e-06 3.1354e-07 2.3358e+14 1.4128e+09 1.0010e+08 8.8149e+03 5.1030e-06
6.2642e-06 3.2181e-07 2.3364e+14 1.4504e+09 1.0010e+08 8.8150e+03 5.1025e-06
6.4294e-06 3.3029e-07 2.3370e+14 1.4890e+09 1.0010e+08 8.8152e+03 5.1019e-06
6.5989e-06 3.3900e-07 2.3375e+14 1.5286e+09 1.0010e+08 8.8154e+03 5.1014e-06
6.7728e-06 3.4793e-07 2.3381e+14 1.5693e+09 1.0011e+08 8.8156e+03 5.1008e-06
6.9514e-06 3.5711e-07 2.3387e+14 1.6110e+09 1.0011e+08 8.8158e+03 5.1003e-06
7.1347e-06 3.6652e-07 2.3392e+14 1.6539e+09 1.0011e+08 8.8160e+03 5.0997e-06
7.3227e-06 3.7618e-07 2.3398e+14 1.6979e+09 1.0011e+08 8.8162e+03 5.0992e-06
7.5158e-06 3.8610e-07 2.3404e+14 1.7431e+09 1.0011e+08 8.8164e+03 5.0986e-06
7.7139e-06 3.9628e-07 2.3409e+14 1.7895e+09 1.0011e+08 8.8166e+03 5.0981e-06
7.9173e-06 4.0673e-07 2.3415e+14 1.8371e+09 1.0012e+08 8.8167e+03 5.0975e-06
8.1260e-06 4.1745e-07 2.3421e+14 1.8860e+09 1.0012e+08 8.8169e+03 5.0970e-06
8.3403e-06 4.2845e-07 2.3426e+14 1.9361e+09 1.0012e+08 8.8171e+03 5.0964e-06
8.5601e-06 4.3975e-07 2.3432e+14 1.9877e+09 1.0012e+08 8.8173e+03 5.0959e-06
8.7858e-06 4.5134e-07 2.3438e+14 2.0406e+09 1.0012e+08 8.8175e+03 5.0953e-06
9.0174e-06 4.6324e-07 2.3443e+14 2.0949e+09 1.0012e+08 8.8176e+03 5.0948e-06
9.2551e-06 4.7545e-07 2.3449e+14 2.1506e+09 1.0012e+08 8.8178e+03 5.0942e-06
9.4991e-06 4.8799e-07 2.3455e+14 2.2078e+09 1.0013e+08 8.8180e+03 5.0937e-06
9.7496e-06 5.0085e-07 2.3461e+14 2.2666e+09 1.0013e+08 8.8181e+03 5.0931e-06
1.0007e-05 5.1406e-07 2.3466e+14 2.3269e+09 1.0013e+08 8.8183e+03 5.0926e-06
1.0270e-05 5.2761e-07 2.3472e+14 2.3888e+09 1.0013e+08 8.8185e+03 5.0920e-06
1.0541e-05 5.4152e-07 2.3478e+14 2.4524e+09 1.0013e+08 8.8186e+03 5.0915e-06
1.0819e-05 5.5580e-07 2.3483e+14 2.5176e+09 1.0013e+08 8.8188e+03 5.0909e-06
1.1104e-05 5.7045e-07 2.3489e+14 2.5846e+09 1.0014e+08 8.8190e+03 5.0904e-06
1.1397e-05 5.8549e-07 2.3495e+14 2.6534e+09 1.0014e+08 8.8191e+03 5.0898e-06
1.1697e-05 6.0092e-07 2.3500e+14 2.7240e+09 1.0014e+08 8.8193e+03 5.0893e-06
1.2006e-05 6.1676e-07 2.3506e+14 2.7965e+09 1.0014e+08 8.8194e+03 5.0887e-06
1.2322e-05 6.3302e-07 2.3512e+14 2.8709e+09 1.0014e+08 8.8196e+03 5.0882e-06
1.2647e-05 6.4971e-07 2.3518e+14 2.9473e+09 1.0014e+08 8.8198e+03 5.0876e-06
