
#    t     dt   F+(4He)   F+(12C)   F+(16O)   F+(20Ne)   F+(24Mg)   F+(28Si)   F+(32S)   F+(36Ar)   F+(40Ca)   F+(44Ti)   F+(48Cr)   F+(52Fe)   F+(56Ni)   F+(60Zn)   F+(64Ge)   F+(68Se)   F-(4He)   F-(12C)   F-(16O)   F-(20Ne)   F-(24Mg)   F-(28Si)   F-(32S)   F-(36Ar)   F-(40Ca)   F-(44Ti)   F-(48Cr)   F-(52Fe)   F-(56Ni)   F-(60Zn)   F-(64Ge)   F-(68Se)   dF(4He)   dF(12C)   dF(16O)   dF(20Ne)   dF(24Mg)   dF(28Si)   dF(32S)   dF(36Ar)   dF(40Ca)   dF(44Ti)   dF(48Cr)   dF(52Fe)   dF(56Ni)   dF(60Zn)   dF(64Ge)   dF(68Se)   
-17.911 -18.911 9.567e+00 6.859e+00 1.806e+00 9.549e+00 8.157e+00 6.400e+00 -9.628e+00 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 5.278e-02 9.858e+00 8.193e+00 1.805e+00 -1.620e+00 -4.091e+00 -1.871e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 9.567e+00 9.858e+00 8.193e+00 9.549e+00 8.157e+00 6.400e+00 -9.628e+00 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-17.828 -18.828 9.567e+00 6.859e+00 1.890e+00 9.549e+00 8.157e+00 6.400e+00 -9.461e+00 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 1.362e-01 9.858e+00 8.193e+00 1.888e+00 -1.537e+00 -4.007e+00 -1.846e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 9.567e+00 9.858e+00 8.193e+00 9.549e+00 8.157e+00 6.400e+00 -9.461e+00 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-17.745 -18.745 9.567e+00 6.859e+00 1.973e+00 9.549e+00 8.157e+00 6.400e+00 -9.294e+00 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 2.195e-01 9.858e+00 8.193e+00 1.972e+00 -1.453e+00 -3.924e+00 -1.821e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 9.567e+00 9.858e+00 8.193e+00 9.549e+00 8.157e+00 6.400e+00 -9.294e+00 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-17.663 -18.663 9.567e+00 6.859e+00 2.056e+00 9.549e+00 8.157e+00 6.400e+00 -9.128e+00 -2.399e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 3.028e-01 9.858e+00 8.193e+00 2.055e+00 -1.370e+00 -3.841e+00 -1.796e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 9.567e+00 9.858e+00 8.193e+00 9.549e+00 8.157e+00 6.400e+00 -9.128e+00 -2.399e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-17.580 -18.580 9.567e+00 6.859e+00 2.139e+00 9.549e+00 8.157e+00 6.400e+00 -8.961e+00 -2.399e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 3.859e-01 9.858e+00 8.193e+00 2.138e+00 -1.287e+00 -3.758e+00 -1.771e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 9.567e+00 9.858e+00 8.193e+00 9.549e+00 8.157e+00 6.400e+00 -8.961e+00 -2.399e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-17.497 -18.497 9.567e+00 6.859e+00 2.222e+00 9.549e+00 8.157e+00 6.400e+00 -8.795e+00 -2.397e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 4.690e-01 9.858e+00 8.193e+00 2.221e+00 -1.204e+00 -3.675e+00 -1.746e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 9.567e+00 9.858e+00 8.193e+00 9.549e+00 8.157e+00 6.400e+00 -8.795e+00 -2.397e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-17.414 -18.414 9.567e+00 6.859e+00 2.305e+00 9.549e+00 8.157e+00 6.400e+00 -8.629e+00 -2.394e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 5.520e-01 9.858e+00 8.193e+00 2.304e+00 -1.121e+00 -3.592e+00 -1.721e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 9.567e+00 9.858e+00 8.193e+00 9.549e+00 8.157e+00 6.400e+00 -8.629e+00 -2.394e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-17.332 -18.332 9.567e+00 6.859e+00 2.388e+00 9.549e+00 8.157e+00 6.400e+00 -8.463e+00 -2.388e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 6.350e-01 9.858e+00 8.193e+00 2.387e+00 -1.038e+00 -3.509e+00 -1.696e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 9.567e+00 9.858e+00 8.193e+00 9.549e+00 8.157e+00 6.400e+00 -8.463e+00 -2.388e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-17.249 -18.249 9.567e+00 6.859e+00 2.471e+00 9.549e+00 8.157e+00 6.400e+00 -8.297e+00 -2.378e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 7.180e-01 9.858e+00 8.193e+00 2.470e+00 -9.548e-01 -3.426e+00 -1.671e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 9.567e+00 9.858e+00 8.193e+00 9.549e+00 8.157e+00 6.400e+00 -8.297e+00 -2.378e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-17.166 -18.166 9.567e+00 6.859e+00 2.554e+00 9.549e+00 8.157e+00 6.400e+00 -8.131e+00 -2.361e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 8.009e-01 9.858e+00 8.193e+00 2.553e+00 -8.718e-01 -3.343e+00 -1.647e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 9.567e+00 9.858e+00 8.193e+00 9.549e+00 8.157e+00 6.400e+00 -8.131e+00 -2.361e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-17.083 -18.083 9.567e+00 6.859e+00 2.637e+00 9.549e+00 8.157e+00 6.400e+00 -7.966e+00 -2.339e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 8.838e-01 9.858e+00 8.193e+00 2.636e+00 -7.889e-01 -3.260e+00 -1.622e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 9.567e+00 9.858e+00 8.193e+00 9.549e+00 8.157e+00 6.400e+00 -7.966e+00 -2.339e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
