# ASY method (no partition functions): 81683619 integration steps in 1.6331e+03 seconds
# All quantities except Asy, RG_PE, and sumX are log10(x)
# Log of absolute values for E and dE/dt as they can be negative
# Units: t and dt in s; E in erg; dE/dt in erg/g/s; others dimensionless 
#
#    t     dt     |E|  |dE/dt| Asy  Equil  sumX  X(4He)     X(12C)     X(16O)     X(20Ne)     X(24Mg)     X(28Si)     X(32S)     X(36Ar)     X(40Ca)     X(44Ti)     X(48Cr)     X(52Fe)     X(56Ni)     X(60Zn)     X(64Ge)     X(68Se)     

-17.870 -18.870  8.715 26.588 0.000 0.000 1.000 -9.334e+00 -3.010e-01 -3.010e-01 -8.644e+00 -1.022e+01 -1.265e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-17.787 -18.787  8.798 26.588 0.000 0.000 1.000 -9.250e+00 -3.010e-01 -3.010e-01 -8.561e+00 -1.014e+01 -1.256e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-17.663 -18.663  8.923 26.588 0.000 0.000 1.000 -9.125e+00 -3.010e-01 -3.010e-01 -8.436e+00 -1.001e+01 -1.244e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-17.580 -18.580  9.006 26.588 0.000 0.000 1.000 -9.042e+00 -3.010e-01 -3.010e-01 -8.353e+00 -9.928e+00 -1.236e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-17.497 -18.497  9.089 26.588 0.000 0.000 1.000 -8.959e+00 -3.010e-01 -3.010e-01 -8.270e+00 -9.845e+00 -1.227e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-17.373 -18.373  9.214 26.588 0.000 0.000 1.000 -8.835e+00 -3.010e-01 -3.010e-01 -8.145e+00 -9.720e+00 -1.215e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-17.290 -18.290  9.297 26.588 0.000 0.000 1.000 -8.752e+00 -3.010e-01 -3.010e-01 -8.062e+00 -9.637e+00 -1.207e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-17.166 -18.166  9.421 26.588 0.000 0.000 1.000 -8.627e+00 -3.010e-01 -3.010e-01 -7.938e+00 -9.513e+00 -1.194e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-17.083 -18.083  9.504 26.588 0.000 0.000 1.000 -8.544e+00 -3.010e-01 -3.010e-01 -7.855e+00 -9.430e+00 -1.186e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-16.959 -17.959  9.628 26.588 0.000 0.000 1.000 -8.420e+00 -3.010e-01 -3.010e-01 -7.731e+00 -9.305e+00 -1.173e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-16.876 -17.876  9.711 26.588 0.000 0.000 1.000 -8.337e+00 -3.010e-01 -3.010e-01 -7.648e+00 -9.223e+00 -1.165e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-16.793 -17.793  9.794 26.588 0.000 0.000 1.000 -8.254e+00 -3.010e-01 -3.010e-01 -7.565e+00 -9.140e+00 -1.157e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-16.669 -17.669  9.918 26.588 0.000 0.000 1.000 -8.130e+00 -3.010e-01 -3.010e-01 -7.441e+00 -9.016e+00 -1.144e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-16.586 -17.586 10.001 26.588 0.000 0.000 1.000 -8.047e+00 -3.010e-01 -3.010e-01 -7.358e+00 -8.933e+00 -1.136e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-16.462 -17.462 10.125 26.588 0.000 0.000 1.000 -7.923e+00 -3.010e-01 -3.010e-01 -7.234e+00 -8.808e+00 -1.124e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-16.380 -17.380 10.208 26.588 0.000 0.000 1.000 -7.840e+00 -3.010e-01 -3.010e-01 -7.151e+00 -8.726e+00 -1.115e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-16.297 -17.297 10.291 26.588 0.000 0.000 1.000 -7.757e+00 -3.010e-01 -3.010e-01 -7.068e+00 -8.643e+00 -1.107e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-16.173 -17.173 10.415 26.588 0.000 0.000 1.000 -7.633e+00 -3.010e-01 -3.010e-01 -6.944e+00 -8.519e+00 -1.095e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-16.090 -17.090 10.498 26.588 0.000 0.000 1.000 -7.550e+00 -3.010e-01 -3.010e-01 -6.861e+00 -8.436e+00 -1.086e+01 -2.399e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-15.966 -16.966 10.622 26.588 0.000 0.000 1.000 -7.426e+00 -3.010e-01 -3.010e-01 -6.737e+00 -8.312e+00 -1.074e+01 -2.398e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-15.883 -16.883 10.705 26.588 0.000 0.000 1.000 -7.343e+00 -3.010e-01 -3.010e-01 -6.654e+00 -8.229e+00 -1.066e+01 -2.397e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-15.759 -16.759 10.829 26.588 0.000 0.000 1.000 -7.219e+00 -3.010e-01 -3.010e-01 -6.530e+00 -8.105e+00 -1.053e+01 -2.394e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-15.676 -16.676 10.912 26.588 0.000 0.000 1.000 -7.136e+00 -3.010e-01 -3.010e-01 -6.447e+00 -8.022e+00 -1.045e+01 -2.389e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-15.593 -16.593 10.994 26.588 0.000 0.000 1.000 -7.054e+00 -3.010e-01 -3.010e-01 -6.364e+00 -7.939e+00 -1.037e+01 -2.383e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-15.469 -16.469 11.119 26.588 0.000 0.000 1.000 -6.930e+00 -3.010e-01 -3.010e-01 -6.240e+00 -7.815e+00 -1.024e+01 -2.367e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-15.386 -16.386 11.201 26.588 0.000 0.000 1.000 -6.847e+00 -3.010e-01 -3.010e-01 -6.157e+00 -7.732e+00 -1.016e+01 -2.352e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-15.262 -16.262 11.326 26.588 0.000 0.000 1.000 -6.723e+00 -3.010e-01 -3.010e-01 -6.033e+00 -7.608e+00 -1.004e+01 -2.324e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-15.179 -16.179 11.408 26.588 0.000 0.000 1.000 -6.640e+00 -3.010e-01 -3.010e-01 -5.950e+00 -7.525e+00 -9.953e+00 -2.302e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-15.096 -16.096 11.491 26.588 0.000 0.000 1.000 -6.557e+00 -3.010e-01 -3.010e-01 -5.868e+00 -7.442e+00 -9.871e+00 -2.279e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-14.972 -15.972 11.615 26.588 0.000 0.000 1.000 -6.433e+00 -3.010e-01 -3.010e-01 -5.743e+00 -7.318e+00 -9.746e+00 -2.244e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-14.889 -15.889 11.698 26.588 0.000 0.000 1.000 -6.350e+00 -3.010e-01 -3.010e-01 -5.661e+00 -7.235e+00 -9.664e+00 -2.220e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-14.765 -15.765 11.822 26.588 0.000 0.000 1.000 -6.226e+00 -3.010e-01 -3.010e-01 -5.537e+00 -7.111e+00 -9.539e+00 -2.183e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-14.682 -15.682 11.905 26.588 0.000 0.000 1.000 -6.143e+00 -3.010e-01 -3.010e-01 -5.454e+00 -7.028e+00 -9.457e+00 -2.158e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-14.600 -15.600 11.988 26.588 0.000 0.000 1.000 -6.060e+00 -3.010e-01 -3.010e-01 -5.371e+00 -6.946e+00 -9.374e+00 -2.133e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-14.475 -15.475 12.112 26.588 0.000 0.000 1.000 -5.936e+00 -3.010e-01 -3.010e-01 -5.247e+00 -6.822e+00 -9.250e+00 -2.096e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-14.393 -15.393 12.195 26.588 0.000 0.000 1.000 -5.853e+00 -3.010e-01 -3.010e-01 -5.164e+00 -6.739e+00 -9.167e+00 -2.071e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-14.269 -15.269 12.319 26.588 0.000 0.000 1.000 -5.729e+00 -3.010e-01 -3.010e-01 -5.040e+00 -6.615e+00 -9.043e+00 -2.034e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-14.186 -15.186 12.402 26.588 0.000 0.000 1.000 -5.646e+00 -3.010e-01 -3.010e-01 -4.957e+00 -6.532e+00 -8.960e+00 -2.009e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-14.062 -15.062 12.526 26.588 0.000 0.000 1.000 -5.522e+00 -3.010e-01 -3.010e-01 -4.833e+00 -6.408e+00 -8.836e+00 -1.972e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-13.979 -14.979 12.609 26.587 0.000 0.000 1.000 -5.439e+00 -3.010e-01 -3.010e-01 -4.750e+00 -6.325e+00 -8.753e+00 -1.947e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-13.896 -14.896 12.692 26.587 0.000 0.000 1.000 -5.357e+00 -3.011e-01 -3.010e-01 -4.667e+00 -6.242e+00 -8.670e+00 -1.922e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-13.772 -14.772 12.816 26.587 0.000 0.000 1.000 -5.232e+00 -3.011e-01 -3.010e-01 -4.543e+00 -6.118e+00 -8.546e+00 -1.885e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
