48 ISOTOPES IN NETWORK:

Index  Isotope   A   Z   N  Abundance Y  MassFrac X  MassXS(MeV)
0       1n   1   0   1  0.00000e+00    0.000000      8.07100
1       1H   1   1   0  0.00000e+00    0.000000      7.28900
2      4He   4   2   2  0.00000e+00    0.000000      2.42500
3      12C  12   6   6  4.16633e-02    0.499960      0.00000
4      14N  14   7   7  0.00000e+00    0.000000      2.86300
5      15O  15   8   7  0.00000e+00    0.000000      2.85500
6      16O  16   8   8  3.12525e-02    0.500040     -4.73700
7      17O  17   8   9  0.00000e+00    0.000000     -0.80900
8     18Fl  18   9   9  0.00000e+00    0.000000      0.87300
9     20Ne  20  10  10  0.00000e+00    0.000000     -7.04200
10     23Na  23  11  12  0.00000e+00    0.000000     -9.53000
11     23Mg  23  12  11  0.00000e+00    0.000000     -5.47300
12     24Mg  24  12  12  0.00000e+00    0.000000    -13.93300
13     25Mg  25  12  13  0.00000e+00    0.000000    -13.19300
14     26Mg  26  12  14  0.00000e+00    0.000000    -16.21500
15     27Al  27  13  14  0.00000e+00    0.000000    -17.19700
16     28Si  28  14  14  0.00000e+00    0.000000    -21.49300
17     29Si  29  14  15  0.00000e+00    0.000000    -21.89500
18     30Si  30  14  16  0.00000e+00    0.000000    -24.43300
19      29P  29  15  14  0.00000e+00    0.000000    -16.95200
20      30P  30  15  15  0.00000e+00    0.000000    -20.20100
21      31P  31  15  16  0.00000e+00    0.000000    -24.44100
22      32S  32  16  16  0.00000e+00    0.000000    -26.01600
23      33S  33  16  17  0.00000e+00    0.000000    -26.58600
24      34S  34  16  18  0.00000e+00    0.000000    -29.93200
25     35Cl  35  17  18  0.00000e+00    0.000000    -29.01400
26     36Ar  36  18  18  0.00000e+00    0.000000    -30.23000
27     37Ar  37  18  19  0.00000e+00    0.000000    -30.94800
28     38Ar  38  18  20  0.00000e+00    0.000000    -34.71500
29      39K  39  19  20  0.00000e+00    0.000000    -33.80700
30     40Ca  40  20  20  0.00000e+00    0.000000    -34.84600
31     41Ca  41  20  21  0.00000e+00    0.000000    -35.13800
32     42Ca  42  20  22  0.00000e+00    0.000000    -38.54700
33     44Ti  44  22  22  0.00000e+00    0.000000    -37.54800
34     48Cr  48  24  24  0.00000e+00    0.000000    -42.81500
35     49Cr  49  24  25  0.00000e+00    0.000000    -45.32500
36     50Cr  50  24  26  0.00000e+00    0.000000    -50.25500
37     51Mn  51  25  26  0.00000e+00    0.000000    -48.23700
38     53Mn  53  25  28  0.00000e+00    0.000000    -54.68400
39     52Fe  52  26  26  0.00000e+00    0.000000    -48.32900
40     53Fe  53  26  27  0.00000e+00    0.000000    -50.94100
41     54Fe  54  26  28  0.00000e+00    0.000000    -56.24800
42     55Fe  55  26  29  0.00000e+00    0.000000    -57.47500
43     55Co  55  27  28  0.00000e+00    0.000000    -54.02400
44     56Co  56  27  29  0.00000e+00    0.000000    -56.03500
45     56Ni  56  28  28  0.00000e+00    0.000000    -53.90000
46     57Ni  57  28  29  0.00000e+00    0.000000    -56.07500
47     58Ni  58  28  30  0.00000e+00    0.000000    -60.22300
