#gnu:          step mode eq  it     t        logt      dt       Y0[6]     logY06     Y6     logY6   Yfull[6]
3501(beginInt): 439 -1    0  2 8.2605e-09 -8.0830 9.3340e-11 6.8552e-03 -2.1640 6.8552e-03 -2.1640 6.8552e-03
3550(full):     439  0    0  2 8.2605e-09 -8.0830 4.5737e-11 6.8552e-03 -2.1640 6.8606e-03 -2.1636 6.8552e-03
3571(half1):    439  1    0  2 8.2605e-09 -8.0830 2.2868e-11 6.8552e-03 -2.1640 6.8579e-03 -2.1638 6.8606e-03
3590(half2):    439  2    0  2 8.2833e-09 -8.0818 2.2868e-11 6.8579e-03 -2.1638 6.8606e-03 -2.1636 6.8606e-03
3625(endInt):   439 -1    0  2 8.3062e-09 -8.0806 9.1474e-11 6.8579e-03 -2.1638 6.8606e-03 -2.1636 6.8606e-03
4434(final):    439 -1    0  2 8.3062e-09 -8.0806 9.1474e-11 6.8579e-03 -2.1638 6.8606e-03 -2.1636 6.8606e-03

3501(beginInt): 440 -1    0  2 8.3062e-09 -8.0806 9.1474e-11 6.8606e-03 -2.1636 6.8606e-03 -2.1636 6.8606e-03
3550(full):     440  0    0  2 8.3062e-09 -8.0806 4.4822e-11 6.8606e-03 -2.1636 6.8659e-03 -2.1633 6.8606e-03
3571(half1):    440  1    0  2 8.3062e-09 -8.0806 2.2411e-11 6.8606e-03 -2.1636 6.8632e-03 -2.1635 6.8659e-03
3590(half2):    440  2    0  2 8.3286e-09 -8.0794 2.2411e-11 6.8632e-03 -2.1635 6.8659e-03 -2.1633 6.8659e-03
3625(endInt):   440 -1    0  2 8.3510e-09 -8.0783 8.9644e-11 6.8632e-03 -2.1635 6.8659e-03 -2.1633 6.8659e-03
4434(final):    440 -1    1  2 8.3510e-09 -8.0783 8.9644e-11 6.8632e-03 -2.1635 6.8659e-03 -2.1633 6.8659e-03

3501(beginInt): 441 -1    1  2 8.3510e-09 -8.0783 8.9644e-11 6.8659e-03 -2.1633 6.8659e-03 -2.1633 6.8659e-03
