# ASY method (no partition functions): 112657230 integration steps in 2.2396e+03 seconds
# All quantities except Asy, RG_PE, and sumX are log10(x)
# Log of absolute values for E and dE/dt as they can be negative
# Units: t and dt in s; E in erg; dE/dt in erg/g/s; others dimensionless 
#
#    t     dt     |E|  |dE/dt| Asy  Equil  sumX  X(4He)     X(12C)     X(16O)     X(20Ne)     X(24Mg)     X(28Si)     X(32S)     X(36Ar)     X(40Ca)     X(44Ti)     X(48Cr)     X(52Fe)     X(56Ni)     X(60Zn)     X(64Ge)     X(68Se)     

-17.870 -18.870  8.715 26.588 0.000 0.000 1.000 -9.334e+00 -3.010e-01 -3.010e-01 -8.644e+00 -1.022e+01 -1.265e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-17.787 -18.787  8.798 26.588 0.000 0.000 1.000 -9.250e+00 -3.010e-01 -3.010e-01 -8.561e+00 -1.014e+01 -1.256e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-17.704 -18.704  8.881 26.588 0.000 0.000 1.000 -9.167e+00 -3.010e-01 -3.010e-01 -8.478e+00 -1.005e+01 -1.248e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-17.580 -18.580  9.006 26.588 0.000 0.000 1.000 -9.042e+00 -3.010e-01 -3.010e-01 -8.353e+00 -9.928e+00 -1.236e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-17.497 -18.497  9.089 26.588 0.000 0.000 1.000 -8.959e+00 -3.010e-01 -3.010e-01 -8.270e+00 -9.845e+00 -1.227e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-17.414 -18.414  9.172 26.588 0.000 0.000 1.000 -8.876e+00 -3.010e-01 -3.010e-01 -8.187e+00 -9.762e+00 -1.219e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-17.332 -18.332  9.255 26.588 0.000 0.000 1.000 -8.793e+00 -3.010e-01 -3.010e-01 -8.104e+00 -9.679e+00 -1.211e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-17.207 -18.207  9.379 26.588 0.000 0.000 1.000 -8.669e+00 -3.010e-01 -3.010e-01 -7.979e+00 -9.554e+00 -1.198e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-17.125 -18.125  9.462 26.588 0.000 0.000 1.000 -8.586e+00 -3.010e-01 -3.010e-01 -7.896e+00 -9.471e+00 -1.190e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-17.042 -18.042  9.545 26.588 0.000 0.000 1.000 -8.503e+00 -3.010e-01 -3.010e-01 -7.814e+00 -9.388e+00 -1.182e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-16.918 -17.918  9.670 26.588 0.000 0.000 1.000 -8.379e+00 -3.010e-01 -3.010e-01 -7.689e+00 -9.264e+00 -1.169e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-16.835 -17.835  9.752 26.588 0.000 0.000 1.000 -8.296e+00 -3.010e-01 -3.010e-01 -7.606e+00 -9.181e+00 -1.161e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-16.752 -17.752  9.835 26.588 0.000 0.000 1.000 -8.213e+00 -3.010e-01 -3.010e-01 -7.524e+00 -9.098e+00 -1.153e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-16.669 -17.669  9.918 26.588 0.000 0.000 1.000 -8.130e+00 -3.010e-01 -3.010e-01 -7.441e+00 -9.016e+00 -1.144e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-16.545 -17.545 10.042 26.588 0.000 0.000 1.000 -8.006e+00 -3.010e-01 -3.010e-01 -7.317e+00 -8.891e+00 -1.132e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-16.462 -17.462 10.125 26.588 0.000 0.000 1.000 -7.923e+00 -3.010e-01 -3.010e-01 -7.234e+00 -8.808e+00 -1.124e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-16.380 -17.380 10.208 26.588 0.000 0.000 1.000 -7.840e+00 -3.010e-01 -3.010e-01 -7.151e+00 -8.726e+00 -1.115e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-16.255 -17.255 10.332 26.588 0.000 0.000 1.000 -7.716e+00 -3.010e-01 -3.010e-01 -7.027e+00 -8.601e+00 -1.103e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-16.173 -17.173 10.415 26.588 0.000 0.000 1.000 -7.633e+00 -3.010e-01 -3.010e-01 -6.944e+00 -8.519e+00 -1.095e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-16.090 -17.090 10.498 26.588 0.000 0.000 1.000 -7.550e+00 -3.010e-01 -3.010e-01 -6.861e+00 -8.436e+00 -1.086e+01 -2.399e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-15.966 -16.966 10.622 26.588 0.000 0.000 1.000 -7.426e+00 -3.010e-01 -3.010e-01 -6.737e+00 -8.312e+00 -1.074e+01 -2.398e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-15.883 -16.883 10.705 26.588 0.000 0.000 1.000 -7.343e+00 -3.010e-01 -3.010e-01 -6.654e+00 -8.229e+00 -1.066e+01 -2.397e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-15.800 -16.800 10.787 26.588 0.000 0.000 1.000 -7.261e+00 -3.010e-01 -3.010e-01 -6.571e+00 -8.146e+00 -1.057e+01 -2.395e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-15.717 -16.717 10.870 26.588 0.000 0.000 1.000 -7.178e+00 -3.010e-01 -3.010e-01 -6.489e+00 -8.063e+00 -1.049e+01 -2.392e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-15.593 -16.593 10.994 26.588 0.000 0.000 1.000 -7.054e+00 -3.010e-01 -3.010e-01 -6.364e+00 -7.939e+00 -1.037e+01 -2.383e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-15.510 -16.510 11.077 26.588 0.000 0.000 1.000 -6.971e+00 -3.010e-01 -3.010e-01 -6.282e+00 -7.856e+00 -1.028e+01 -2.373e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-15.427 -16.427 11.160 26.588 0.000 0.000 1.000 -6.888e+00 -3.010e-01 -3.010e-01 -6.199e+00 -7.774e+00 -1.020e+01 -2.360e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-15.303 -16.303 11.284 26.588 0.000 0.000 1.000 -6.764e+00 -3.010e-01 -3.010e-01 -6.075e+00 -7.649e+00 -1.008e+01 -2.334e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-15.221 -16.221 11.367 26.588 0.000 0.000 1.000 -6.681e+00 -3.010e-01 -3.010e-01 -5.992e+00 -7.567e+00 -9.995e+00 -2.313e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-15.138 -16.138 11.450 26.588 0.000 0.000 1.000 -6.598e+00 -3.010e-01 -3.010e-01 -5.909e+00 -7.484e+00 -9.912e+00 -2.291e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-15.055 -16.055 11.533 26.588 0.000 0.000 1.000 -6.516e+00 -3.010e-01 -3.010e-01 -5.826e+00 -7.401e+00 -9.829e+00 -2.268e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-14.931 -15.931 11.657 26.588 0.000 0.000 1.000 -6.391e+00 -3.010e-01 -3.010e-01 -5.702e+00 -7.277e+00 -9.705e+00 -2.232e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-14.848 -15.848 11.740 26.588 0.000 0.000 1.000 -6.309e+00 -3.010e-01 -3.010e-01 -5.619e+00 -7.194e+00 -9.622e+00 -2.207e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-14.765 -15.765 11.822 26.588 0.000 0.000 1.000 -6.226e+00 -3.010e-01 -3.010e-01 -5.537e+00 -7.111e+00 -9.539e+00 -2.183e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-14.641 -15.641 11.946 26.588 0.000 0.000 1.000 -6.102e+00 -3.010e-01 -3.010e-01 -5.412e+00 -6.987e+00 -9.415e+00 -2.146e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-14.558 -15.558 12.029 26.588 0.000 0.000 1.000 -6.019e+00 -3.010e-01 -3.010e-01 -5.330e+00 -6.904e+00 -9.332e+00 -2.121e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-14.475 -15.475 12.112 26.588 0.000 0.000 1.000 -5.936e+00 -3.010e-01 -3.010e-01 -5.247e+00 -6.822e+00 -9.250e+00 -2.096e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-14.351 -15.351 12.236 26.588 0.000 0.000 1.000 -5.812e+00 -3.010e-01 -3.010e-01 -5.123e+00 -6.697e+00 -9.126e+00 -2.059e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-14.269 -15.269 12.319 26.588 0.000 0.000 1.000 -5.729e+00 -3.010e-01 -3.010e-01 -5.040e+00 -6.615e+00 -9.043e+00 -2.034e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-14.186 -15.186 12.402 26.588 0.000 0.000 1.000 -5.646e+00 -3.010e-01 -3.010e-01 -4.957e+00 -6.532e+00 -8.960e+00 -2.009e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-14.103 -15.103 12.485 26.588 0.000 0.000 1.000 -5.564e+00 -3.010e-01 -3.010e-01 -4.874e+00 -6.449e+00 -8.877e+00 -1.984e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-13.979 -14.979 12.609 26.587 0.000 0.000 1.000 -5.439e+00 -3.010e-01 -3.010e-01 -4.750e+00 -6.325e+00 -8.753e+00 -1.947e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
