# ASY method (no partition functions): 112657230 integration steps in 2.2396e+03 seconds
# All double quantities are log10(x); rates in units of s^-1
#
#      t       dt  2/Rmin   Reaction_Rmin    1/Rmax   Reaction_Rmax     dt_FE   dt_EA   trial_dt
-17.8697 -18.8697 14.7273 he4+he4+he4-->c12 -9.0069 c12+c12-->he4+ne20 15.6921 -18.9111 -18.8697
-17.7869 -18.7869 14.5605 he4+he4+he4-->c12 -9.0069 c12+c12-->he4+ne20 15.6921 -18.8283 -18.7869
-17.7041 -18.7041 14.3939 he4+he4+he4-->c12 -9.0069 c12+c12-->he4+ne20 15.6921 -18.7455 -18.7041
-17.5799 -18.5799 14.1443 he4+he4+he4-->c12 -9.0069 c12+c12-->he4+ne20 15.6921 -18.6213 -18.5799
-17.4971 -18.4971 14.0123 he4+si28-->c12+ne20 -9.0069 c12+c12-->he4+ne20 15.6921 -18.5385 -18.4971
-17.4143 -18.4143 13.9293 he4+si28-->c12+ne20 -9.0069 c12+c12-->he4+ne20 15.6921 -18.4557 -18.4143
-17.3316 -18.3316 13.8463 he4+si28-->c12+ne20 -9.0069 c12+c12-->he4+ne20 15.6921 -18.3730 -18.3316
-17.2074 -18.2074 13.7219 he4+si28-->c12+ne20 -9.0069 c12+c12-->he4+ne20 15.6921 -18.2488 -18.2074
-17.1246 -18.1246 13.6389 he4+si28-->c12+ne20 -9.0069 c12+c12-->he4+ne20 15.6921 -18.1660 -18.1246
-17.0418 -18.0418 13.5560 he4+si28-->c12+ne20 -9.0069 c12+c12-->he4+ne20 15.6921 -18.0832 -18.0418
-16.9176 -17.9176 13.4317 he4+si28-->c12+ne20 -9.0069 c12+c12-->he4+ne20 15.6921 -17.9590 -17.9176
-16.8349 -17.8349 13.3489 he4+si28-->c12+ne20 -9.0069 c12+c12-->he4+ne20 15.6921 -17.8762 -17.8349
-16.7521 -17.7521 13.2660 he4+si28-->c12+ne20 -9.0069 c12+c12-->he4+ne20 15.6921 -17.7935 -17.7521
-16.6693 -17.6693 13.1832 he4+si28-->c12+ne20 -9.0069 c12+c12-->he4+ne20 15.6921 -17.7107 -17.6693
-16.5451 -17.5451 13.0590 he4+si28-->c12+ne20 -9.0069 c12+c12-->he4+ne20 15.6921 -17.5865 -17.5451
-16.4623 -17.4623 12.9762 he4+si28-->c12+ne20 -9.0069 c12+c12-->he4+ne20 15.6921 -17.5037 -17.4623
-16.3795 -17.3795 12.8933 he4+si28-->c12+ne20 -9.0069 c12+c12-->he4+ne20 15.6921 -17.4209 -17.3795
-16.2554 -17.2554 12.7691 he4+si28-->c12+ne20 -9.0069 c12+c12-->he4+ne20 15.6921 -17.2967 -17.2554
-16.1726 -17.1726 12.6863 he4+si28-->c12+ne20 -9.0069 c12+c12-->he4+ne20 15.6921 -17.2140 -17.1726
-16.0898 -17.0898 12.6035 he4+si28-->c12+ne20 -9.0069 c12+c12-->he4+ne20 15.6921 -17.1312 -17.0898
-15.9656 -16.9656 12.4794 he4+si28-->c12+ne20 -9.0069 c12+c12-->he4+ne20 15.6921 -17.0070 -16.9656
-15.8828 -16.8828 12.3966 he4+si28-->c12+ne20 -9.0069 c12+c12-->he4+ne20 15.6921 -16.9242 -16.8828
-15.8000 -16.8000 12.3138 he4+si28-->c12+ne20 -9.0069 c12+c12-->he4+ne20 15.6921 -16.8414 -16.8000
-15.7172 -16.7172 12.2310 he4+si28-->c12+ne20 -9.0069 c12+c12-->he4+ne20 15.6921 -16.7586 -16.7172
-15.5931 -16.5931 12.1068 he4+si28-->c12+ne20 -9.0069 c12+c12-->he4+ne20 15.6921 -16.6345 -16.5931
-15.5103 -16.5103 12.0240 he4+si28-->c12+ne20 -9.0069 c12+c12-->he4+ne20 15.6921 -16.5517 -16.5103
-15.4275 -16.4275 11.9412 he4+si28-->c12+ne20 -9.0069 c12+c12-->he4+ne20 15.6921 -16.4689 -16.4275
-15.3033 -16.3033 11.8170 he4+si28-->c12+ne20 -9.0069 c12+c12-->he4+ne20 15.6921 -16.3447 -16.3033
-15.2205 -16.2205 11.7342 he4+si28-->c12+ne20 -9.0069 c12+c12-->he4+ne20 15.6921 -16.2619 -16.2205
-15.1378 -16.1378 11.6515 he4+si28-->c12+ne20 -9.0069 c12+c12-->he4+ne20 15.6921 -16.1791 -16.1378
