# ASY+PE method (no partition functions): 5941 integration steps in 1.4261e-01 seconds
# All double quantities are log10(x); rates in units of s^-1
#
#      t       dt  2/Rmin   Reaction_Rmin    1/Rmax   Reaction_Rmax     dt_FE   dt_EA   trial_dt
-17.8283 -18.8283 11.5943 he4+he4+he4-->c12 -10.6278 c12+c12-->he4+ne20 14.0712 -18.8697 -18.8283
-17.6627 -18.6627 11.2611 he4+he4+he4-->c12 -10.6278 c12+c12-->he4+ne20 14.0712 -18.7041 -18.6627
-17.5385 -18.5385 11.0117 he4+he4+he4-->c12 -10.6278 c12+c12-->he4+ne20 14.0712 -18.5799 -18.5385
-17.3730 -18.3730 10.6795 he4+he4+he4-->c12 -10.6278 c12+c12-->he4+ne20 14.0712 -18.4143 -18.3730
-17.2488 -18.2488 10.4306 he4+he4+he4-->c12 -10.6278 c12+c12-->he4+ne20 14.0712 -18.2902 -18.2488
-17.0832 -18.0832 10.0989 he4+he4+he4-->c12 -10.6278 c12+c12-->he4+ne20 14.0712 -18.1246 -18.0832
-16.9176 -17.9176  9.7674 he4+he4+he4-->c12 -10.6278 c12+c12-->he4+ne20 14.0712 -17.9590 -17.9176
-16.7935 -17.7935  9.5188 he4+he4+he4-->c12 -10.6278 c12+c12-->he4+ne20 14.0712 -17.8349 -17.7935
-16.6279 -17.6279  9.1875 he4+he4+he4-->c12 -10.6278 c12+c12-->he4+ne20 14.0712 -17.6693 -17.6279
-16.4623 -17.4623  8.8562 he4+he4+he4-->c12 -10.6277 c12+c12-->he4+ne20 14.0712 -17.5037 -17.4623
-16.3381 -17.3381  8.6078 he4+he4+he4-->c12 -10.6277 c12+c12-->he4+ne20 14.0712 -17.3795 -17.3381
-16.1726 -17.1726  8.2766 he4+he4+he4-->c12 -10.6277 c12+c12-->he4+ne20 14.0712 -17.2140 -17.1726
-16.0484 -17.0484  8.0282 he4+he4+he4-->c12 -10.6277 c12+c12-->he4+ne20 14.0712 -17.0898 -17.0484
-15.8828 -16.8828  7.6970 he4+he4+he4-->c12 -10.6277 c12+c12-->he4+ne20 14.0712 -16.9242 -16.8828
-15.7172 -16.7172  7.3659 he4+he4+he4-->c12 -10.6277 c12+c12-->he4+ne20 14.0712 -16.7586 -16.7172
-15.5931 -16.5931  7.1175 he4+he4+he4-->c12 -10.6277 c12+c12-->he4+ne20 14.0712 -16.6345 -16.5931
-15.4275 -16.4275  6.7864 he4+he4+he4-->c12 -10.6277 c12+c12-->he4+ne20 14.0712 -16.4689 -16.4275
-15.2619 -16.2619  6.4553 he4+he4+he4-->c12 -10.6277 c12+c12-->he4+ne20 14.0713 -16.3033 -16.2619
-15.1378 -16.1378  6.2069 he4+he4+he4-->c12 -10.6277 c12+c12-->he4+ne20 14.0713 -16.1791 -16.1378
-14.9722 -15.9722  5.8758 he4+he4+he4-->c12 -10.6277 c12+c12-->he4+ne20 14.0713 -16.0136 -15.9722
-14.8480 -15.8480  5.6275 he4+he4+he4-->c12 -10.6277 c12+c12-->he4+ne20 14.0713 -15.8894 -15.8480
-14.6824 -15.6824  5.2964 he4+he4+he4-->c12 -10.6276 c12+c12-->he4+ne20 14.0714 -15.7238 -15.6824
-14.5169 -15.5169  5.1116 he4+o16-->ne20 -10.6275 c12+c12-->he4+ne20 14.0714 -15.5583 -15.5169
