# ASY+PE method (with partition functions): 1366 integration steps in 6.3030e-03 seconds
# All double quantities are log10(x); rates in units of s^-1
#
#      t       dt  1/Rmin   Reaction Rmin    1/Rmax  Reaction Rmax
-10.9647 -12.5005  8.2692 he4+he4+he4-->c12 -5.0707 c12-->he4+he4+he4
-10.9391 -12.4748  8.2179 he4+he4+he4-->c12 -5.0707 c12-->he4+he4+he4
-10.9006 -12.4363  8.1409 he4+he4+he4-->c12 -5.0707 c12-->he4+he4+he4
-10.8749 -12.4106  8.0895 he4+he4+he4-->c12 -5.0707 c12-->he4+he4+he4
-10.8492 -12.3849  8.0382 he4+he4+he4-->c12 -5.0707 c12-->he4+he4+he4
-10.8107 -12.3464  7.9612 he4+he4+he4-->c12 -5.0707 c12-->he4+he4+he4
-10.7850 -12.3207  7.9098 he4+he4+he4-->c12 -5.0707 c12-->he4+he4+he4
-10.7593 -12.2951  7.8585 he4+he4+he4-->c12 -5.0707 c12-->he4+he4+he4
-10.7208 -12.2565  7.7815 he4+he4+he4-->c12 -5.0707 c12-->he4+he4+he4
-10.6952 -12.2309  7.7301 he4+he4+he4-->c12 -5.0707 c12-->he4+he4+he4
-10.6695 -12.2052  7.6788 he4+he4+he4-->c12 -5.0707 c12-->he4+he4+he4
-10.6310 -12.1667  7.6018 he4+he4+he4-->c12 -5.0707 c12-->he4+he4+he4
-10.6053 -12.1410  7.5504 he4+he4+he4-->c12 -5.0707 c12-->he4+he4+he4
-10.5796 -12.1153  7.4991 he4+he4+he4-->c12 -5.0707 c12-->he4+he4+he4
-10.5411 -12.0768  7.4221 he4+he4+he4-->c12 -5.0707 c12-->he4+he4+he4
-10.5154 -12.0512  7.3707 he4+he4+he4-->c12 -5.0707 c12-->he4+he4+he4
-10.4898 -12.0255  7.3194 he4+he4+he4-->c12 -5.0707 c12-->he4+he4+he4
-10.4512 -11.9870  7.2424 he4+he4+he4-->c12 -5.0707 c12-->he4+he4+he4
-10.4256 -11.9613  7.1910 he4+he4+he4-->c12 -5.0707 c12-->he4+he4+he4
-10.3999 -11.9356  7.1397 he4+he4+he4-->c12 -5.0707 c12-->he4+he4+he4
-10.3614 -11.8971  7.0627 he4+he4+he4-->c12 -5.0707 c12-->he4+he4+he4
