# ASY method (with partition functions): 611116 integration steps in 5.7499e+00 seconds
# All quantities except Asy, RG_PE, and sumX are log10(x)
# Log of absolute values for E and dE/dt as they can be negative
# Units: t and dt in s; E in erg; dE/dt in erg/g/s; others dimensionless 
#
#    t     dt     |E|  |dE/dt| Asy  Equil  sumX  X(4He)     X(12C)     X(16O)     

-10.916 -11.846 15.654 26.554 0.000 0.000 1.000 -2.436e+00 -3.203e-01 -3.013e-01
-10.862 -11.792 15.706 26.550 0.000 0.000 1.000 -2.384e+00 -3.229e-01 -3.013e-01
-10.807 -11.738 15.757 26.545 0.000 0.000 1.000 -2.332e+00 -3.257e-01 -3.014e-01
-10.753 -11.683 15.809 26.539 0.000 0.000 1.000 -2.281e+00 -3.289e-01 -3.014e-01
-10.699 -11.629 15.860 26.533 0.000 0.000 1.000 -2.230e+00 -3.325e-01 -3.015e-01
-10.645 -11.575 15.910 26.526 0.000 0.000 1.000 -2.179e+00 -3.365e-01 -3.015e-01
-10.590 -11.521 15.960 26.518 0.000 0.000 1.000 -2.129e+00 -3.410e-01 -3.016e-01
-10.536 -11.467 16.010 26.510 0.000 0.000 1.000 -2.080e+00 -3.461e-01 -3.017e-01
-10.482 -11.412 16.059 26.500 0.000 0.000 1.000 -2.031e+00 -3.518e-01 -3.017e-01
-10.428 -11.358 16.108 26.489 0.000 0.000 1.000 -1.983e+00 -3.582e-01 -3.018e-01
-10.373 -11.304 16.155 26.478 0.000 0.000 1.000 -1.935e+00 -3.654e-01 -3.019e-01
-10.319 -11.250 16.202 26.464 0.000 0.000 1.000 -1.889e+00 -3.733e-01 -3.020e-01
-10.265 -11.195 16.249 26.450 0.000 0.000 1.000 -1.843e+00 -3.822e-01 -3.021e-01
-10.211 -11.141 16.294 26.434 0.000 0.000 1.000 -1.798e+00 -3.920e-01 -3.022e-01
-10.157 -11.087 16.339 26.416 0.000 0.000 1.000 -1.754e+00 -4.030e-01 -3.024e-01
-10.102 -11.033 16.383 26.397 0.000 0.000 1.000 -1.711e+00 -4.151e-01 -3.025e-01
-10.048 -10.978 16.426 26.376 0.000 0.000 1.000 -1.670e+00 -4.284e-01 -3.026e-01
-9.994 -10.924 16.467 26.354 0.000 0.000 1.000 -1.630e+00 -4.431e-01 -3.028e-01
-9.940 -10.870 16.508 26.330 0.000 0.000 1.000 -1.591e+00 -4.593e-01 -3.029e-01
-9.885 -10.816 16.548 26.305 0.000 0.000 1.000 -1.554e+00 -4.770e-01 -3.031e-01
-9.831 -10.762 16.587 26.279 0.000 0.000 1.000 -1.519e+00 -4.962e-01 -3.032e-01
-9.777 -10.707 16.624 26.251 0.000 0.000 1.000 -1.486e+00 -5.172e-01 -3.034e-01
-9.723 -10.653 16.661 26.223 0.000 0.000 1.000 -1.454e+00 -5.398e-01 -3.035e-01
-9.669 -10.599 16.697 26.194 0.000 0.000 1.000 -1.425e+00 -5.643e-01 -3.036e-01
-9.614 -10.545 16.732 26.166 0.000 0.000 1.000 -1.398e+00 -5.906e-01 -3.037e-01
-9.560 -10.490 16.766 26.138 0.000 0.000 1.000 -1.373e+00 -6.187e-01 -3.038e-01
-9.506 -10.436 16.800 26.110 0.000 0.000 1.000 -1.350e+00 -6.487e-01 -3.039e-01
-9.452 -10.382 16.833 26.085 0.000 0.000 1.000 -1.331e+00 -6.805e-01 -3.039e-01
-9.397 -10.328 16.866 26.060 0.000 0.000 1.000 -1.314e+00 -7.141e-01 -3.038e-01
-9.343 -10.274 16.899 26.037 0.000 0.000 1.000 -1.299e+00 -7.496e-01 -3.037e-01
-9.289 -10.219 16.932 26.015 0.000 0.000 1.000 -1.288e+00 -7.867e-01 -3.035e-01
-9.235 -10.165 16.965 25.994 0.000 0.000 1.000 -1.280e+00 -8.256e-01 -3.032e-01
-9.180 -10.111 16.998 25.973 0.000 0.000 1.000 -1.274e+00 -8.660e-01 -3.029e-01
-9.126 -10.057 17.031 25.952 0.000 0.000 1.000 -1.273e+00 -9.080e-01 -3.024e-01
-9.072 -10.002 17.064 25.930 0.000 0.000 1.000 -1.274e+00 -9.515e-01 -3.018e-01
-9.018 -9.948 17.097 25.905 0.000 0.000 1.000 -1.279e+00 -9.963e-01 -3.012e-01
-8.964 -9.894 17.129 25.879 0.000 0.000 1.000 -1.288e+00 -1.042e+00 -3.004e-01
-8.909 -9.840 17.161 25.849 0.000 0.000 1.000 -1.300e+00 -1.090e+00 -2.996e-01
-8.855 -9.785 17.192 25.815 0.000 0.000 1.000 -1.315e+00 -1.138e+00 -2.986e-01
-8.801 -9.731 17.222 25.777 0.000 0.000 1.000 -1.335e+00 -1.188e+00 -2.976e-01
-8.747 -9.677 17.251 25.735 0.000 0.000 1.000 -1.358e+00 -1.238e+00 -2.966e-01
-8.692 -9.623 17.278 25.688 0.000 0.000 1.000 -1.385e+00 -1.290e+00 -2.954e-01
