# ASY method (with partition functions): 5363260 integration steps in 5.9586e+01 seconds
# All quantities except Asy, RG_PE, and sumX are log10(x)
# Log of absolute values for E and dE/dt as they can be negative
# Units: t and dt in s; E in erg; dE/dt in erg/g/s; others dimensionless 
#
#    t     dt     |E|  |dE/dt| Asy  Equil  sumX  X(4He)     X(12C)     X(16O)     

-10.916 -11.846 16.820 27.202 0.000 0.000 1.000 -1.195e+00 -7.865e-01 -2.956e-01
-10.862 -11.792 16.833 27.093 0.000 0.000 1.000 -1.171e+00 -8.255e-01 -2.931e-01
-10.807 -11.738 16.843 26.968 0.000 0.000 1.000 -1.149e+00 -8.661e-01 -2.901e-01
-10.753 -11.683 16.852 26.822 0.000 0.000 1.000 -1.127e+00 -9.083e-01 -2.865e-01
-10.699 -11.629 16.858 26.642 0.000 0.000 1.000 -1.105e+00 -9.519e-01 -2.824e-01
-10.645 -11.575 16.862 26.400 0.000 0.000 1.000 -1.085e+00 -9.970e-01 -2.777e-01
-10.590 -11.521 16.864 25.995 0.000 0.000 1.000 -1.064e+00 -1.043e+00 -2.723e-01
-10.536 -11.467 16.863 25.335 0.000 0.000 1.000 -1.045e+00 -1.091e+00 -2.664e-01
-10.482 -11.412 16.861 26.056 0.000 0.000 1.000 -1.025e+00 -1.139e+00 -2.598e-01
-10.428 -11.358 16.856 26.256 0.000 0.000 1.000 -1.006e+00 -1.189e+00 -2.527e-01
-10.373 -11.304 16.849 26.351 0.000 0.000 1.000 -9.872e-01 -1.239e+00 -2.452e-01
-10.319 -11.250 16.841 26.396 0.000 0.000 1.000 -9.687e-01 -1.290e+00 -2.372e-01
-10.265 -11.195 16.830 26.410 0.000 0.000 1.000 -9.507e-01 -1.342e+00 -2.290e-01
-10.211 -11.141 16.818 26.400 0.000 0.000 1.000 -9.332e-01 -1.393e+00 -2.208e-01
-10.157 -11.087 16.805 26.370 0.000 0.000 1.000 -9.162e-01 -1.445e+00 -2.126e-01
-10.102 -11.033 16.792 26.319 0.000 0.000 1.000 -9.000e-01 -1.497e+00 -2.047e-01
-10.048 -10.978 16.779 26.246 0.000 0.000 1.000 -8.847e-01 -1.547e+00 -1.974e-01
-9.994 -10.924 16.767 26.146 0.000 0.000 1.000 -8.703e-01 -1.597e+00 -1.909e-01
-9.940 -10.870 16.756 26.010 0.000 0.000 1.000 -8.570e-01 -1.644e+00 -1.854e-01
-9.885 -10.816 16.749 25.814 0.000 0.000 1.000 -8.449e-01 -1.689e+00 -1.811e-01
-9.831 -10.762 16.745 25.482 0.000 0.000 1.000 -8.340e-01 -1.730e+00 -1.783e-01
-9.777 -10.707 16.745 23.857 0.000 0.000 1.000 -8.243e-01 -1.767e+00 -1.770e-01
-9.723 -10.653 16.749 25.430 0.000 0.000 1.000 -8.157e-01 -1.800e+00 -1.774e-01
-9.669 -10.599 16.759 25.679 0.000 0.000 1.000 -8.081e-01 -1.827e+00 -1.795e-01
-9.614 -10.545 16.772 25.801 0.000 0.000 1.000 -8.013e-01 -1.849e+00 -1.833e-01
-9.560 -10.490 16.789 25.869 0.000 0.000 1.000 -7.951e-01 -1.867e+00 -1.885e-01
-9.506 -10.436 16.810 25.907 0.000 0.000 1.000 -7.892e-01 -1.880e+00 -1.952e-01
-9.452 -10.382 16.833 25.927 0.000 0.000 1.000 -7.835e-01 -1.889e+00 -2.032e-01
-9.397 -10.328 16.858 25.936 0.000 0.000 1.000 -7.777e-01 -1.896e+00 -2.125e-01
-9.343 -10.274 16.885 25.940 0.000 0.000 1.000 -7.717e-01 -1.901e+00 -2.231e-01
-9.297 -10.292 16.909 25.941 0.000 0.000 1.000 -7.660e-01 -1.906e+00 -2.341e-01
-9.250 -10.238 16.936 25.940 0.000 0.000 1.000 -7.606e-01 -1.910e+00 -2.453e-01
-9.212 -10.288 16.957 25.937 0.000 0.000 1.000 -7.557e-01 -1.914e+00 -2.562e-01
-9.172 -10.234 16.981 25.933 0.000 0.000 1.000 -7.511e-01 -1.918e+00 -2.673e-01
-9.140 -10.284 17.000 25.928 0.000 0.000 1.000 -7.469e-01 -1.921e+00 -2.780e-01
-9.106 -10.230 17.021 25.923 0.000 0.000 1.000 -7.429e-01 -1.925e+00 -2.890e-01
-9.078 -10.280 17.039 25.916 0.000 0.000 1.000 -7.392e-01 -1.929e+00 -2.996e-01
-9.052 -10.299 17.055 25.909 0.000 0.000 1.000 -7.360e-01 -1.933e+00 -3.096e-01
-9.025 -10.245 17.072 25.901 0.000 0.000 1.000 -7.328e-01 -1.936e+00 -3.198e-01
-9.003 -10.295 17.086 25.893 0.000 0.000 1.000 -7.300e-01 -1.940e+00 -3.297e-01
-8.978 -10.240 17.101 25.884 0.000 0.000 1.000 -7.271e-01 -1.943e+00 -3.399e-01
-8.958 -10.291 17.114 25.875 0.000 0.000 1.000 -7.246e-01 -1.947e+00 -3.497e-01
-8.935 -10.236 17.128 25.865 0.000 0.000 1.000 -7.220e-01 -1.951e+00 -3.597e-01
-8.916 -10.287 17.140 25.855 0.000 0.000 1.000 -7.197e-01 -1.954e+00 -3.694e-01
-8.896 -10.232 17.153 25.845 0.000 0.000 1.000 -7.174e-01 -1.958e+00 -3.793e-01
-8.878 -10.283 17.164 25.834 0.000 0.000 1.000 -7.153e-01 -1.961e+00 -3.890e-01
-8.862 -10.301 17.173 25.824 0.000 0.000 1.000 -7.133e-01 -1.965e+00 -3.981e-01
-8.845 -10.247 17.184 25.813 0.000 0.000 1.000 -7.114e-01 -1.968e+00 -4.074e-01
-8.830 -10.297 17.193 25.803 0.000 0.000 1.000 -7.096e-01 -1.972e+00 -4.165e-01
-8.813 -10.243 17.203 25.792 0.000 0.000 1.000 -7.078e-01 -1.975e+00 -4.258e-01
-8.799 -10.293 17.211 25.781 0.000 0.000 1.000 -7.062e-01 -1.978e+00 -4.347e-01
-8.784 -10.239 17.220 25.770 0.000 0.000 1.000 -7.045e-01 -1.982e+00 -4.439e-01
-8.770 -10.289 17.228 25.758 0.000 0.000 1.000 -7.030e-01 -1.985e+00 -4.529e-01
-8.756 -10.235 17.236 25.747 0.000 0.000 1.000 -7.014e-01 -1.989e+00 -4.620e-01
-8.743 -10.285 17.243 25.736 0.000 0.000 1.000 -7.000e-01 -1.992e+00 -4.709e-01
-8.731 -10.304 17.250 25.724 0.000 0.000 1.000 -6.986e-01 -1.995e+00 -4.793e-01
-8.718 -10.250 17.257 25.713 0.000 0.000 1.000 -6.973e-01 -1.999e+00 -4.879e-01
-8.707 -10.300 17.263 25.702 0.000 0.000 1.000 -6.960e-01 -2.002e+00 -4.963e-01
-8.695 -10.246 17.269 25.691 0.000 0.000 1.000 -6.948e-01 -2.005e+00 -5.049e-01
-8.684 -10.296 17.275 25.680 0.000 0.000 1.000 -6.936e-01 -2.008e+00 -5.132e-01
-8.672 -10.242 17.281 25.669 0.000 0.000 1.000 -6.924e-01 -2.012e+00 -5.217e-01
-8.662 -10.292 17.286 25.658 0.000 0.000 1.000 -6.912e-01 -2.015e+00 -5.300e-01
-8.650 -10.238 17.292 25.647 0.000 0.000 1.000 -6.901e-01 -2.018e+00 -5.385e-01
-8.640 -10.288 17.297 25.635 0.000 0.000 1.000 -6.890e-01 -2.021e+00 -5.467e-01
-8.631 -10.306 17.301 25.624 0.000 0.000 1.000 -6.880e-01 -2.024e+00 -5.546e-01
-8.621 -10.252 17.306 25.614 0.000 0.000 1.000 -6.870e-01 -2.028e+00 -5.626e-01
-8.612 -10.302 17.311 25.603 0.000 0.000 1.000 -6.860e-01 -2.031e+00 -5.704e-01
-8.602 -10.248 17.315 25.593 0.000 0.000 1.000 -6.850e-01 -2.034e+00 -5.785e-01
-8.593 -10.298 17.319 25.582 0.000 0.000 1.000 -6.841e-01 -2.037e+00 -5.862e-01
-8.584 -10.244 17.324 25.571 0.000 0.000 1.000 -6.832e-01 -2.040e+00 -5.942e-01
-8.575 -10.294 17.327 25.560 0.000 0.000 1.000 -6.823e-01 -2.043e+00 -6.020e-01
-8.566 -10.240 17.332 25.550 0.000 0.000 1.000 -6.814e-01 -2.046e+00 -6.099e-01
-8.558 -10.290 17.335 25.539 0.000 0.000 1.000 -6.806e-01 -2.050e+00 -6.177e-01
-8.550 -10.309 17.338 25.529 0.000 0.000 1.000 -6.798e-01 -2.052e+00 -6.250e-01
-8.542 -10.255 17.342 25.519 0.000 0.000 1.000 -6.790e-01 -2.056e+00 -6.326e-01
-8.534 -10.305 17.345 25.509 0.000 0.000 1.000 -6.782e-01 -2.059e+00 -6.399e-01
-8.526 -10.251 17.349 25.499 0.000 0.000 1.000 -6.774e-01 -2.062e+00 -6.475e-01
-8.519 -10.301 17.352 25.488 0.000 0.000 1.000 -6.767e-01 -2.065e+00 -6.548e-01
-8.511 -10.247 17.355 25.479 0.000 0.000 1.000 -6.760e-01 -2.068e+00 -6.623e-01
-8.504 -10.297 17.358 25.468 0.000 0.000 1.000 -6.753e-01 -2.071e+00 -6.696e-01
-8.496 -10.243 17.361 25.459 0.000 0.000 1.000 -6.745e-01 -2.074e+00 -6.771e-01
-8.489 -10.293 17.364 25.448 0.000 0.000 1.000 -6.739e-01 -2.077e+00 -6.844e-01
-8.481 -10.239 17.367 25.439 0.000 0.000 1.000 -6.732e-01 -2.080e+00 -6.919e-01
-8.475 -10.289 17.369 25.428 0.000 0.000 1.000 -6.725e-01 -2.083e+00 -6.992e-01
-8.448 -10.249 17.379 25.390 0.000 0.000 1.000 -6.700e-01 -2.094e+00 -7.273e-01
-8.417 -10.291 17.390 25.343 0.000 0.000 1.000 -6.672e-01 -2.109e+00 -7.623e-01
-8.388 -10.302 17.399 25.299 0.000 0.000 1.000 -6.647e-01 -2.123e+00 -7.956e-01
-8.356 -10.258 17.410 25.246 0.000 0.000 1.000 -6.619e-01 -2.140e+00 -8.350e-01
-8.326 -10.246 17.418 25.196 0.000 0.000 1.000 -6.594e-01 -2.156e+00 -8.732e-01
-8.298 -10.307 17.426 25.147 0.000 0.000 1.000 -6.572e-01 -2.172e+00 -9.105e-01
-8.267 -10.314 17.434 25.092 0.000 0.000 1.000 -6.548e-01 -2.191e+00 -9.530e-01
-8.238 -10.247 17.440 25.039 0.000 0.000 1.000 -6.527e-01 -2.209e+00 -9.941e-01
-8.208 -10.304 17.447 24.981 0.000 0.000 1.000 -6.506e-01 -2.230e+00 -1.040e+00
-8.179 -10.256 17.453 24.925 0.000 0.000 1.000 -6.487e-01 -2.250e+00 -1.084e+00
-8.149 -10.259 17.458 24.864 0.000 0.000 1.000 -6.469e-01 -2.272e+00 -1.133e+00
-8.119 -10.312 17.464 24.800 0.000 0.000 1.000 -6.451e-01 -2.296e+00 -1.185e+00
-8.090 -10.260 17.468 24.738 0.000 0.000 1.000 -6.435e-01 -2.320e+00 -1.236e+00
-8.060 -10.259 17.473 24.672 0.000 0.000 1.000 -6.420e-01 -2.345e+00 -1.290e+00
-8.030 -10.307 17.476 24.604 0.000 0.000 1.000 -6.406e-01 -2.372e+00 -1.347e+00
-7.999 -10.302 17.480 24.532 0.000 0.000 1.000 -6.393e-01 -2.401e+00 -1.408e+00
-7.969 -10.315 17.483 24.459 0.000 0.000 1.000 -6.381e-01 -2.431e+00 -1.470e+00
-7.940 -10.255 17.486 24.388 0.000 0.000 1.000 -6.371e-01 -2.461e+00 -1.529e+00
-7.909 -10.296 17.489 24.309 0.000 0.000 1.000 -6.362e-01 -2.494e+00 -1.596e+00
-7.879 -10.251 17.491 24.228 0.000 0.000 1.000 -6.353e-01 -2.527e+00 -1.662e+00
-7.849 -10.297 17.493 24.143 0.000 0.000 1.000 -6.345e-01 -2.562e+00 -1.731e+00
-7.820 -10.248 17.495 24.054 0.000 0.000 1.000 -6.338e-01 -2.597e+00 -1.799e+00
-7.790 -10.299 17.496 23.956 0.000 0.000 1.000 -6.332e-01 -2.634e+00 -1.870e+00
-7.759 -10.315 17.498 23.845 0.000 0.000 1.000 -6.325e-01 -2.673e+00 -1.943e+00
-7.730 -10.258 17.499 23.730 0.000 0.000 1.000 -6.320e-01 -2.710e+00 -2.012e+00
-7.699 -10.247 17.499 23.589 0.000 0.000 1.000 -6.314e-01 -2.750e+00 -2.084e+00
-7.670 -10.254 17.500 23.421 0.000 0.000 1.000 -6.308e-01 -2.788e+00 -2.152e+00
-7.639 -10.308 17.501 23.185 0.000 0.000 1.000 -6.302e-01 -2.827e+00 -2.220e+00
-7.610 -10.308 17.501 22.799 0.000 0.000 1.000 -6.296e-01 -2.864e+00 -2.282e+00
-7.580 -10.249 17.501 22.177 0.000 0.000 1.000 -6.289e-01 -2.900e+00 -2.342e+00
-7.550 -10.259 17.501 22.900 0.000 0.000 1.000 -6.281e-01 -2.934e+00 -2.396e+00
-7.520 -10.316 17.500 23.124 0.000 0.000 1.000 -6.273e-01 -2.965e+00 -2.445e+00
-7.489 -10.314 17.500 23.248 0.000 0.000 1.000 -6.265e-01 -2.993e+00 -2.487e+00
-7.460 -10.308 17.499 23.324 0.000 0.000 1.000 -6.255e-01 -3.017e+00 -2.523e+00
-7.430 -10.262 17.499 23.376 0.000 0.000 1.000 -6.245e-01 -3.038e+00 -2.553e+00
-7.400 -10.263 17.498 23.412 0.000 0.000 1.000 -6.234e-01 -3.055e+00 -2.577e+00
-7.370 -10.256 17.497 23.436 0.000 0.000 1.000 -6.221e-01 -3.069e+00 -2.596e+00
-7.340 -10.313 17.495 23.452 0.000 0.000 1.000 -6.208e-01 -3.080e+00 -2.612e+00
-7.310 -10.258 17.494 23.462 0.000 0.000 1.000 -6.195e-01 -3.089e+00 -2.624e+00
-7.280 -10.212 17.493 23.467 0.000 0.000 1.000 -6.180e-01 -3.096e+00 -2.633e+00
-7.250 -10.302 17.491 23.469 0.000 0.000 1.000 -6.166e-01 -3.101e+00 -2.639e+00
-7.220 -10.110 17.489 23.469 0.062 0.000 1.000 -6.150e-01 -3.106e+00 -2.646e+00
-7.190 -10.098 17.488 23.467 0.062 0.000 1.000 -6.131e-01 -3.110e+00 -2.652e+00
-7.160 -10.097 17.486 23.463 0.062 0.000 1.000 -6.112e-01 -3.114e+00 -2.657e+00
-7.130 -10.107 17.484 23.458 0.062 0.000 1.000 -6.091e-01 -3.118e+00 -2.662e+00
-7.100 -10.117 17.482 23.452 0.062 0.000 1.000 -6.070e-01 -3.122e+00 -2.667e+00
-7.070 -10.107 17.479 23.446 0.062 0.000 1.000 -6.047e-01 -3.126e+00 -2.672e+00
-7.040 -10.114 17.477 23.439 0.062 0.000 1.000 -6.023e-01 -3.130e+00 -2.677e+00
-7.010 -10.107 17.474 23.431 0.062 0.000 1.000 -5.998e-01 -3.134e+00 -2.683e+00
-6.980 -10.099 17.472 23.423 0.062 0.000 1.000 -5.972e-01 -3.139e+00 -2.689e+00
-6.950 -10.096 17.469 23.415 0.062 0.000 1.000 -5.945e-01 -3.143e+00 -2.695e+00
-6.920 -10.110 17.466 23.406 0.062 0.000 1.000 -5.917e-01 -3.148e+00 -2.701e+00
-6.890 -10.117 17.462 23.397 0.062 0.000 1.000 -5.887e-01 -3.153e+00 -2.708e+00
-6.860 -10.115 17.459 23.387 0.062 0.000 1.000 -5.856e-01 -3.159e+00 -2.715e+00
-6.830 -10.123 17.455 23.376 0.062 0.000 1.000 -5.824e-01 -3.165e+00 -2.722e+00
