# ASY method (with partition functions): 1010167 integration steps in 4.3418e+00 seconds
# All quantities except Asy, RG_PE, and sumX are log10(x)
# Log of absolute values for E and dE/dt as they can be negative
# Units: t and dt in s; E in erg; dE/dt in erg/g/s; others dimensionless 
#
#    t     dt     |E|  |dE/dt| Asy  Equil  sumX, diffX  X(4He)     X(12C)     X(16O)     

-10.965 -12.500 15.605 26.552 0.000 0.000 1.000 -6.0969e+00 -2.456e+00 -3.194e-01 -3.013e-01
-10.939 -12.475 15.630 26.550 0.000 0.000 1.000 -6.0969e+00 -2.431e+00 -3.205e-01 -3.013e-01
-10.901 -12.436 15.666 26.547 0.000 0.000 1.000 -6.0969e+00 -2.395e+00 -3.223e-01 -3.013e-01
-10.875 -12.411 15.691 26.545 0.000 0.000 1.000 -6.0969e+00 -2.370e+00 -3.236e-01 -3.014e-01
-10.849 -12.385 15.715 26.542 0.000 0.000 1.000 -6.0969e+00 -2.346e+00 -3.249e-01 -3.014e-01
-10.811 -12.346 15.752 26.538 0.000 0.000 1.000 -6.0969e+00 -2.309e+00 -3.271e-01 -3.014e-01
-10.785 -12.321 15.776 26.535 0.000 0.000 1.000 -6.0969e+00 -2.285e+00 -3.286e-01 -3.014e-01
-10.759 -12.295 15.800 26.532 0.000 0.000 1.000 -6.0969e+00 -2.261e+00 -3.302e-01 -3.014e-01
-10.721 -12.257 15.836 26.527 0.000 0.000 1.000 -6.0969e+00 -2.225e+00 -3.328e-01 -3.015e-01
-10.695 -12.231 15.860 26.524 0.000 0.000 1.000 -6.0969e+00 -2.201e+00 -3.347e-01 -3.015e-01
-10.669 -12.205 15.884 26.520 0.000 0.000 1.000 -6.0969e+00 -2.178e+00 -3.367e-01 -3.015e-01
-10.631 -12.167 15.919 26.514 0.000 0.000 1.000 -6.0969e+00 -2.142e+00 -3.398e-01 -3.016e-01
-10.605 -12.141 15.943 26.510 0.000 0.000 1.000 -6.0969e+00 -2.119e+00 -3.421e-01 -3.016e-01
-10.580 -12.115 15.966 26.506 0.000 0.000 1.000 -6.0969e+00 -2.095e+00 -3.445e-01 -3.016e-01
-10.541 -12.077 16.001 26.499 0.000 0.000 1.000 -6.0969e+00 -2.061e+00 -3.483e-01 -3.017e-01
-10.515 -12.051 16.024 26.494 0.000 0.000 1.000 -6.0969e+00 -2.038e+00 -3.510e-01 -3.017e-01
-10.490 -12.025 16.047 26.488 0.000 0.000 1.000 -6.0969e+00 -2.015e+00 -3.539e-01 -3.018e-01
-10.451 -11.987 16.081 26.480 0.000 0.000 1.000 -6.0969e+00 -1.981e+00 -3.585e-01 -3.018e-01
-10.426 -11.961 16.104 26.474 0.000 0.000 1.000 -6.0969e+00 -1.958e+00 -3.618e-01 -3.019e-01
-10.400 -11.936 16.126 26.468 0.000 0.000 1.000 -6.0969e+00 -1.936e+00 -3.652e-01 -3.019e-01
-10.361 -11.897 16.160 26.458 0.000 0.000 1.000 -6.0969e+00 -1.903e+00 -3.708e-01 -3.020e-01
-10.336 -11.871 16.182 26.451 0.000 0.000 1.000 -6.0969e+00 -1.881e+00 -3.747e-01 -3.020e-01
-10.297 -11.833 16.214 26.440 0.000 0.000 1.000 -6.0969e+00 -1.849e+00 -3.809e-01 -3.021e-01
-10.272 -11.807 16.236 26.432 0.000 0.000 1.000 -6.0969e+00 -1.828e+00 -3.854e-01 -3.022e-01
-10.246 -11.782 16.257 26.424 0.000 0.000 1.000 -6.0969e+00 -1.807e+00 -3.900e-01 -3.022e-01
-10.207 -11.743 16.289 26.411 0.000 0.000 1.000 -6.0969e+00 -1.775e+00 -3.975e-01 -3.023e-01
-10.182 -11.717 16.310 26.402 0.000 0.000 1.000 -6.0969e+00 -1.755e+00 -4.027e-01 -3.024e-01
-10.156 -11.692 16.331 26.393 0.000 0.000 1.000 -6.0969e+00 -1.735e+00 -4.082e-01 -3.024e-01
-10.117 -11.653 16.361 26.378 0.000 0.000 1.000 -6.0969e+00 -1.705e+00 -4.170e-01 -3.025e-01
-10.092 -11.628 16.381 26.368 0.000 0.000 1.000 -6.0969e+00 -1.686e+00 -4.232e-01 -3.026e-01
-10.066 -11.602 16.401 26.358 0.000 0.000 1.000 -6.0969e+00 -1.666e+00 -4.297e-01 -3.026e-01
-10.028 -11.563 16.431 26.341 0.000 0.000 1.000 -6.0969e+00 -1.638e+00 -4.399e-01 -3.027e-01
-10.002 -11.538 16.450 26.330 0.000 0.000 1.000 -6.0969e+00 -1.620e+00 -4.471e-01 -3.028e-01
-9.976 -11.512 16.469 26.318 0.000 0.000 1.000 -6.0969e+00 -1.602e+00 -4.547e-01 -3.029e-01
-9.938 -11.473 16.498 26.300 0.000 0.000 1.000 -6.0969e+00 -1.576e+00 -4.666e-01 -3.030e-01
-9.912 -11.448 16.516 26.288 0.000 0.000 1.000 -6.0969e+00 -1.559e+00 -4.750e-01 -3.031e-01
-9.886 -11.422 16.534 26.275 0.000 0.000 1.000 -6.0969e+00 -1.542e+00 -4.837e-01 -3.031e-01
-9.848 -11.384 16.562 26.256 0.000 0.000 1.000 -6.0969e+00 -1.518e+00 -4.974e-01 -3.032e-01
-9.822 -11.358 16.579 26.243 0.000 0.000 1.000 -6.0969e+00 -1.502e+00 -5.070e-01 -3.033e-01
-9.797 -11.332 16.597 26.230 0.000 0.000 1.000 -6.0969e+00 -1.487e+00 -5.170e-01 -3.034e-01
-9.758 -11.294 16.623 26.210 0.000 0.000 1.000 -6.0969e+00 -1.464e+00 -5.326e-01 -3.035e-01
-9.732 -11.268 16.640 26.196 0.000 0.000 1.000 -6.0969e+00 -1.450e+00 -5.435e-01 -3.035e-01
-9.707 -11.242 16.657 26.183 0.000 0.000 1.000 -6.0969e+00 -1.437e+00 -5.548e-01 -3.036e-01
-9.668 -11.204 16.682 26.163 0.000 0.000 1.000 -6.0969e+00 -1.417e+00 -5.724e-01 -3.036e-01
-9.643 -11.178 16.698 26.150 0.000 0.000 1.000 -6.0969e+00 -1.405e+00 -5.847e-01 -3.037e-01
-9.617 -11.153 16.715 26.137 0.000 0.000 1.000 -6.0969e+00 -1.393e+00 -5.973e-01 -3.037e-01
-9.578 -11.114 16.739 26.117 0.000 0.000 1.000 -6.0969e+00 -1.376e+00 -6.170e-01 -3.038e-01
-9.553 -11.088 16.755 26.105 0.000 0.000 1.000 -6.0969e+00 -1.365e+00 -6.307e-01 -3.038e-01
-9.527 -11.063 16.771 26.093 0.000 0.000 1.000 -6.0969e+00 -1.355e+00 -6.447e-01 -3.038e-01
-9.488 -11.024 16.795 26.075 0.000 0.000 1.000 -6.0969e+00 -1.341e+00 -6.665e-01 -3.038e-01
-9.463 -10.998 16.810 26.063 0.000 0.000 1.000 -6.0969e+00 -1.332e+00 -6.815e-01 -3.038e-01
-9.437 -10.973 16.826 26.052 0.000 0.000 1.000 -6.0969e+00 -1.324e+00 -6.969e-01 -3.038e-01
-9.399 -10.934 16.850 26.035 0.000 0.000 1.000 -6.0969e+00 -1.314e+00 -7.207e-01 -3.037e-01
-9.373 -10.909 16.865 26.025 0.000 0.000 1.000 -6.0969e+00 -1.307e+00 -7.371e-01 -3.036e-01
-9.347 -10.883 16.881 26.014 0.000 0.000 1.000 -6.0969e+00 -1.301e+00 -7.538e-01 -3.035e-01
-9.309 -10.844 16.904 25.999 0.000 0.000 1.000 -6.0969e+00 -1.294e+00 -7.796e-01 -3.034e-01
-9.283 -10.819 16.920 25.988 0.000 0.000 1.000 -6.0969e+00 -1.290e+00 -7.972e-01 -3.033e-01
-9.257 -10.793 16.935 25.978 0.000 0.000 1.000 -6.0969e+00 -1.286e+00 -8.152e-01 -3.031e-01
-9.219 -10.755 16.959 25.963 0.000 0.000 1.000 -6.0969e+00 -1.282e+00 -8.429e-01 -3.029e-01
-9.193 -10.729 16.974 25.953 0.000 0.000 1.000 -6.0969e+00 -1.280e+00 -8.617e-01 -3.027e-01
-9.168 -10.703 16.990 25.942 0.000 0.000 1.000 -6.0969e+00 -1.279e+00 -8.809e-01 -3.025e-01
-9.129 -10.665 17.013 25.926 0.000 0.000 1.000 -6.0969e+00 -1.279e+00 -9.103e-01 -3.021e-01
-9.103 -10.639 17.029 25.914 0.000 0.000 1.000 -6.0969e+00 -1.280e+00 -9.303e-01 -3.019e-01
-9.078 -10.613 17.044 25.902 0.000 0.000 1.000 -6.0969e+00 -1.281e+00 -9.506e-01 -3.016e-01
-9.039 -10.575 17.067 25.883 0.000 0.000 1.000 -6.0969e+00 -1.285e+00 -9.816e-01 -3.011e-01
-9.013 -10.549 17.082 25.870 0.000 0.000 1.000 -6.0969e+00 -1.288e+00 -1.003e+00 -3.008e-01
-8.988 -10.524 17.097 25.856 0.000 0.000 1.000 -6.0969e+00 -1.292e+00 -1.024e+00 -3.005e-01
-8.949 -10.485 17.120 25.833 0.000 0.000 1.000 -6.0969e+00 -1.300e+00 -1.056e+00 -2.999e-01
-8.924 -10.459 17.134 25.817 0.000 0.000 1.000 -6.0969e+00 -1.306e+00 -1.078e+00 -2.995e-01
-8.898 -10.434 17.149 25.800 0.000 0.000 1.000 -6.0969e+00 -1.313e+00 -1.101e+00 -2.991e-01
-8.859 -10.395 17.170 25.773 0.000 0.000 1.000 -6.0969e+00 -1.325e+00 -1.135e+00 -2.984e-01
-8.834 -10.369 17.184 25.754 0.000 0.000 1.000 -6.0969e+00 -1.333e+00 -1.157e+00 -2.979e-01
-8.808 -10.344 17.198 25.734 0.000 0.000 1.000 -6.0969e+00 -1.343e+00 -1.181e+00 -2.975e-01
-8.770 -10.305 17.218 25.702 0.000 0.000 1.000 -6.0969e+00 -1.359e+00 -1.216e+00 -2.967e-01
-8.744 -10.280 17.231 25.680 0.000 0.000 1.000 -6.0969e+00 -1.370e+00 -1.239e+00 -2.962e-01
-8.718 -10.254 17.244 25.657 0.000 0.000 1.000 -6.0969e+00 -1.383e+00 -1.263e+00 -2.957e-01
-8.680 -10.215 17.262 25.620 0.000 0.000 1.000 -6.0969e+00 -1.403e+00 -1.300e+00 -2.950e-01
-8.654 -10.190 17.274 25.594 0.000 0.000 1.000 -6.0969e+00 -1.417e+00 -1.324e+00 -2.944e-01
-8.628 -10.164 17.286 25.567 0.000 0.000 1.000 -6.0969e+00 -1.432e+00 -1.349e+00 -2.939e-01
-8.590 -10.126 17.302 25.526 0.000 0.000 1.000 -6.0969e+00 -1.456e+00 -1.386e+00 -2.931e-01
-8.564 -10.100 17.313 25.497 0.000 0.000 1.000 -6.0969e+00 -1.473e+00 -1.412e+00 -2.926e-01
-8.539 -10.074 17.323 25.467 0.000 0.000 1.000 -6.0969e+00 -1.491e+00 -1.437e+00 -2.921e-01
-8.500 -10.036 17.338 25.421 0.000 0.000 1.000 -6.0969e+00 -1.519e+00 -1.475e+00 -2.913e-01
-8.474 -10.010 17.348 25.389 0.000 0.000 1.000 -6.0969e+00 -1.539e+00 -1.501e+00 -2.909e-01
-8.449 -9.984 17.357 25.356 0.000 0.000 1.000 -6.0969e+00 -1.560e+00 -1.528e+00 -2.904e-01
-8.410 -9.946 17.370 25.305 0.000 0.000 1.000 -6.0969e+00 -1.592e+00 -1.567e+00 -2.897e-01
-8.384 -9.920 17.378 25.270 0.000 0.000 1.000 -6.0969e+00 -1.615e+00 -1.594e+00 -2.892e-01
-8.359 -9.894 17.386 25.235 0.000 0.000 1.000 -6.0969e+00 -1.639e+00 -1.621e+00 -2.887e-01
-8.320 -9.856 17.397 25.180 0.000 0.000 1.000 -6.0969e+00 -1.675e+00 -1.662e+00 -2.881e-01
-8.295 -9.830 17.404 25.142 0.000 0.000 1.000 -6.0969e+00 -1.701e+00 -1.689e+00 -2.877e-01
-8.269 -9.805 17.411 25.104 0.000 0.000 1.000 -6.0969e+00 -1.728e+00 -1.717e+00 -2.873e-01
-8.230 -9.766 17.421 25.045 0.000 0.000 1.000 -6.0969e+00 -1.769e+00 -1.759e+00 -2.867e-01
-8.205 -9.740 17.427 25.004 0.000 0.000 1.000 -6.0969e+00 -1.798e+00 -1.788e+00 -2.863e-01
-8.179 -9.715 17.433 24.963 0.000 0.000 1.000 -6.0969e+00 -1.828e+00 -1.816e+00 -2.859e-01
-8.141 -9.676 17.441 24.900 0.000 0.000 1.000 -6.0969e+00 -1.875e+00 -1.860e+00 -2.854e-01
-8.115 -9.651 17.446 24.857 0.000 0.000 1.000 -6.0969e+00 -1.907e+00 -1.889e+00 -2.851e-01
-8.089 -9.625 17.451 24.813 0.000 0.000 1.000 -6.0969e+00 -1.940e+00 -1.919e+00 -2.847e-01
-8.051 -9.586 17.457 24.746 0.000 0.000 1.000 -6.0969e+00 -1.991e+00 -1.964e+00 -2.843e-01
