# ASY method (with partition functions): 3858 integration steps in 1.3338e-02 seconds
# All quantities except Asy, RG_PE, and sumX are log10(x)
# Log of absolute values for E and dE/dt as they can be negative
# Units: t and dt in s; E in erg; dE/dt in erg/g/s; others dimensionless 
#
#    t     dt     |E|  |dE/dt| Asy  Equil  sumX  X(4He)     X(12C)     X(16O)     

-10.916 -11.846 14.837 25.752 0.000 0.000 1.000 -3.342e+00 -3.003e-01 -3.021e-01
-10.862 -11.792 14.891 25.752 0.000 0.000 1.000 -3.288e+00 -3.002e-01 -3.023e-01
-10.807 -11.738 14.945 25.752 0.000 0.000 1.000 -3.234e+00 -3.001e-01 -3.025e-01
-10.753 -11.683 14.999 25.752 0.000 0.000 1.000 -3.180e+00 -3.000e-01 -3.026e-01
-10.699 -11.629 15.054 25.751 0.000 0.000 1.000 -3.126e+00 -2.999e-01 -3.029e-01
-10.645 -11.575 15.108 25.751 0.000 0.000 1.000 -3.072e+00 -2.997e-01 -3.031e-01
-10.590 -11.521 15.162 25.750 0.000 0.000 1.000 -3.017e+00 -2.995e-01 -3.034e-01
-10.536 -11.467 15.216 25.750 0.000 0.000 1.000 -2.963e+00 -2.993e-01 -3.037e-01
-10.482 -11.412 15.270 25.750 0.000 0.000 1.000 -2.909e+00 -2.991e-01 -3.040e-01
-10.428 -11.358 15.324 25.749 0.000 0.000 1.000 -2.855e+00 -2.989e-01 -3.044e-01
-10.373 -11.304 15.377 25.748 0.000 0.000 1.000 -2.801e+00 -2.986e-01 -3.049e-01
-10.319 -11.250 15.431 25.748 0.000 0.000 1.000 -2.747e+00 -2.983e-01 -3.054e-01
-10.265 -11.195 15.485 25.747 0.000 0.000 1.000 -2.693e+00 -2.979e-01 -3.060e-01
-10.211 -11.141 15.539 25.746 0.000 0.000 1.000 -2.640e+00 -2.975e-01 -3.066e-01
-10.157 -11.087 15.592 25.745 0.000 0.000 1.000 -2.586e+00 -2.970e-01 -3.074e-01
-10.102 -11.033 15.646 25.744 0.000 0.000 1.000 -2.532e+00 -2.965e-01 -3.082e-01
-10.048 -10.978 15.700 25.742 0.000 0.000 1.000 -2.478e+00 -2.959e-01 -3.091e-01
-9.994 -10.924 15.753 25.741 0.000 0.000 1.000 -2.425e+00 -2.953e-01 -3.102e-01
-9.940 -10.870 15.806 25.739 0.000 0.000 1.000 -2.371e+00 -2.945e-01 -3.114e-01
-9.885 -10.816 15.860 25.737 0.000 0.000 1.000 -2.318e+00 -2.937e-01 -3.128e-01
-9.831 -10.762 15.913 25.735 0.000 0.000 1.000 -2.264e+00 -2.927e-01 -3.143e-01
-9.777 -10.707 15.965 25.732 0.000 0.000 1.000 -2.211e+00 -2.917e-01 -3.161e-01
-9.723 -10.653 16.018 25.729 0.000 0.000 1.000 -2.158e+00 -2.905e-01 -3.180e-01
-9.669 -10.599 16.071 25.726 0.000 0.000 1.000 -2.105e+00 -2.892e-01 -3.202e-01
-9.614 -10.545 16.123 25.722 0.000 0.000 1.000 -2.052e+00 -2.878e-01 -3.227e-01
-9.560 -10.490 16.175 25.718 0.000 0.000 1.000 -1.999e+00 -2.861e-01 -3.256e-01
-9.506 -10.436 16.227 25.713 0.000 0.000 1.000 -1.947e+00 -2.843e-01 -3.287e-01
-9.452 -10.382 16.278 25.708 0.000 0.000 1.000 -1.895e+00 -2.823e-01 -3.323e-01
-9.397 -10.328 16.329 25.701 0.000 0.000 1.000 -1.843e+00 -2.801e-01 -3.363e-01
-9.343 -10.274 16.380 25.694 0.000 0.000 1.000 -1.791e+00 -2.777e-01 -3.408e-01
-9.289 -10.219 16.430 25.686 0.000 0.000 1.000 -1.740e+00 -2.751e-01 -3.458e-01
-9.235 -10.165 16.479 25.677 0.000 0.000 1.000 -1.689e+00 -2.722e-01 -3.514e-01
-9.180 -10.111 16.528 25.666 0.000 0.000 1.000 -1.639e+00 -2.691e-01 -3.576e-01
-9.126 -10.057 16.576 25.654 0.000 0.000 1.000 -1.589e+00 -2.658e-01 -3.646e-01
-9.072 -10.002 16.624 25.640 0.000 0.000 1.000 -1.539e+00 -2.622e-01 -3.722e-01
