# ASY method (with partition functions): 267493 integration steps in 1.6978e-01 seconds
# All quantities except Asy, RG_PE, and sumX are log10(x)
# Log of absolute values for E and dE/dt as they can be negative
# Units: t and dt in s; E in erg; dE/dt in erg/g/s; others dimensionless 
#
#    t     dt     |E|  |dE/dt| Asy  Equil  sumX  X(4He)     X(12C)     X(16O)     

-10.965 -12.500 13.408 24.373 0.000 0.000 1.000 -4.632e+00 -3.010e-01 -3.011e-01
-10.939 -12.475 13.434 24.373 0.000 0.000 1.000 -4.606e+00 -3.010e-01 -3.011e-01
-10.901 -12.436 13.472 24.373 0.000 0.000 1.000 -4.568e+00 -3.010e-01 -3.011e-01
-10.875 -12.411 13.498 24.373 0.000 0.000 1.000 -4.542e+00 -3.010e-01 -3.011e-01
-10.849 -12.385 13.524 24.373 0.000 0.000 1.000 -4.516e+00 -3.010e-01 -3.011e-01
-10.811 -12.346 13.562 24.373 0.000 0.000 1.000 -4.478e+00 -3.010e-01 -3.011e-01
-10.785 -12.321 13.588 24.373 0.000 0.000 1.000 -4.452e+00 -3.010e-01 -3.011e-01
-10.759 -12.295 13.614 24.373 0.000 0.000 1.000 -4.427e+00 -3.010e-01 -3.011e-01
-10.721 -12.257 13.652 24.373 0.000 0.000 1.000 -4.388e+00 -3.010e-01 -3.011e-01
-10.695 -12.231 13.678 24.373 0.000 0.000 1.000 -4.362e+00 -3.010e-01 -3.011e-01
-10.669 -12.205 13.703 24.373 0.000 0.000 1.000 -4.337e+00 -3.010e-01 -3.011e-01
-10.631 -12.167 13.742 24.372 0.000 0.000 1.000 -4.298e+00 -3.010e-01 -3.011e-01
-10.605 -12.141 13.768 24.372 0.000 0.000 1.000 -4.273e+00 -3.010e-01 -3.011e-01
-10.580 -12.115 13.793 24.372 0.000 0.000 1.000 -4.247e+00 -3.010e-01 -3.011e-01
-10.541 -12.077 13.832 24.372 0.000 0.000 1.000 -4.209e+00 -3.010e-01 -3.011e-01
-10.515 -12.051 13.857 24.372 0.000 0.000 1.000 -4.183e+00 -3.010e-01 -3.011e-01
-10.490 -12.025 13.883 24.372 0.000 0.000 1.000 -4.157e+00 -3.010e-01 -3.011e-01
-10.451 -11.987 13.921 24.372 0.000 0.000 1.000 -4.119e+00 -3.010e-01 -3.011e-01
-10.426 -11.961 13.947 24.372 0.000 0.000 1.000 -4.093e+00 -3.010e-01 -3.011e-01
-10.400 -11.936 13.973 24.372 0.000 0.000 1.000 -4.067e+00 -3.010e-01 -3.012e-01
-10.361 -11.897 14.011 24.372 0.000 0.000 1.000 -4.029e+00 -3.010e-01 -3.012e-01
-10.336 -11.871 14.037 24.372 0.000 0.000 1.000 -4.003e+00 -3.010e-01 -3.012e-01
-10.297 -11.833 14.075 24.372 0.000 0.000 1.000 -3.965e+00 -3.010e-01 -3.012e-01
-10.272 -11.807 14.101 24.372 0.000 0.000 1.000 -3.939e+00 -3.010e-01 -3.012e-01
