# ASY method (with partition functions): 267493 integration steps in 1.6978e-01 seconds
# All double quantities are log10(x); rates in units of s^-1
#
#      t       dt  1/Rmin   Reaction Rmin    1/Rmax  Reaction Rmax
-10.9647 -12.5005  5.3923 he4+he4+he4-->c12 -6.8696 o16-->he4+c12
-10.9391 -12.4748  5.3410 he4+he4+he4-->c12 -6.8696 o16-->he4+c12
-10.9006 -12.4363  5.2640 he4+he4+he4-->c12 -6.8696 o16-->he4+c12
-10.8749 -12.4106  5.2127 he4+he4+he4-->c12 -6.8696 o16-->he4+c12
-10.8492 -12.3849  5.1613 he4+he4+he4-->c12 -6.8696 o16-->he4+c12
-10.8107 -12.3464  5.0843 he4+he4+he4-->c12 -6.8696 o16-->he4+c12
-10.7850 -12.3207  5.0330 he4+he4+he4-->c12 -6.8696 o16-->he4+c12
-10.7593 -12.2951  4.9817 he4+he4+he4-->c12 -6.8696 o16-->he4+c12
-10.7208 -12.2565  4.9047 he4+he4+he4-->c12 -6.8696 o16-->he4+c12
-10.6952 -12.2309  4.8533 he4+he4+he4-->c12 -6.8696 o16-->he4+c12
-10.6695 -12.2052  4.8020 he4+he4+he4-->c12 -6.8696 o16-->he4+c12
-10.6310 -12.1667  4.7250 he4+he4+he4-->c12 -6.8696 o16-->he4+c12
-10.6053 -12.1410  4.6737 he4+he4+he4-->c12 -6.8696 o16-->he4+c12
-10.5796 -12.1153  4.6224 he4+he4+he4-->c12 -6.8696 o16-->he4+c12
-10.5411 -12.0768  4.5454 he4+he4+he4-->c12 -6.8696 o16-->he4+c12
-10.5154 -12.0512  4.4941 he4+he4+he4-->c12 -6.8696 o16-->he4+c12
-10.4898 -12.0255  4.4428 he4+he4+he4-->c12 -6.8696 o16-->he4+c12
-10.4512 -11.9870  4.3658 he4+he4+he4-->c12 -6.8696 o16-->he4+c12
-10.4256 -11.9613  4.3145 he4+he4+he4-->c12 -6.8696 o16-->he4+c12
-10.3999 -11.9356  4.2632 he4+he4+he4-->c12 -6.8696 o16-->he4+c12
-10.3614 -11.8971  4.1862 he4+he4+he4-->c12 -6.8696 o16-->he4+c12
-10.3357 -11.8714  4.1349 he4+he4+he4-->c12 -6.8696 o16-->he4+c12
-10.2972 -11.8329  4.0580 he4+he4+he4-->c12 -6.8696 o16-->he4+c12
-10.2715 -11.8072  4.0067 he4+he4+he4-->c12 -6.8696 o16-->he4+c12
-10.2459 -11.7816  3.9554 he4+he4+he4-->c12 -6.8696 o16-->he4+c12
-10.2073 -11.7431  3.8785 he4+he4+he4-->c12 -6.8696 o16-->he4+c12
-10.1817 -11.7174  3.8272 he4+he4+he4-->c12 -6.8696 o16-->he4+c12
-10.1560 -11.6917  3.7759 he4+he4+he4-->c12 -6.8696 o16-->he4+c12
-10.1175 -11.6532  3.6990 he4+he4+he4-->c12 -6.8696 o16-->he4+c12
-10.0918 -11.6275  3.6478 he4+he4+he4-->c12 -6.8696 o16-->he4+c12
-10.0661 -11.6018  3.5965 he4+he4+he4-->c12 -6.8696 o16-->he4+c12
-10.0276 -11.5633  3.5196 he4+he4+he4-->c12 -6.8696 o16-->he4+c12
-10.0019 -11.5377  3.4684 he4+he4+he4-->c12 -6.8696 o16-->he4+c12
-9.9763 -11.5120  3.4171 he4+he4+he4-->c12 -6.8696 o16-->he4+c12
-9.9378 -11.4735  3.3403 he4+he4+he4-->c12 -6.8696 o16-->he4+c12
-9.9121 -11.4478  3.2891 he4+he4+he4-->c12 -6.8696 o16-->he4+c12
-9.8864 -11.4221  3.2378 he4+he4+he4-->c12 -6.8696 o16-->he4+c12
-9.8479 -11.3836  3.1610 he4+he4+he4-->c12 -6.8696 o16-->he4+c12
-9.8222 -11.3579  3.1098 he4+he4+he4-->c12 -6.8696 o16-->he4+c12
-9.7966 -11.3323  3.0587 he4+he4+he4-->c12 -6.8696 o16-->he4+c12
-9.7580 -11.2938  2.9819 he4+he4+he4-->c12 -6.8696 o16-->he4+c12
-9.7324 -11.2681  2.9308 he4+he4+he4-->c12 -6.8696 o16-->he4+c12
-9.7067 -11.2424  2.8796 he4+he4+he4-->c12 -6.8696 o16-->he4+c12
-9.6682 -11.2039  2.8029 he4+he4+he4-->c12 -6.8696 o16-->he4+c12
-9.6425 -11.1782  2.7518 he4+he4+he4-->c12 -6.8696 o16-->he4+c12
-9.6168 -11.1525  2.7007 he4+he4+he4-->c12 -6.8696 o16-->he4+c12
-9.5783 -11.1140  2.6241 he4+he4+he4-->c12 -6.8696 o16-->he4+c12
-9.5526 -11.0884  2.5730 he4+he4+he4-->c12 -6.8696 o16-->he4+c12
-9.5270 -11.0627  2.5220 he4+he4+he4-->c12 -6.8696 o16-->he4+c12
-9.4885 -11.0242  2.4455 he4+he4+he4-->c12 -6.8696 o16-->he4+c12
-9.4628 -10.9985  2.3945 he4+he4+he4-->c12 -6.8696 o16-->he4+c12
-9.4371 -10.9728  2.3435 he4+he4+he4-->c12 -6.8696 o16-->he4+c12
-9.3986 -10.9343  2.2671 he4+he4+he4-->c12 -6.8696 o16-->he4+c12
-9.3729 -10.9086  2.2162 he4+he4+he4-->c12 -6.8696 o16-->he4+c12
-9.3472 -10.8830  2.1653 he4+he4+he4-->c12 -6.8696 o16-->he4+c12
-9.3087 -10.8445  2.0890 he4+he4+he4-->c12 -6.8696 o16-->he4+c12
-9.2831 -10.8188  2.0382 he4+he4+he4-->c12 -6.8696 o16-->he4+c12
-9.2574 -10.7931  1.9874 he4+he4+he4-->c12 -6.8696 o16-->he4+c12
-9.2189 -10.7546  1.9114 he4+he4+he4-->c12 -6.8696 o16-->he4+c12
-9.1932 -10.7289  1.8607 he4+he4+he4-->c12 -6.8696 o16-->he4+c12
-9.1675 -10.7032  1.8100 he4+he4+he4-->c12 -6.8696 o16-->he4+c12
-9.1290 -10.6647  1.7341 he4+he4+he4-->c12 -6.8696 o16-->he4+c12
-9.1033 -10.6391  1.6836 he4+he4+he4-->c12 -6.8696 o16-->he4+c12
-9.0777 -10.6134  1.6331 he4+he4+he4-->c12 -6.8696 o16-->he4+c12
-9.0392 -10.5749  1.5575 he4+he4+he4-->c12 -6.8696 o16-->he4+c12
-9.0135 -10.5492  1.5072 he4+he4+he4-->c12 -6.8696 o16-->he4+c12
-8.9878 -10.5235  1.4569 he4+he4+he4-->c12 -6.8696 o16-->he4+c12
-8.9493 -10.4850  1.3816 he4+he4+he4-->c12 -6.8696 o16-->he4+c12
-8.9236 -10.4593  1.3315 he4+he4+he4-->c12 -6.8696 o16-->he4+c12
-8.8979 -10.4337  1.2814 he4+he4+he4-->c12 -6.8696 o16-->he4+c12
-8.8594 -10.3951  1.2065 he4+he4+he4-->c12 -6.8696 o16-->he4+c12
-8.8338 -10.3695  1.1567 he4+he4+he4-->c12 -6.8696 o16-->he4+c12
-8.8081 -10.3438  1.1070 he4+he4+he4-->c12 -6.8696 o16-->he4+c12
-8.7696 -10.3053  1.0325 he4+he4+he4-->c12 -6.8696 o16-->he4+c12
-8.7439 -10.2796  0.9830 he4+he4+he4-->c12 -6.8696 o16-->he4+c12
-8.7182 -10.2539  0.9337 he4+he4+he4-->c12 -6.8696 o16-->he4+c12
-8.6797 -10.2154  0.8598 he4+he4+he4-->c12 -6.8696 o16-->he4+c12
-8.6540 -10.1898  0.8108 he4+he4+he4-->c12 -6.8696 o16-->he4+c12
-8.6284 -10.1641  0.7619 he4+he4+he4-->c12 -6.8696 o16-->he4+c12
-8.5899 -10.1256  0.6888 he4+he4+he4-->c12 -6.8696 o16-->he4+c12
-8.5642 -10.0999  0.6402 he4+he4+he4-->c12 -6.8696 o16-->he4+c12
-8.5385 -10.0742  0.5919 he4+he4+he4-->c12 -6.8696 o16-->he4+c12
-8.5000 -10.0357  0.5197 he4+he4+he4-->c12 -6.8696 o16-->he4+c12
-8.4743 -10.0100  0.4718 he4+he4+he4-->c12 -6.8696 o16-->he4+c12
-8.4486 -9.9844  0.4241 he4+he4+he4-->c12 -6.8696 o16-->he4+c12
-8.4101 -9.9458  0.3529 he4+he4+he4-->c12 -6.8696 o16-->he4+c12
-8.3845 -9.9202  0.3058 he4+he4+he4-->c12 -6.8696 o16-->he4+c12
-8.3588 -9.8945  0.2590 he4+he4+he4-->c12 -6.8696 o16-->he4+c12
-8.3203 -9.8560  0.1892 he4+he4+he4-->c12 -6.8696 o16-->he4+c12
-8.2946 -9.8303  0.1430 he4+he4+he4-->c12 -6.8696 o16-->he4+c12
-8.2689 -9.8046  0.0971 he4+he4+he4-->c12 -6.8696 o16-->he4+c12
-8.2304 -9.7661  0.0289 he4+he4+he4-->c12 -6.8696 o16-->he4+c12
-8.2047 -9.7405 -0.0161 he4+he4+he4-->c12 -6.8696 o16-->he4+c12
-8.1791 -9.7148 -0.0607 he4+he4+he4-->c12 -6.8696 o16-->he4+c12
-8.1405 -9.6763 -0.1270 he4+he4+he4-->c12 -6.8696 o16-->he4+c12
-8.1149 -9.6506 -0.1706 he4+he4+he4-->c12 -6.8696 o16-->he4+c12
-8.0892 -9.6249 -0.2138 he4+he4+he4-->c12 -6.8696 o16-->he4+c12
-8.0507 -9.5864 -0.2778 he4+he4+he4-->c12 -6.8696 o16-->he4+c12
-8.0250 -9.5607 -0.3198 he4+he4+he4-->c12 -6.8696 o16-->he4+c12
-7.9993 -9.5351 -0.3612 he4+he4+he4-->c12 -6.8696 o16-->he4+c12
-7.9608 -9.4965 -0.4224 he4+he4+he4-->c12 -6.8696 o16-->he4+c12
-7.9352 -9.4709 -0.4624 he4+he4+he4-->c12 -6.8696 o16-->he4+c12
-7.9095 -9.4452 -0.5019 he4+he4+he4-->c12 -6.8696 o16-->he4+c12
-7.8710 -9.4067 -0.5598 he4+he4+he4-->c12 -6.8696 o16-->he4+c12
-7.8453 -9.3810 -0.5976 he4+he4+he4-->c12 -6.8696 o16-->he4+c12
-7.8196 -9.3553 -0.6347 he4+he4+he4-->c12 -6.8696 o16-->he4+c12
-7.7811 -9.3168 -0.6890 he4+he4+he4-->c12 -6.8696 o16-->he4+c12
-7.7554 -9.2911 -0.7243 he4+he4+he4-->c12 -6.8696 o16-->he4+c12
-7.7298 -9.2655 -0.7588 he4+he4+he4-->c12 -6.8696 o16-->he4+c12
-7.6912 -9.2270 -0.8091 he4+he4+he4-->c12 -6.8696 o16-->he4+c12
-7.6656 -9.2013 -0.8416 he4+he4+he4-->c12 -6.8781 he4+c12-->o16
-7.6399 -9.1756 -0.8732 he4+he4+he4-->c12 -6.8940 he4+c12-->o16
-7.6014 -9.1371 -0.9192 he4+he4+he4-->c12 -6.9170 he4+c12-->o16
-7.5757 -9.1114 -0.9489 he4+he4+he4-->c12 -6.9318 he4+c12-->o16
-7.5372 -9.0729 -0.9918 he4+he4+he4-->c12 -6.9533 he4+c12-->o16
-7.5115 -9.0472 -1.0195 he4+he4+he4-->c12 -6.9671 he4+c12-->o16
-7.4858 -9.0216 -1.0464 he4+he4+he4-->c12 -6.9805 he4+c12-->o16
-7.4473 -8.9831 -1.0854 he4+he4+he4-->c12 -7.0000 he4+c12-->o16
