# ASY method (with partition functions): 39251 integration steps in 7.1697e-01 seconds
# All quantities except Asy, RG_PE, and sumX are log10(x)
# Log of absolute values for E and dE/dt as they can be negative
# Units: t and dt in s; E in erg; dE/dt in erg/g/s; others dimensionless 
#
#    t     dt     |E|  |dE/dt| Asy  Equil  sumX  X(1H)     X(2H)     X(3He)     

-10.929 -11.859  9.505 20.437 0.429 0.000 1.000 -1.249e-01 -1.024e+01 -8.842e+00
-10.874 -11.805  9.559 20.437 0.429 0.000 1.000 -1.249e-01 -1.017e+01 -8.788e+00
-10.820 -11.751  9.614 20.437 0.429 0.000 1.000 -1.249e-01 -1.011e+01 -8.735e+00
-10.766 -11.696  9.669 20.438 0.429 0.000 1.000 -1.249e-01 -1.005e+01 -8.681e+00
-10.712 -11.642  9.723 20.438 0.429 0.000 1.000 -1.249e-01 -9.983e+00 -8.628e+00
-10.657 -11.588  9.778 20.438 0.429 0.000 1.000 -1.249e-01 -9.921e+00 -8.575e+00
-10.603 -11.534  9.832 20.438 0.429 0.000 1.000 -1.249e-01 -9.860e+00 -8.521e+00
-10.549 -11.479  9.887 20.437 0.429 0.000 1.000 -1.249e-01 -9.800e+00 -8.468e+00
-10.495 -11.425  9.941 20.437 0.429 0.000 1.000 -1.249e-01 -9.741e+00 -8.414e+00
-10.441 -11.371  9.995 20.437 0.429 0.000 1.000 -1.249e-01 -9.682e+00 -8.361e+00
-10.386 -11.317 10.050 20.437 0.429 0.000 1.000 -1.249e-01 -9.631e+00 -8.313e+00
-10.332 -11.262 10.104 20.436 0.429 0.000 1.000 -1.249e-01 -9.579e+00 -8.265e+00
-10.278 -11.208 10.158 20.436 0.571 0.000 1.000 -1.249e-01 -9.553e+00 -8.216e+00
-10.224 -11.154 10.214 20.449 0.571 0.000 1.000 -1.249e-01 -9.514e+00 -8.169e+00
-10.169 -11.100 10.270 20.456 0.571 0.000 1.000 -1.249e-01 -9.468e+00 -8.122e+00
-10.115 -11.046 10.327 20.460 0.571 0.000 1.000 -1.249e-01 -9.421e+00 -8.075e+00
