# ASY method (with partition functions): 18507 integration steps in 2.7568e-01 seconds
# All quantities except Asy, RG_PE, and sumX are log10(x)
# Log of absolute values for E and dE/dt as they can be negative
# Units: t and dt in s; E in erg; dE/dt in erg/g/s; others dimensionless 
#
#    t     dt     |E|  |dE/dt| Asy  Equil  sumX  X(1H)     X(2H)     X(3He)     

-10.929 -11.859 11.280 22.222 0.429 0.000 1.000 -1.249e-01 -7.914e+00 -7.256e+00
-10.874 -11.805 11.336 22.223 0.429 0.000 1.000 -1.249e-01 -7.852e+00 -7.209e+00
-10.820 -11.751 11.391 22.222 0.429 0.000 1.000 -1.249e-01 -7.791e+00 -7.161e+00
-10.766 -11.696 11.447 22.222 0.429 0.000 1.000 -1.249e-01 -7.731e+00 -7.113e+00
-10.712 -11.642 11.502 22.221 0.429 0.000 1.000 -1.249e-01 -7.671e+00 -7.064e+00
-10.657 -11.588 11.557 22.220 0.429 0.000 1.000 -1.249e-01 -7.612e+00 -7.015e+00
-10.603 -11.534 11.612 22.218 0.429 0.000 1.000 -1.249e-01 -7.555e+00 -6.966e+00
-10.549 -11.479 11.666 22.216 0.429 0.000 1.000 -1.249e-01 -7.497e+00 -6.916e+00
-10.495 -11.425 11.720 22.214 0.429 0.000 1.000 -1.249e-01 -7.441e+00 -6.866e+00
-10.441 -11.371 11.774 22.210 0.429 0.000 1.000 -1.249e-01 -7.385e+00 -6.816e+00
-10.386 -11.317 11.827 22.206 0.429 0.000 1.000 -1.249e-01 -7.330e+00 -6.766e+00
-10.332 -11.262 11.880 22.201 0.571 0.000 1.000 -1.249e-01 -7.303e+00 -6.717e+00
-10.278 -11.208 11.938 22.241 0.571 0.000 1.000 -1.249e-01 -7.262e+00 -6.679e+00
-10.224 -11.154 11.995 22.241 0.571 0.000 1.000 -1.249e-01 -7.221e+00 -6.641e+00
-10.174 -11.141 12.047 22.239 0.571 0.000 1.000 -1.249e-01 -7.182e+00 -6.605e+00
-10.128 -11.128 12.094 22.236 0.571 0.000 1.000 -1.249e-01 -7.144e+00 -6.572e+00
-10.086 -11.116 12.137 22.226 0.571 0.000 1.000 -1.249e-01 -7.110e+00 -6.541e+00
-10.046 -11.103 12.176 22.218 0.571 0.000 1.000 -1.249e-01 -7.078e+00 -6.513e+00
-10.008 -11.090 12.213 22.208 0.571 0.000 1.000 -1.249e-01 -7.049e+00 -6.486e+00
-9.973 -11.077 12.247 22.198 0.571 0.000 1.000 -1.249e-01 -7.022e+00 -6.462e+00
-9.945 -11.159 12.272 22.186 0.571 0.000 1.000 -1.249e-01 -6.998e+00 -6.443e+00
-9.916 -11.104 12.298 22.165 0.429 0.000 1.000 -1.249e-01 -6.990e+00 -6.440e+00
-9.885 -11.050 12.324 22.145 0.429 0.000 1.000 -1.249e-01 -6.989e+00 -6.439e+00
-9.853 -10.996 12.352 22.143 0.286 0.000 1.000 -1.249e-01 -6.989e+00 -6.439e+00
-9.853 -13.000 12.353 22.142 0.429 0.000 1.000 -1.249e-01 -6.988e+00 -6.439e+00
-9.852 -12.946 12.353 22.141 0.286 0.000 1.000 -1.249e-01 -6.988e+00 -6.439e+00
-9.852 -12.892 12.353 22.140 0.286 0.000 1.000 -1.249e-01 -6.987e+00 -6.438e+00
-9.851 -12.838 12.354 22.139 0.286 0.000 1.000 -1.249e-01 -6.987e+00 -6.438e+00
-9.851 -12.783 12.354 22.138 0.286 0.000 1.000 -1.249e-01 -6.986e+00 -6.438e+00
-9.850 -12.729 12.355 22.137 0.286 0.000 1.000 -1.249e-01 -6.986e+00 -6.437e+00
-9.850 -12.675 12.355 22.136 0.286 0.000 1.000 -1.249e-01 -6.985e+00 -6.437e+00
-9.849 -12.621 12.356 22.135 0.286 0.000 1.000 -1.249e-01 -6.985e+00 -6.437e+00
-9.848 -12.566 12.356 22.134 0.286 0.000 1.000 -1.249e-01 -6.984e+00 -6.436e+00
-9.847 -12.512 12.357 22.133 0.286 0.000 1.000 -1.249e-01 -6.984e+00 -6.436e+00
-9.846 -12.458 12.358 22.132 0.286 0.000 1.000 -1.249e-01 -6.983e+00 -6.436e+00
-9.845 -12.404 12.359 22.131 0.286 0.000 1.000 -1.249e-01 -6.983e+00 -6.436e+00
-9.844 -12.350 12.360 22.130 0.286 0.000 1.000 -1.249e-01 -6.982e+00 -6.435e+00
-9.842 -12.295 12.362 22.129 0.286 0.000 1.000 -1.249e-01 -6.982e+00 -6.435e+00
-9.828 -11.970 12.374 22.124 0.286 0.000 1.000 -1.249e-01 -6.979e+00 -6.433e+00
-9.799 -11.645 12.398 22.120 0.286 0.000 1.000 -1.249e-01 -6.977e+00 -6.431e+00
-9.766 -11.428 12.425 22.120 0.286 0.000 1.000 -1.249e-01 -6.976e+00 -6.431e+00
-9.731 -11.265 12.455 22.119 0.143 0.000 1.000 -1.249e-01 -6.976e+00 -6.431e+00
-9.701 -11.156 12.481 22.119 0.286 0.000 1.000 -1.249e-01 -6.976e+00 -6.431e+00
-9.666 -11.048 12.511 22.118 0.143 0.000 1.000 -1.249e-01 -6.976e+00 -6.431e+00
-9.646 -10.994 12.529 22.118 0.143 0.000 1.000 -1.249e-01 -6.976e+00 -6.431e+00
-9.618 -11.755 12.553 22.113 0.286 0.000 1.000 -1.249e-01 -6.972e+00 -6.428e+00
-9.589 -11.430 12.579 22.112 0.286 0.000 1.000 -1.249e-01 -6.971e+00 -6.427e+00
-9.556 -11.213 12.608 22.111 0.143 0.000 1.000 -1.249e-01 -6.971e+00 -6.427e+00
-9.520 -11.050 12.640 22.111 0.286 0.000 1.000 -1.249e-01 -6.971e+00 -6.427e+00
-9.500 -12.266 12.658 22.108 0.143 0.000 1.000 -1.249e-01 -6.969e+00 -6.425e+00
-9.466 -11.453 12.688 22.107 0.143 0.000 1.000 -1.249e-01 -6.967e+00 -6.425e+00
-9.434 -11.182 12.717 22.106 0.286 0.000 1.000 -1.249e-01 -6.967e+00 -6.424e+00
-9.405 -11.019 12.743 22.106 0.286 0.000 1.000 -1.249e-01 -6.966e+00 -6.424e+00
-9.380 -11.555 12.766 22.101 0.143 0.000 1.000 -1.249e-01 -6.963e+00 -6.420e+00
-9.347 -11.175 12.796 22.100 0.286 0.000 1.000 -1.249e-01 -6.962e+00 -6.420e+00
-9.320 -12.447 12.820 22.097 0.286 0.000 1.000 -1.249e-01 -6.959e+00 -6.417e+00
-9.286 -11.309 12.851 22.095 0.143 0.000 1.000 -1.249e-01 -6.957e+00 -6.416e+00
-9.256 -11.037 12.878 22.095 0.143 0.000 1.000 -1.249e-01 -6.957e+00 -6.416e+00
-9.229 -11.508 12.903 22.092 0.143 0.000 1.000 -1.249e-01 -6.954e+00 -6.413e+00
-9.197 -11.074 12.933 22.091 0.286 0.000 1.000 -1.249e-01 -6.953e+00 -6.412e+00
-9.169 -11.422 12.958 22.088 0.286 0.000 1.000 -1.249e-01 -6.950e+00 -6.409e+00
-9.135 -10.988 12.989 22.087 0.286 0.000 1.000 -1.249e-01 -6.949e+00 -6.409e+00
-9.107 -11.247 13.014 22.085 0.143 0.000 1.000 -1.249e-01 -6.946e+00 -6.406e+00
-9.079 -11.936 13.040 22.082 0.286 0.000 1.000 -1.249e-01 -6.944e+00 -6.404e+00
-9.048 -11.069 13.069 22.082 0.286 0.000 1.000 -1.249e-01 -6.943e+00 -6.403e+00
-9.020 -11.226 13.095 22.079 0.143 0.000 1.000 -1.249e-01 -6.940e+00 -6.400e+00
-8.989 -11.345 13.124 22.076 0.286 0.000 1.000 -1.249e-01 -6.937e+00 -6.397e+00
-8.960 -11.497 13.150 22.073 0.143 0.000 1.000 -1.249e-01 -6.933e+00 -6.394e+00
-8.929 -11.552 13.178 22.070 0.143 0.000 1.000 -1.249e-01 -6.930e+00 -6.391e+00
-8.899 -11.523 13.206 22.067 0.143 0.000 1.000 -1.249e-01 -6.927e+00 -6.387e+00
-8.869 -11.521 13.233 22.064 0.143 0.000 1.000 -1.249e-01 -6.923e+00 -6.384e+00
-8.839 -11.411 13.261 22.061 0.143 0.000 1.000 -1.249e-01 -6.920e+00 -6.381e+00
-8.809 -11.236 13.289 22.058 0.286 0.000 1.000 -1.249e-01 -6.916e+00 -6.378e+00
-8.778 -11.021 13.316 22.055 0.286 0.000 1.000 -1.249e-01 -6.913e+00 -6.374e+00
-8.750 -11.495 13.342 22.049 0.143 0.000 1.000 -1.249e-01 -6.907e+00 -6.369e+00
-8.718 -11.049 13.371 22.045 0.143 0.000 1.000 -1.249e-01 -6.903e+00 -6.365e+00
-8.690 -11.419 13.396 22.040 0.286 0.000 1.000 -1.249e-01 -6.898e+00 -6.361e+00
-8.660 -13.469 13.423 22.036 0.143 0.000 1.000 -1.249e-01 -6.895e+00 -6.357e+00
-8.629 -11.066 13.451 22.031 0.286 0.000 1.000 -1.249e-01 -6.890e+00 -6.352e+00
-8.600 -11.117 13.477 22.024 0.143 0.000 1.000 -1.249e-01 -6.884e+00 -6.347e+00
-8.570 -11.057 13.503 22.018 0.286 0.000 1.000 -1.249e-01 -6.879e+00 -6.341e+00
-8.540 -12.143 13.529 22.009 0.286 0.000 1.000 -1.249e-01 -6.871e+00 -6.334e+00
-8.510 -11.238 13.556 22.001 0.286 0.000 1.000 -1.249e-01 -6.865e+00 -6.328e+00
-8.480 -11.806 13.581 21.992 0.286 0.000 1.000 -1.249e-01 -6.858e+00 -6.322e+00
-8.450 -11.006 13.607 21.984 0.000 0.000 1.000 -1.249e-01 -6.853e+00 -6.317e+00
-8.420 -12.078 13.632 21.970 0.143 0.000 1.000 -1.249e-01 -6.844e+00 -6.308e+00
-8.390 -11.508 13.656 21.958 0.286 0.000 1.000 -1.249e-01 -6.836e+00 -6.301e+00
-8.360 -11.085 13.681 21.947 0.286 0.000 1.000 -1.249e-01 -6.830e+00 -6.295e+00
-8.330 -11.356 13.705 21.932 0.000 0.000 1.000 -1.249e-01 -6.821e+00 -6.286e+00
-8.300 -11.300 13.728 21.915 0.143 0.000 1.000 -1.249e-01 -6.813e+00 -6.279e+00
-8.269 -11.119 13.751 21.899 0.143 0.000 1.000 -1.249e-01 -6.805e+00 -6.271e+00
-8.240 -11.582 13.773 21.880 0.286 0.000 1.000 -1.249e-01 -6.797e+00 -6.263e+00
-8.210 -12.006 13.795 21.859 0.000 0.000 1.000 -1.249e-01 -6.788e+00 -6.255e+00
-8.180 -11.458 13.816 21.838 0.286 0.000 1.000 -1.249e-01 -6.781e+00 -6.247e+00
-8.150 -10.995 13.837 21.815 0.143 0.000 1.000 -1.249e-01 -6.773e+00 -6.240e+00
-8.120 -11.094 13.857 21.787 0.286 0.000 1.000 -1.249e-01 -6.764e+00 -6.232e+00
-8.090 -12.255 13.875 21.754 0.286 0.000 1.000 -1.249e-01 -6.755e+00 -6.223e+00
-8.059 -10.994 13.894 21.721 0.286 0.000 1.000 -1.249e-01 -6.747e+00 -6.215e+00
-8.030 -11.086 13.910 21.681 0.143 0.000 1.000 -1.249e-01 -6.738e+00 -6.207e+00
-8.000 -11.083 13.927 21.639 0.143 0.000 1.000 -1.249e-01 -6.730e+00 -6.199e+00
-7.970 -11.114 13.941 21.592 0.143 0.000 1.000 -1.249e-01 -6.722e+00 -6.191e+00
-7.940 -11.214 13.955 21.543 0.286 0.000 1.000 -1.249e-01 -6.715e+00 -6.184e+00
-7.910 -10.832 13.968 21.498 0.286 0.000 1.000 -1.249e-01 -6.710e+00 -6.179e+00
-7.880 -11.068 13.980 21.446 0.286 0.000 1.000 -1.249e-01 -6.704e+00 -6.173e+00
-7.850 -10.839 13.991 21.397 0.286 0.000 1.000 -1.249e-01 -6.699e+00 -6.169e+00
-7.820 -10.695 14.002 21.343 0.286 0.000 1.000 -1.249e-01 -6.695e+00 -6.164e+00
-7.790 -11.390 14.011 21.278 0.286 0.000 1.000 -1.249e-01 -6.690e+00 -6.160e+00
-7.760 -12.507 14.020 21.226 0.286 0.000 1.000 -1.249e-01 -6.687e+00 -6.157e+00
-7.730 -10.696 14.028 21.163 0.286 0.000 1.000 -1.249e-01 -6.684e+00 -6.154e+00
-7.700 -11.367 14.035 21.098 0.000 0.000 1.000 -1.249e-01 -6.681e+00 -6.151e+00
-7.670 -11.369 14.042 21.031 0.286 0.000 1.000 -1.249e-01 -6.678e+00 -6.149e+00
-7.640 -10.440 14.048 20.970 0.286 0.000 1.000 -1.249e-01 -6.676e+00 -6.147e+00
-7.610 -10.760 14.053 20.895 0.286 0.000 1.000 -1.249e-01 -6.674e+00 -6.145e+00
-7.580 -10.542 14.058 20.831 0.286 0.000 1.000 -1.249e-01 -6.673e+00 -6.143e+00
-7.550 -10.551 14.062 20.759 0.286 0.000 1.000 -1.249e-01 -6.671e+00 -6.142e+00
-7.520 -10.848 14.066 20.685 0.286 0.000 1.000 -1.249e-01 -6.670e+00 -6.141e+00
-7.489 -10.286 14.070 20.617 0.286 0.000 1.000 -1.249e-01 -6.669e+00 -6.140e+00
