# ASY+PE method (with partition functions): 926 integration steps in 1.6823e-02 seconds
# All quantities except Asy, RG_PE, and sumX are log10(x)
# Log of absolute values for E and dE/dt as they can be negative
# Units: t and dt in s; E in erg; dE/dt in erg/g/s; others dimensionless 
#
#    t     dt     |E|  |dE/dt| Asy  Equil  sumX  X(4He)     X(12C)     X(16O)     

-10.949 -12.153 15.620 26.551 0.000 0.000 1.000 -2.428e+00 -3.207e-01 -3.013e-01
-10.921 -12.125 15.647 26.549 0.000 0.000 1.000 -2.401e+00 -3.220e-01 -3.013e-01
-10.893 -12.097 15.674 26.546 0.000 0.000 1.000 -2.375e+00 -3.233e-01 -3.014e-01
-10.865 -12.069 15.700 26.544 0.000 0.000 1.000 -2.348e+00 -3.248e-01 -3.014e-01
-10.837 -12.041 15.727 26.541 0.000 0.000 1.000 -2.321e+00 -3.263e-01 -3.014e-01
-10.809 -12.013 15.753 26.538 0.000 0.000 1.000 -2.295e+00 -3.280e-01 -3.014e-01
-10.781 -11.985 15.780 26.535 0.000 0.000 1.000 -2.269e+00 -3.297e-01 -3.014e-01
-10.753 -11.957 15.806 26.531 0.000 0.000 1.000 -2.242e+00 -3.316e-01 -3.015e-01
-10.725 -11.929 15.832 26.528 0.000 0.000 1.000 -2.216e+00 -3.335e-01 -3.015e-01
-10.697 -11.901 15.858 26.524 0.000 0.000 1.000 -2.190e+00 -3.356e-01 -3.015e-01
-10.669 -11.873 15.884 26.520 0.000 0.000 1.000 -2.164e+00 -3.378e-01 -3.015e-01
-10.612 -11.817 15.936 26.511 0.000 0.000 1.000 -2.113e+00 -3.427e-01 -3.016e-01
-10.584 -11.789 15.961 26.507 0.000 0.000 1.000 -2.087e+00 -3.453e-01 -3.017e-01
-10.556 -11.761 15.987 26.502 0.000 0.000 1.000 -2.062e+00 -3.481e-01 -3.017e-01
-10.528 -11.732 16.012 26.496 0.000 0.000 1.000 -2.037e+00 -3.511e-01 -3.017e-01
-10.500 -11.704 16.037 26.491 0.000 0.000 1.000 -2.012e+00 -3.543e-01 -3.018e-01
-10.472 -11.676 16.062 26.485 0.000 0.000 1.000 -1.987e+00 -3.576e-01 -3.018e-01
-10.444 -11.648 16.087 26.479 0.000 0.000 1.000 -1.963e+00 -3.612e-01 -3.019e-01
-10.416 -11.620 16.111 26.472 0.000 0.000 1.000 -1.938e+00 -3.649e-01 -3.019e-01
-10.388 -11.592 16.136 26.465 0.000 0.000 1.000 -1.914e+00 -3.689e-01 -3.020e-01
-10.360 -11.564 16.160 26.458 0.000 0.000 1.000 -1.890e+00 -3.731e-01 -3.020e-01
-10.332 -11.536 16.184 26.450 0.000 0.000 1.000 -1.866e+00 -3.775e-01 -3.021e-01
-10.304 -11.508 16.208 26.442 0.000 0.000 1.000 -1.843e+00 -3.822e-01 -3.021e-01
-10.276 -11.480 16.231 26.434 0.000 0.000 1.000 -1.820e+00 -3.871e-01 -3.022e-01
-10.248 -11.452 16.254 26.425 0.000 0.000 1.000 -1.797e+00 -3.923e-01 -3.022e-01
-10.192 -11.396 16.300 26.406 0.000 0.000 1.000 -1.752e+00 -4.036e-01 -3.024e-01
-10.164 -11.368 16.323 26.396 0.000 0.000 1.000 -1.730e+00 -4.097e-01 -3.024e-01
-10.136 -11.340 16.345 26.386 0.000 0.000 1.000 -1.708e+00 -4.161e-01 -3.025e-01
-10.108 -11.312 16.367 26.375 0.000 0.000 1.000 -1.687e+00 -4.229e-01 -3.026e-01
-10.080 -11.284 16.389 26.363 0.000 0.000 1.000 -1.666e+00 -4.300e-01 -3.026e-01
-10.052 -11.256 16.411 26.352 0.000 0.000 1.000 -1.645e+00 -4.374e-01 -3.027e-01
-10.024 -11.228 16.432 26.340 0.000 0.000 1.000 -1.625e+00 -4.452e-01 -3.028e-01
-9.996 -11.200 16.453 26.327 0.000 0.000 1.000 -1.605e+00 -4.534e-01 -3.029e-01
-9.968 -11.172 16.474 26.314 0.000 0.000 1.000 -1.585e+00 -4.620e-01 -3.029e-01
