# ASY+PE method (with partition functions): 1066 integration steps in 2.0297e-02 seconds
# All quantities except Asy, RG_PE, and sumX are log10(x)
# Log of absolute values for E and dE/dt as they can be negative
# Units: t and dt in s; E in erg; dE/dt in erg/g/s; others dimensionless 
#
#    t     dt     |E|  |dE/dt| Asy  Equil  sumX  X(4He)     X(12C)     X(16O)     

-10.929 -11.893 15.641 26.555 0.000 0.000 1.000 -2.449e+00 -3.198e-01 -3.013e-01
-10.879 -11.843 15.689 26.551 0.000 0.000 1.000 -2.401e+00 -3.220e-01 -3.013e-01
-10.829 -11.793 15.737 26.546 0.000 0.000 1.000 -2.353e+00 -3.245e-01 -3.014e-01
-10.779 -11.743 15.784 26.542 0.000 0.000 1.000 -2.306e+00 -3.273e-01 -3.014e-01
-10.729 -11.693 15.831 26.536 0.000 0.000 1.000 -2.259e+00 -3.304e-01 -3.014e-01
-10.679 -11.643 15.878 26.530 0.000 0.000 1.000 -2.212e+00 -3.339e-01 -3.015e-01
-10.629 -11.593 15.924 26.523 0.000 0.000 1.000 -2.165e+00 -3.377e-01 -3.015e-01
-10.579 -11.543 15.970 26.516 0.000 0.000 1.000 -2.119e+00 -3.420e-01 -3.016e-01
-10.529 -11.493 16.016 26.508 0.000 0.000 1.000 -2.074e+00 -3.468e-01 -3.017e-01
-10.479 -11.443 16.061 26.499 0.000 0.000 1.000 -2.029e+00 -3.521e-01 -3.017e-01
-10.429 -11.393 16.106 26.489 0.000 0.000 1.000 -1.984e+00 -3.580e-01 -3.018e-01
-10.379 -11.343 16.150 26.478 0.000 0.000 1.000 -1.941e+00 -3.645e-01 -3.019e-01
-10.329 -11.293 16.194 26.466 0.000 0.000 1.000 -1.897e+00 -3.717e-01 -3.020e-01
-10.279 -11.243 16.236 26.453 0.000 0.000 1.000 -1.855e+00 -3.797e-01 -3.021e-01
-10.229 -11.193 16.279 26.438 0.000 0.000 1.000 -1.813e+00 -3.885e-01 -3.022e-01
-10.179 -11.143 16.320 26.423 0.000 0.000 1.000 -1.773e+00 -3.982e-01 -3.023e-01
-10.129 -11.093 16.361 26.406 0.000 0.000 1.000 -1.733e+00 -4.088e-01 -3.024e-01
-10.079 -11.043 16.401 26.387 0.000 0.000 1.000 -1.694e+00 -4.205e-01 -3.025e-01
-10.029 -10.993 16.440 26.367 0.000 0.000 1.000 -1.656e+00 -4.332e-01 -3.027e-01
-9.979 -10.943 16.478 26.346 0.000 0.000 1.000 -1.620e+00 -4.471e-01 -3.028e-01
-9.929 -10.893 16.515 26.324 0.000 0.000 1.000 -1.585e+00 -4.623e-01 -3.030e-01
-9.879 -10.843 16.552 26.301 0.000 0.000 1.000 -1.551e+00 -4.788e-01 -3.031e-01
-9.829 -10.793 16.587 26.276 0.000 0.000 1.000 -1.518e+00 -4.966e-01 -3.032e-01
-9.779 -10.743 16.622 26.251 0.000 0.000 1.000 -1.488e+00 -5.158e-01 -3.034e-01
-9.729 -10.693 16.656 26.225 0.000 0.000 1.000 -1.459e+00 -5.365e-01 -3.035e-01
-9.679 -10.643 16.689 26.198 0.000 0.000 1.000 -1.431e+00 -5.587e-01 -3.036e-01
-9.629 -10.593 16.722 26.172 0.000 0.000 1.000 -1.406e+00 -5.825e-01 -3.037e-01
-9.579 -10.543 16.753 26.146 0.000 0.000 1.000 -1.382e+00 -6.077e-01 -3.038e-01
-9.529 -10.493 16.785 26.121 0.000 0.000 1.000 -1.361e+00 -6.346e-01 -3.038e-01
-9.479 -10.443 16.816 26.096 0.000 0.000 1.000 -1.341e+00 -6.630e-01 -3.039e-01
-9.429 -10.393 16.846 26.073 0.000 0.000 1.000 -1.324e+00 -6.930e-01 -3.038e-01
-9.379 -10.343 16.877 26.051 0.000 0.000 1.000 -1.309e+00 -7.245e-01 -3.038e-01
-9.329 -10.293 16.907 26.030 0.000 0.000 1.000 -1.297e+00 -7.575e-01 -3.036e-01
-9.279 -10.243 16.938 26.010 0.000 0.000 1.000 -1.287e+00 -7.920e-01 -3.034e-01
-9.229 -10.193 16.968 25.990 0.000 0.000 1.000 -1.280e+00 -8.278e-01 -3.032e-01
-9.179 -10.143 16.998 25.971 0.000 0.000 1.000 -1.275e+00 -8.651e-01 -3.028e-01
-9.129 -10.093 17.029 25.952 0.000 0.000 1.000 -1.273e+00 -9.036e-01 -3.024e-01
-9.079 -10.043 17.059 25.931 0.000 0.000 1.000 -1.274e+00 -9.434e-01 -3.019e-01
-9.029 -9.993 17.089 25.909 0.000 0.000 1.000 -1.278e+00 -9.843e-01 -3.013e-01
-8.979 -9.943 17.119 25.885 0.000 0.000 1.000 -1.285e+00 -1.026e+00 -3.007e-01
-8.929 -9.893 17.149 25.858 0.000 0.000 1.000 -1.295e+00 -1.070e+00 -2.999e-01
