-1.999408e+01 -2.186273e+01 -2.100000e+01 -2.000000e+00 -1.321819e+01 -1.239143e+01 -inf -inf -inf -inf -1.169343e+01 -3.010995e-01 -3.010300e-01 -1.101327e+01 -1.232528e+01 -1.401578e+01 -inf -inf -inf -inf  -inf -inf -inf -inf
-1.976979e+01 -2.108485e+01 -2.079134e+01 -2.000000e+00 -1.151094e+01 -1.068418e+01 -2.279884e+01 -3.203217e+01 -2.009720e+01 -3.299439e+01 -9.986181e+00 -3.010995e-01 -3.010300e-01 -9.306018e+00 -1.061804e+01 -1.230853e+01 -3.162308e+01 -5.235068e+01 -6.770064e+01 -8.929516e+01  -1.110351e+02 -1.337164e+02 -1.572621e+02 -1.382912e+02
-1.955481e+01 -2.071879e+01 -2.058565e+01 -2.000000e+00 -1.110326e+01 -1.027650e+01 -2.197803e+01 -3.079838e+01 -1.927658e+01 -3.175922e+01 -9.578500e+00 -3.010995e-01 -3.010300e-01 -8.898336e+00 -1.021035e+01 -1.190085e+01 -3.039202e+01 -5.028759e+01 -6.479556e+01 -8.553647e+01  -1.064092e+02 -1.282072e+02 -1.508508e+02 -1.327821e+02
-1.931234e+01 -2.039849e+01 -2.034950e+01 -2.000000e+00 -1.076758e+01 -9.940822e+00 -2.130451e+01 -2.978766e+01 -1.860342e+01 -3.074803e+01 -9.242822e+00 -3.010995e-01 -3.010300e-01 -8.562659e+00 -9.874677e+00 -1.156517e+01 -2.938224e+01 -4.860078e+01 -6.242843e+01 -8.248526e+01  -1.026696e+02 -1.237744e+02 -1.457190e+02 -1.283492e+02
-1.911679e+01 -2.016970e+01 -2.015705e+01 -2.000000e+00 -1.053316e+01 -9.706400e+00 -2.083455e+01 -2.908308e+01 -1.813393e+01 -3.004328e+01 -9.008400e+00 -3.010995e-01 -3.010300e-01 -8.328237e+00 -9.640255e+00 -1.133075e+01 -2.867799e+01 -4.742567e+01 -6.078130e+01 -8.036479e+01  -1.000743e+02 -1.207026e+02 -1.421688e+02 -1.252774e+02
-1.886624e+01 -1.989516e+01 -1.990890e+01 -2.000000e+00 -1.025485e+01 -9.428088e+00 -2.027649e+01 -2.824728e+01 -1.757689e+01 -2.920737e+01 -8.730089e+00 -3.010995e-01 -3.010300e-01 -8.049926e+00 -9.361944e+00 -1.105244e+01 -2.784241e+01 -4.603213e+01 -5.882905e+01 -7.785296e+01  -9.700191e+01 -1.170685e+02 -1.379719e+02 -1.216434e+02
-1.864906e+01 -1.966637e+01 -1.969294e+01 -2.000000e+00 -1.002432e+01 -9.197563e+00 -1.981375e+01 -2.755530e+01 -1.711564e+01 -2.851535e+01 -8.499564e+00 -3.010995e-01 -3.010300e-01 -7.819400e+00 -9.131418e+00 -1.082191e+01 -2.715053e+01 -4.487858e+01 -5.721350e+01 -7.577502e+01  -9.446112e+01 -1.140644e+02 -1.345038e+02 -1.186392e+02
-1.842728e+01 -1.943758e+01 -1.947190e+01 -2.000000e+00 -9.794509e+00 -8.967752e+00 -1.935149e+01 -2.686564e+01 -1.665590e+01 -2.782565e+01 -8.269753e+00 -3.010995e-01 -3.010300e-01 -7.589590e+00 -8.901608e+00 -1.059210e+01 -2.646093e+01 -4.372897e+01 -5.560374e+01 -7.370484e+01  -9.193027e+01 -1.110726e+02 -1.310507e+02 -1.156474e+02
-1.820268e+01 -1.920879e+01 -1.924776e+01 -2.000000e+00 -9.565119e+00 -8.738361e+00 -1.888840e+01 -2.617733e+01 -1.619706e+01 -2.713732e+01 -8.040363e+00 -3.010996e-01 -3.010300e-01 -7.360199e+00 -8.672217e+00 -1.036271e+01 -2.577265e+01 -4.258167e+01 -5.399736e+01 -7.163922e+01  -8.940525e+01 -1.080880e+02 -1.276064e+02 -1.126628e+02
-1.797639e+01 -1.898001e+01 -1.902174e+01 -2.000000e+00 -9.335976e+00 -8.509216e+00 -1.842298e+01 -2.548981e+01 -1.573873e+01 -2.644979e+01 -7.811220e+00 -3.010996e-01 -3.010300e-01 -7.131056e+00 -8.443074e+00 -1.013357e+01 -2.508516e+01 -4.143570e+01 -5.239298e+01 -6.957628e+01  -8.688366e+01 -1.051077e+02 -1.241672e+02 -1.096825e+02
-1.779460e+01 -1.879698e+01 -1.884009e+01 -2.000000e+00 -9.152771e+00 -8.326009e+00 -1.804764e+01 -2.494014e+01 -1.537230e+01 -2.590012e+01 -7.628014e+00 -3.010997e-01 -3.010300e-01 -6.947850e+00 -8.259868e+00 -9.950361e+00 -2.453551e+01 -4.051950e+01 -5.111035e+01 -6.792710e+01  -8.486789e+01 -1.027253e+02 -1.214181e+02 -1.073001e+02
-1.756678e+01 -1.856819e+01 -1.861238e+01 -2.000000e+00 -8.923847e+00 -8.097081e+00 -1.757234e+01 -2.425332e+01 -1.491444e+01 -2.521329e+01 -7.399089e+00 -3.010999e-01 -3.010300e-01 -6.718925e+00 -8.030943e+00 -9.721436e+00 -2.384871e+01 -3.937463e+01 -4.950773e+01 -6.586652e+01  -8.234932e+01 -9.974867e+01 -1.179834e+02 -1.043235e+02
-1.733857e+01 -1.833940e+01 -1.838424e+01 -2.000000e+00 -8.694980e+00 -7.868207e+00 -1.708658e+01 -2.356667e+01 -1.445670e+01 -2.452663e+01 -7.170220e+00 -3.011001e-01 -3.010300e-01 -6.490056e+00 -7.802075e+00 -9.492567e+00 -2.316209e+01 -3.822996e+01 -4.790556e+01 -6.380656e+01  -7.983154e+01 -9.677303e+01 -1.145499e+02 -1.013479e+02
-1.711012e+01 -1.811061e+01 -1.815583e+01 -2.000000e+00 -8.466147e+00 -7.639364e+00 -1.658524e+01 -2.288011e+01 -1.399903e+01 -2.384006e+01 -6.941385e+00 -3.011006e-01 -3.010301e-01 -6.261221e+00 -7.573239e+00 -9.263732e+00 -2.247557e+01 -3.708527e+01 -4.630366e+01 -6.174695e+01  -7.731421e+01 -9.379798e+01 -1.111171e+02 -9.837280e+01
-1.688154e+01 -1.788183e+01 -1.792726e+01 -2.000000e+00 -8.237337e+00 -7.410534e+00 -1.606240e+01 -2.219359e+01 -1.354142e+01 -2.315351e+01 -6.712569e+00 -3.011014e-01 -3.010301e-01 -6.032406e+00 -7.344424e+00 -9.034916e+00 -2.178911e+01 -3.594035e+01 -4.470192e+01 -5.968756e+01  -7.479716e+01 -9.082325e+01 -1.076847e+02 -9.539808e+01
-1.669861e+01 -1.769880e+01 -1.774434e+01 -2.000000e+00 -8.054299e+00 -7.227472e+00 -1.562500e+01 -2.164436e+01 -1.317535e+01 -2.260426e+01 -6.529525e+00 -3.011023e-01 -3.010301e-01 -5.849363e+00 -7.161380e+00 -8.851872e+00 -2.123996e+01 -3.502408e+01 -4.342060e+01 -5.804013e+01  -7.278363e+01 -8.844362e+01 -1.049390e+02 -9.301845e+01
-1.646990e+01 -1.747001e+01 -1.751564e+01 -2.000000e+00 -7.825514e+00 -6.998638e+00 -1.505168e+01 -2.095778e+01 -1.271780e+01 -2.191763e+01 -6.300728e+00 -3.011043e-01 -3.010303e-01 -5.620567e+00 -6.932583e+00 -8.623073e+00 -2.055354e+01 -3.387797e+01 -4.181900e+01 -5.598093e+01  -7.026682e+01 -8.546920e+01 -1.015069e+02 -9.004403e+01
-1.624115e+01 -1.724122e+01 -1.728690e+01 -2.000000e+00 -7.596743e+00 -6.769784e+00 -1.444917e+01 -2.027108e+01 -1.226029e+01 -2.123084e+01 -6.071935e+00 -3.011076e-01 -3.010304e-01 -5.391776e+00 -6.703791e+00 -8.394279e+00 -1.986712e+01 -3.273044e+01 -4.021744e+01 -5.392178e+01  -6.775007e+01 -8.249486e+01 -9.807498e+01 -8.706968e+01
-1.601239e+01 -1.701243e+01 -1.705815e+01 -2.000000e+00 -7.367989e+00 -6.540892e+00 -1.382119e+01 -1.958417e+01 -1.180283e+01 -2.054377e+01 -5.843145e+00 -3.011133e-01 -3.010307e-01 -5.162990e+00 -6.475002e+00 -8.165486e+00 -1.918069e+01 -3.158051e+01 -3.861590e+01 -5.186265e+01  -6.523336e+01 -7.952056e+01 -9.464309e+01 -8.409537e+01
-1.578362e+01 -1.678365e+01 -1.682938e+01 -2.000000e+00 -7.139264e+00 -6.311935e+00 -1.317343e+01 -1.889690e+01 -1.134547e+01 -1.985617e+01 -5.614358e+00 -3.011229e-01 -3.010312e-01 -4.934210e+00 -6.246217e+00 -7.936695e+00 -1.849421e+01 -3.042660e+01 -3.701438e+01 -4.980355e+01  -6.271668e+01 -7.654630e+01 -9.121124e+01 -8.112107e+01
-1.555484e+01 -1.655486e+01 -1.660060e+01 -2.000000e+00 -6.910584e+00 -6.082869e+00 -1.251163e+01 -1.820900e+01 -1.088828e+01 -1.916760e+01 -5.385575e+00 -3.011391e-01 -3.010321e-01 -4.705437e+00 -6.017437e+00 -7.707904e+00 -1.780767e+01 -2.926619e+01 -3.541286e+01 -4.774446e+01  -6.020001e+01 -7.357205e+01 -8.777942e+01 -7.814672e+01
-1.537182e+01 -1.637183e+01 -1.641758e+01 -2.000000e+00 -6.727693e+00 -5.899499e+00 -1.197532e+01 -1.765794e+01 -1.052270e+01 -1.861547e+01 -5.202550e+00 -3.011598e-01 -3.010332e-01 -4.522426e+00 -5.834416e+00 -7.524870e+00 -1.725836e+01 -2.833068e+01 -3.413166e+01 -4.609720e+01  -5.818669e+01 -7.119267e+01 -8.503398e+01 -7.576713e+01
-1.514304e+01 -1.614304e+01 -1.618879e+01 -2.000000e+00 -6.499188e+00 -5.670071e+00 -1.129935e+01 -1.696758e+01 -1.006613e+01 -1.792226e+01 -4.973775e+00 -3.012016e-01 -3.010354e-01 -4.293679e+00 -5.605649e+00 -7.296075e+00 -1.657158e+01 -2.714787e+01 -3.253017e+01 -4.403814e+01  -5.567006e+01 -6.821847e+01 -8.160218e+01 -7.279223e+01
-1.491425e+01 -1.591425e+01 -1.596001e+01 -2.000000e+00 -6.270881e+00 -5.440323e+00 -1.061949e+01 -1.627441e+01 -9.610311e+00 -1.722217e+01 -4.745009e+00 -3.012724e-01 -3.010392e-01 -4.064959e+00 -5.376896e+00 -7.067275e+00 -1.588456e+01 -2.594381e+01 -3.092870e+01 -4.197910e+01  -5.315346e+01 -6.524429e+01 -7.817039e+01 -6.981605e+01
-1.468546e+01 -1.568547e+01 -1.573122e+01 -2.000000e+00 -6.042914e+00 -5.210210e+00 -9.937429e+00 -1.557639e+01 -9.155829e+00 -1.650719e+01 -4.516257e+00 -3.013924e-01 -3.010456e-01 -3.836287e+00 -5.148167e+00 -6.838467e+00 -1.519724e+01 -2.471090e+01 -2.932727e+01 -3.992011e+01  -5.063691e+01 -6.227014e+01 -7.473853e+01 -6.683624e+01
-1.445668e+01 -1.545668e+01 -1.550244e+01 -2.000000e+00 -5.815533e+00 -4.979825e+00 -9.254355e+00 -1.486995e+01 -8.703773e+00 -1.576039e+01 -4.287529e+00 -3.015954e-01 -3.010565e-01 -3.607694e+00 -4.919477e+00 -6.609643e+00 -1.450956e+01 -2.344220e+01 -2.772588e+01 -3.786117e+01  -4.812044e+01 -5.929601e+01 -7.130644e+01 -6.384626e+01
-1.427365e+01 -1.527365e+01 -1.531941e+01 -2.000000e+00 -5.634336e+00 -4.795537e+00 -8.707794e+00 -1.429471e+01 -8.345133e+00 -1.512085e+01 -4.104573e+00 -3.018551e-01 -3.010705e-01 -3.424910e+00 -4.736572e+00 -6.426563e+00 -1.395912e+01 -2.239838e+01 -2.644484e+01 -3.621410e+01  -4.610735e+01 -5.691666e+01 -6.856023e+01 -6.143644e+01
-1.404486e+01 -1.504486e+01 -1.509062e+01 -2.000000e+00 -5.409347e+00 -4.565601e+00 -8.025258e+00 -1.355485e+01 -7.903146e+00 -1.424242e+01 -3.875928e+00 -3.023786e-01 -3.010989e-01 -3.196612e+00 -4.508036e+00 -6.197666e+00 -1.327047e+01 -2.105610e+01 -2.484365e+01 -3.415540e+01  -4.359116e+01 -5.394223e+01 -6.512554e+01 -5.837501e+01
-1.381607e+01 -1.481607e+01 -1.486183e+01 -2.000000e+00 -5.187306e+00 -4.336446e+00 -7.344620e+00 -1.277845e+01 -7.472344e+00 -1.326883e+01 -3.647357e+00 -3.032639e-01 -3.011477e-01 -2.968631e+00 -4.279674e+00 -5.968664e+00 -1.257979e+01 -1.967233e+01 -2.324269e+01 -3.209694e+01  -4.107528e+01 -5.096676e+01 -6.168488e+01 -5.521850e+01
