
-1.999408e+01 -2.186273e+01 -2.100000e+01 -2.000000e+00 -1.321806e+01 -1.239154e+01 -inf -inf -inf -inf -1.169329e+01 -3.010307e-01 -3.010300e-01 -1.101313e+01 -1.232522e+01 -1.401578e+01 -inf -inf -inf -inf  -inf -inf -inf -inf
-1.976979e+01 -2.108485e+01 -2.079134e+01 -2.000000e+00 -1.151081e+01 -1.068429e+01 -2.279871e+01 -2.180272e+01 -2.009732e+01 -3.997278e+01 -9.986047e+00 -3.010307e-01 -3.010300e-01 -9.305880e+00 -1.061797e+01 -1.230853e+01 -3.162317e+01 -5.235065e+01 -6.770547e+01 -8.929606e+01  -1.110344e+02 -1.337176e+02 -1.572645e+02 -1.382955e+02
-1.955481e+01 -2.071879e+01 -2.058565e+01 -2.000000e+00 -1.110313e+01 -1.027661e+01 -2.197790e+01 -2.098209e+01 -1.927669e+01 -3.832359e+01 -9.578365e+00 -3.010307e-01 -3.010300e-01 -8.898198e+00 -1.021029e+01 -1.190085e+01 -3.039211e+01 -5.028757e+01 -6.480039e+01 -8.553737e+01  -1.064085e+02 -1.282085e+02 -1.508532e+02 -1.327863e+02
-1.931234e+01 -2.039849e+01 -2.034950e+01 -2.000000e+00 -1.076745e+01 -9.940935e+00 -2.130439e+01 -2.030893e+01 -1.860353e+01 -3.697457e+01 -9.242688e+00 -3.010307e-01 -3.010300e-01 -8.562521e+00 -9.874608e+00 -1.156517e+01 -2.938233e+01 -4.860076e+01 -6.243326e+01 -8.248615e+01  -1.026689e+02 -1.237756e+02 -1.457215e+02 -1.283535e+02
-1.911679e+01 -2.016970e+01 -2.015705e+01 -2.000000e+00 -1.053303e+01 -9.706513e+00 -2.083443e+01 -1.983945e+01 -1.813405e+01 -3.603463e+01 -9.008266e+00 -3.010307e-01 -3.010300e-01 -8.328099e+00 -9.640186e+00 -1.133075e+01 -2.867808e+01 -4.742565e+01 -6.078613e+01 -8.036568e+01  -1.000736e+02 -1.207038e+02 -1.421712e+02 -1.252817e+02
-1.886624e+01 -1.989516e+01 -1.990890e+01 -2.000000e+00 -1.025472e+01 -9.428202e+00 -2.027636e+01 -1.928240e+01 -1.757700e+01 -3.491988e+01 -8.729955e+00 -3.010307e-01 -3.010300e-01 -8.049788e+00 -9.361875e+00 -1.105244e+01 -2.784250e+01 -4.603211e+01 -5.883388e+01 -7.785386e+01  -9.700126e+01 -1.170698e+02 -1.379743e+02 -1.216476e+02
-1.864906e+01 -1.966637e+01 -1.969294e+01 -2.000000e+00 -1.002419e+01 -9.197676e+00 -1.981362e+01 -1.882115e+01 -1.711575e+01 -3.399706e+01 -8.499429e+00 -3.010307e-01 -3.010300e-01 -7.819262e+00 -9.131350e+00 -1.082191e+01 -2.715062e+01 -4.487856e+01 -5.721834e+01 -7.577591e+01  -9.446047e+01 -1.140657e+02 -1.345063e+02 -1.186435e+02
-1.842728e+01 -1.943758e+01 -1.947190e+01 -2.000000e+00 -9.794384e+00 -8.967865e+00 -1.935136e+01 -1.836142e+01 -1.665602e+01 -3.307736e+01 -8.269619e+00 -3.010307e-01 -3.010300e-01 -7.589452e+00 -8.901539e+00 -1.059210e+01 -2.646102e+01 -4.372895e+01 -5.560857e+01 -7.370573e+01  -9.192962e+01 -1.110739e+02 -1.310532e+02 -1.156517e+02
-1.820268e+01 -1.920879e+01 -1.924776e+01 -2.000000e+00 -9.564994e+00 -8.738474e+00 -1.888827e+01 -1.790257e+01 -1.619717e+01 -3.215946e+01 -8.040228e+00 -3.010308e-01 -3.010300e-01 -7.360062e+00 -8.672149e+00 -1.036271e+01 -2.577274e+01 -4.258165e+01 -5.400220e+01 -7.164011e+01  -8.940460e+01 -1.080893e+02 -1.276089e+02 -1.126671e+02
-1.797639e+01 -1.898001e+01 -1.902174e+01 -2.000000e+00 -9.335851e+00 -8.509330e+00 -1.842285e+01 -1.744424e+01 -1.573885e+01 -3.124257e+01 -7.811085e+00 -3.010308e-01 -3.010300e-01 -7.130918e+00 -8.443006e+00 -1.013357e+01 -2.508525e+01 -4.143569e+01 -5.239782e+01 -6.957717e+01  -8.688301e+01 -1.051089e+02 -1.241697e+02 -1.096868e+02
-1.779460e+01 -1.879698e+01 -1.884009e+01 -2.000000e+00 -9.152645e+00 -8.326122e+00 -1.804750e+01 -1.707781e+01 -1.537242e+01 -3.050945e+01 -7.627879e+00 -3.010309e-01 -3.010300e-01 -6.947712e+00 -8.259799e+00 -9.950361e+00 -2.453560e+01 -4.051949e+01 -5.111519e+01 -6.792799e+01  -8.486724e+01 -1.027265e+02 -1.214205e+02 -1.073044e+02
-1.756678e+01 -1.856819e+01 -1.861238e+01 -2.000000e+00 -8.923720e+00 -8.097194e+00 -1.757220e+01 -1.661995e+01 -1.491455e+01 -2.959324e+01 -7.398954e+00 -3.010311e-01 -3.010300e-01 -6.718787e+00 -8.030874e+00 -9.721436e+00 -2.384880e+01 -3.937463e+01 -4.951256e+01 -6.586742e+01  -8.234867e+01 -9.974994e+01 -1.179859e+02 -1.043278e+02
