Rate 38 80
8 3 4 5 2 4 5 5 2 4 5 5 2 4 5 2 4 5 5 2 4 2 4 2 4 2 4 2 4 2 4 2 4 2 4 2 4 2 
logT he4+he4+he4->c12 c12->he4+he4+he4 he4+c12->o16 c12+c12->he4+ne20 o16->he4+c12 he4+o16->ne20 c12+o16->he4+mg24 o16+o16->he4+si28 ne20->he4+o16 he4+ne20->mg24 he4+ne20->c12+c12 c12+ne20->he4+si28 mg24->he4+ne20 he4+mg24->si28 he4+mg24->c12+o16 si28->he4+mg24 he4+si28->s32 he4+si28->c12+ne20 he4+si28->o16+o16 s32->he4+si28 he4+s32->ar36 ar36->he4+s32 he4+ar36->ca40 ca40->he4+ar36 he4+ca40->ti44 ti44->he4+ca40 he4+ti44->cr48 cr48->he4+ti44 he4+cr48->fe52 fe52->he4+cr48 he4+fe52->ni56 ni56->he4+fe52 he4+ni56->zn60 zn60->he4+ni56 he4+zn60->ge64 ge64->he4+zn60 he4+ge64->se68 se68->he4+ge64 
1.0000E7 2.103E-72 1.000E-100 1.369E-53 1.000E-100 1.000E-100 1.370E-69 1.000E-100 1.000E-100 1.000E-100 4.775E-82 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 
1.0902E7 2.673E-70 1.000E-100 8.406E-52 1.000E-100 1.000E-100 2.517E-67 1.000E-100 1.000E-100 1.000E-100 2.174E-79 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 
1.1885E7 3.142E-68 1.000E-100 4.574E-50 1.000E-100 1.000E-100 3.951E-65 1.000E-100 1.000E-100 1.000E-100 8.281E-77 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 
1.2957E7 3.387E-66 1.000E-100 2.214E-48 1.000E-100 1.000E-100 5.329E-63 1.000E-100 1.000E-100 1.000E-100 2.653E-74 1.000E-100 1.000E-100 1.000E-100 1.536E-99 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 
1.4125E7 3.324E-64 1.000E-100 9.563E-47 1.000E-100 1.000E-100 6.210E-61 1.000E-100 1.000E-100 1.000E-100 7.189E-72 1.000E-100 1.000E-100 1.000E-100 1.388E-91 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 
1.5399E7 2.954E-62 1.000E-100 3.697E-45 1.000E-100 1.000E-100 6.284E-59 1.000E-100 1.000E-100 1.000E-100 1.656E-69 1.000E-100 1.000E-100 1.000E-100 1.567E-84 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 
1.6788E7 2.364E-60 1.000E-100 1.283E-43 1.000E-100 1.000E-100 5.548E-57 1.000E-100 1.000E-100 1.000E-100 3.258E-67 1.000E-100 1.000E-100 1.000E-100 2.784E-78 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 
1.8302E7 1.698E-58 1.000E-100 4.011E-42 1.000E-100 1.000E-100 4.293E-55 1.000E-100 1.000E-100 1.000E-100 5.503E-65 1.000E-100 1.000E-100 1.000E-100 9.613E-73 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 
1.9953E7 1.092E-56 1.000E-100 1.132E-40 1.000E-100 1.000E-100 2.924E-53 1.000E-100 1.000E-100 1.000E-100 8.017E-63 1.000E-100 1.000E-100 1.000E-100 7.795E-68 1.000E-100 1.000E-100 1.911E-99 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 
2.1752E7 6.265E-55 1.000E-100 2.894E-39 1.000E-100 1.000E-100 1.761E-51 1.000E-100 1.000E-100 1.000E-100 1.012E-60 1.000E-100 1.000E-100 1.000E-100 1.762E-63 1.000E-100 1.000E-100 1.753E-93 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 
2.3714E7 3.206E-53 1.000E-100 6.718E-38 1.886E-100 1.000E-100 9.411E-50 1.000E-100 1.000E-100 1.000E-100 1.111E-58 1.000E-100 1.000E-100 1.000E-100 1.296E-59 1.000E-100 1.000E-100 5.809E-88 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 
2.5852E7 1.462E-51 1.000E-100 1.420E-36 7.151E-97 1.000E-100 4.481E-48 1.000E-100 1.000E-100 1.000E-100 1.065E-56 1.000E-100 1.000E-100 1.000E-100 3.562E-56 1.000E-100 1.000E-100 7.598E-83 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 
2.8184E7 5.936E-50 1.000E-100 2.741E-35 2.142E-93 1.000E-100 1.908E-46 1.000E-100 1.000E-100 1.000E-100 8.963E-55 1.000E-100 1.000E-100 1.000E-100 4.148E-53 1.000E-100 1.000E-100 4.254E-78 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 
3.0726E7 2.148E-48 1.000E-100 4.840E-34 5.098E-90 1.000E-100 7.286E-45 1.000E-100 1.000E-100 1.000E-100 6.641E-53 1.000E-100 1.000E-100 1.000E-100 2.290E-50 1.000E-100 1.000E-100 1.098E-73 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 
3.3497E7 6.929E-47 1.000E-100 7.844E-33 9.709E-87 1.000E-100 2.506E-43 1.000E-100 1.000E-100 1.000E-100 4.349E-51 1.000E-100 1.000E-100 1.000E-100 6.622E-48 1.000E-100 1.000E-100 1.398E-69 1.000E-100 1.000E-100 1.000E-100 6.085E-96 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 
3.6517E7 1.995E-45 1.000E-100 1.169E-31 1.489E-83 1.000E-100 7.781E-42 1.000E-100 1.000E-100 1.000E-100 2.526E-49 1.000E-100 1.000E-100 1.000E-100 1.097E-45 1.000E-100 1.000E-100 9.334E-66 1.000E-100 1.000E-100 1.000E-100 1.176E-90 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 
3.9811E7 5.136E-44 1.000E-100 1.607E-30 1.849E-80 1.000E-100 2.189E-40 1.000E-100 1.000E-100 1.000E-100 1.306E-47 1.000E-100 1.000E-100 1.000E-100 1.129E-43 1.000E-100 1.000E-100 3.459E-62 1.000E-100 1.000E-100 1.000E-100 1.291E-85 1.000E-100 2.214E-95 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 
4.3401E7 1.183E-42 1.000E-100 2.040E-29 1.872E-77 1.000E-100 5.595E-39 1.000E-100 1.000E-100 1.000E-100 6.035E-46 1.000E-100 1.000E-100 1.000E-100 7.737E-42 1.000E-100 1.000E-100 7.486E-59 1.000E-100 1.000E-100 1.000E-100 8.182E-81 1.000E-100 4.847E-90 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 
4.7315E7 2.446E-41 1.000E-100 2.398E-28 1.553E-74 1.000E-100 1.303E-37 3.294E-97 1.000E-100 1.000E-100 2.499E-44 1.000E-100 1.000E-100 1.000E-100 3.762E-40 1.000E-100 1.000E-100 9.915E-56 1.000E-100 1.000E-100 1.000E-100 3.042E-76 1.000E-100 5.820E-85 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 
