#  Deg       Cos       Sin       Tan
  0.00 1.000e+00 0.000e+00 0.000e+00
  5.00 9.962e-01 8.716e-02 8.749e-02
 10.00 9.848e-01 1.736e-01 1.763e-01
 15.00 9.659e-01 2.588e-01 2.679e-01
 20.00 9.397e-01 3.420e-01 3.640e-01
 25.00 9.063e-01 4.226e-01 4.663e-01
 30.00 8.660e-01 5.000e-01 5.774e-01
 35.00 8.192e-01 5.736e-01 7.002e-01
 40.00 7.660e-01 6.428e-01 8.391e-01
 45.00 7.071e-01 7.071e-01 1.000e+00
 50.00 6.428e-01 7.660e-01 1.192e+00
 55.00 5.736e-01 8.192e-01 1.428e+00
 60.00 5.000e-01 8.660e-01 1.732e+00
 65.00 4.226e-01 9.063e-01 2.145e+00
 70.00 3.420e-01 9.397e-01 2.747e+00
 75.00 2.588e-01 9.659e-01 3.732e+00
 80.00 1.736e-01 9.848e-01 5.671e+00
 85.00 8.716e-02 9.962e-01 1.143e+01
 90.00 -2.051e-10 1.000e+00 -4.876e+09
 95.00 -8.716e-02 9.962e-01 -1.143e+01
100.00 -1.736e-01 9.848e-01 -5.671e+00
105.00 -2.588e-01 9.659e-01 -3.732e+00
110.00 -3.420e-01 9.397e-01 -2.747e+00
115.00 -4.226e-01 9.063e-01 -2.145e+00
120.00 -5.000e-01 8.660e-01 -1.732e+00
125.00 -5.736e-01 8.192e-01 -1.428e+00
130.00 -6.428e-01 7.660e-01 -1.192e+00
135.00 -7.071e-01 7.071e-01 -1.000e+00
140.00 -7.660e-01 6.428e-01 -8.391e-01
145.00 -8.192e-01 5.736e-01 -7.002e-01
150.00 -8.660e-01 5.000e-01 -5.774e-01
155.00 -9.063e-01 4.226e-01 -4.663e-01
160.00 -9.397e-01 3.420e-01 -3.640e-01
165.00 -9.659e-01 2.588e-01 -2.679e-01
170.00 -9.848e-01 1.736e-01 -1.763e-01
175.00 -9.962e-01 8.716e-02 -8.749e-02
180.00 -1.000e+00 -4.102e-10 4.102e-10
185.00 -9.962e-01 -8.716e-02 8.749e-02
190.00 -9.848e-01 -1.736e-01 1.763e-01
195.00 -9.659e-01 -2.588e-01 2.679e-01
200.00 -9.397e-01 -3.420e-01 3.640e-01
205.00 -9.063e-01 -4.226e-01 4.663e-01
210.00 -8.660e-01 -5.000e-01 5.774e-01
215.00 -8.192e-01 -5.736e-01 7.002e-01
220.00 -7.660e-01 -6.428e-01 8.391e-01
225.00 -7.071e-01 -7.071e-01 1.000e+00
230.00 -6.428e-01 -7.660e-01 1.192e+00
235.00 -5.736e-01 -8.192e-01 1.428e+00
240.00 -5.000e-01 -8.660e-01 1.732e+00
245.00 -4.226e-01 -9.063e-01 2.145e+00
250.00 -3.420e-01 -9.397e-01 2.747e+00
255.00 -2.588e-01 -9.659e-01 3.732e+00
260.00 -1.736e-01 -9.848e-01 5.671e+00
265.00 -8.716e-02 -9.962e-01 1.143e+01
270.00 6.153e-10 -1.000e+00 -1.625e+09
275.00 8.716e-02 -9.962e-01 -1.143e+01
280.00 1.736e-01 -9.848e-01 -5.671e+00
285.00 2.588e-01 -9.659e-01 -3.732e+00
290.00 3.420e-01 -9.397e-01 -2.747e+00
295.00 4.226e-01 -9.063e-01 -2.145e+00
300.00 5.000e-01 -8.660e-01 -1.732e+00
305.00 5.736e-01 -8.192e-01 -1.428e+00
310.00 6.428e-01 -7.660e-01 -1.192e+00
315.00 7.071e-01 -7.071e-01 -1.000e+00
320.00 7.660e-01 -6.428e-01 -8.391e-01
325.00 8.192e-01 -5.736e-01 -7.002e-01
330.00 8.660e-01 -5.000e-01 -5.774e-01
335.00 9.063e-01 -4.226e-01 -4.663e-01
340.00 9.397e-01 -3.420e-01 -3.640e-01
345.00 9.659e-01 -2.588e-01 -2.679e-01
350.00 9.848e-01 -1.736e-01 -1.763e-01
355.00 9.962e-01 -8.716e-02 -8.749e-02
360.00 1.000e+00 8.204e-10 8.204e-10
